,,,,,,,,,,Steps,Population,Births,Deaths,Marriages,Laborers,,,Migrants
12,369,0,2,0,159,25,92,76,,270,378.7333333,17.63333333,8.766666667,3.1,150.4666667,28.03333333,91.06666667,83.9
12,371,0,0,0,160,25,92,77,,276,379.2,18.26666667,8.933333333,3.133333333,150.1,28.03333333,91.06666667,84.1
12,371,0,0,0,162,26,92,75,,282,379.5,18.73333333,9.1,3.133333333,149.8,28.06666667,91.03333333,84.26666667
12,370,0,0,0,159,25,92,78,,288,379.7,19.23333333,9.366666667,3.2,149.3666667,28.16666667,91.03333333,84.43333333
12,371,0,0,0,159,25,92,78,,294,379.9,19.8,9.666666667,3.2,149.6666667,32.63333333,90.9,84.86666667
12,371,0,0,0,161,25,92,76,,300,380,20.06666667,9.8,3.466666667,149.5,32.53333333,91.06666667,84.9
12,371,0,0,0,160,25,92,77,,306,380.1666667,20.36666667,9.933333333,3.633333333,149.3666667,32.53333333,91.13333333,84.86666667
12,371,0,0,0,162,26,92,75,,312,380.4,20.96666667,10.3,3.766666667,148.9333333,32.46666667,91.16666667,84.93333333
12,370,0,1,0,161,26,92,75,,318,380.4666667,21.2,10.46666667,3.8,148.6666667,32.5,91.1,85.03333333
12,371,0,0,0,161,25,92,76,,324,380.8,21.93333333,10.83333333,3.833333333,147.9666667,32.46666667,91.03333333,85.4
12,371,0,0,0,161,25,92,76,,330,381.1333333,22.46666667,11.03333333,3.933333333,147.6,32.43333333,91,85.6
12,371,0,0,0,160,25,92,77,,336,381.1,22.66666667,11.26666667,3.966666667,147.0666667,32.43333333,91,86
12,370,0,1,0,159,25,92,77,,342,381.3666667,23.13333333,11.46666667,4.166666667,146.7,32.26666667,91.1,86.16666667
12,371,0,0,0,160,25,92,77,,348,381.5333333,23.63333333,11.8,4.266666667,146.2333333,32.26666667,91.03333333,86.3
12,371,0,0,1,161,24,93,76,,354,381.6666667,24.13333333,12.13333333,4.333333333,145.7,32.23333333,90.96666667,86.53333333
12,371,0,0,0,160,25,92,77,,360,382.0333333,24.63333333,12.26666667,4.366666667,145.5333333,32.23333333,90.86666667,86.56666667
18,371,0,0,0,161,25,92,76,,366,382.2,25.03333333,12.46666667,4.4,148.0333333,35.4,90.83333333,86.86666667
18,371,0,0,0,161,25,92,76,,372,382.1333333,25.3,12.8,4.533333333,147.6333333,35.4,90.86666667,86.93333333
18,371,0,0,0,161,25,92,76,,378,382.3333333,25.76666667,13.06666667,4.666666667,147.1666667,35.4,90.96666667,87.16666667
18,371,0,0,0,159,25,92,78,,384,382.3,25.96666667,13.26666667,4.933333333,146.8666667,35.26666667,91.06666667,87.26666667
18,371,0,0,1,162,26,93,75,,390,382.4,26.26666667,13.46666667,5,146.6,35.3,91.1,87.33333333
18,370,0,1,0,159,26,91,77,,396,382.7,26.76666667,13.6,5,146.1666667,35.3,91.03333333,87.63333333
18,371,0,0,0,160,25,92,77,,402,382.8333333,27.06666667,13.73333333,5.1,145.8666667,35.2,91.06666667,87.8
18,370,0,0,0,159,25,92,78,,408,382.8666667,27.33333333,13.96666667,5.233333333,145.4666667,35.13333333,91.13333333,87.96666667
18,370,0,0,0,161,26,92,76,,414,383.0666667,27.76666667,14.2,5.433333333,144.9666667,35.06666667,91.16666667,88.23333333
18,371,0,0,0,159,25,92,78,,420,383.1333333,28.16666667,14.53333333,5.566666667,144.5,35.03333333,91.1,88.36666667
18,369,0,2,0,159,25,92,76,,426,383.3,28.6,14.8,5.733333333,144.1,34.93333333,91.2,88.56666667
18,370,0,1,0,160,25,92,76,,432,383.3666667,28.76666667,14.86666667,5.8,143.7,34.93333333,91.23333333,88.9
18,370,0,1,0,159,25,91,77,,438,383.6333333,29.13333333,14.96666667,5.866666667,142.5333333,41.26666667,91.26666667,89
18,371,0,0,0,161,25,92,76,,444,383.7333333,29.46666667,15.13333333,6.066666667,142.2,41.16666667,91.43333333,89.2
18,369,0,2,0,158,25,92,77,,450,383.8333333,29.8,15.36666667,6.333333333,141.8666667,40.96666667,91.6,89.26666667
18,371,0,0,1,160,25,93,77,,456,384.0333333,30.16666667,15.53333333,6.433333333,141.7,41.03333333,91.63333333,89.3
18,371,0,0,0,162,26,92,75,,462,384.1666667,30.53333333,15.76666667,6.566666667,141.4333333,41.03333333,91.63333333,89.4
18,370,0,0,0,159,25,92,78,,468,384.2,30.76666667,15.93333333,6.766666667,141.0333333,40.86666667,91.73333333,89.63333333
18,371,0,0,0,160,26,92,77,,474,384.1333333,30.96666667,16.2,6.833333333,140.7666667,40.9,91.73333333,89.66666667
18,371,0,0,0,161,25,92,76,,480,384.3,31.4,16.46666667,7.066666667,140.6,40.83333333,91.9,89.66666667
18,371,0,0,0,160,25,92,77,,486,384.5333333,31.73333333,16.56666667,7.266666667,140.4,40.73333333,92.1,89.76666667
18,371,0,0,0,162,26,92,75,,492,384.6333333,32.06666667,16.8,7.333333333,140,40.73333333,92.03333333,89.93333333
18,370,0,1,0,161,26,92,75,,498,384.7333333,32.36666667,16.96666667,7.433333333,139.5666667,40.66666667,92.03333333,90.2
18,371,0,0,0,161,25,92,76,,504,384.9333333,32.66666667,17.06666667,7.5,139.6666667,40.83333333,92.06666667,90
