Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,370,0,0,0,160,25,92,77,
12,370,0,0,0,161,26,92,76,
18,370,0,0,0,161,26,92,76,
24,369,0,1,0,160,26,92,76,
30,369,0,1,0,160,26,92,76,
36,369,0,1,0,160,26,92,76,
42,369,0,1,0,160,26,92,76,
48,369,0,1,0,160,26,92,76,
54,370,1,1,0,160,26,92,76,
60,369,1,1,0,159,26,92,77,
66,369,1,1,0,159,26,92,77,
72,369,1,1,0,159,26,92,77,
78,369,1,1,0,163,29,92,76,
84,370,2,1,0,163,29,92,76,
90,370,2,1,0,163,29,92,76,
96,371,3,1,0,163,29,92,76,
102,371,3,1,0,163,29,92,76,
108,371,3,1,0,162,29,92,77,
114,373,5,1,1,161,28,93,78,
120,373,5,1,2,161,27,94,78,
126,373,5,1,2,161,27,94,78,
132,373,5,1,2,161,27,94,78,
138,373,5,1,2,161,27,94,78,
144,373,5,1,2,161,27,94,78,
150,373,5,1,2,163,27,94,78,
156,372,5,2,2,162,27,93,78,
162,372,5,2,2,162,27,93,78,
168,372,5,2,2,162,27,93,78,
174,372,5,2,2,161,27,93,78,
180,372,5,2,2,161,27,93,78,
186,373,6,2,3,161,26,94,78,
192,374,7,2,3,161,26,94,78,
198,376,9,2,3,160,26,94,79,
204,377,10,2,3,160,26,94,79,
210,378,11,2,3,160,26,94,79,
216,379,12,2,3,160,26,94,79,
222,380,13,2,3,160,27,94,80,
228,379,13,3,3,159,27,94,80,
234,379,13,3,3,158,27,94,81,
240,381,15,3,3,158,27,94,81,
246,383,17,3,3,158,28,94,81,
252,384,18,3,3,158,28,94,81,
258,384,18,3,3,158,28,94,81,
264,383,18,4,3,156,28,94,82,
270,383,18,4,3,155,28,94,83,
276,384,19,4,3,155,28,94,83,
282,384,19,4,3,154,28,94,84,
288,383,19,5,3,153,28,93,84,
294,383,19,5,3,154,32,93,84,
300,383,19,5,3,153,32,93,85,
306,384,20,5,3,153,32,93,85,
312,385,21,5,3,153,32,93,85,
318,385,21,5,3,153,32,93,85,
324,387,23,5,3,152,32,93,86,
330,387,23,5,4,152,31,94,86,
336,388,24,5,4,152,31,94,86,
342,386,24,7,4,150,31,93,86,
348,386,24,7,4,149,31,93,87,
354,384,24,8,4,148,31,93,88,
360,383,24,9,4,147,31,92,88,
366,384,25,9,4,148,34,92,90,
372,383,25,10,4,147,34,92,90,
378,383,25,10,4,147,34,92,90,
384,383,26,11,5,146,34,92,90,
390,385,28,11,5,146,34,92,90,
396,383,28,12,5,144,34,92,91,
402,383,28,12,5,143,34,92,92,
408,383,28,12,6,142,34,93,93,
414,383,28,12,6,142,33,93,93,
420,384,29,12,6,142,33,93,93,
426,384,29,12,6,142,33,93,93,
432,384,29,12,6,141,33,93,94,
438,384,29,12,6,141,41,93,93,
444,384,29,12,6,142,41,93,92,
450,384,29,12,6,142,41,93,92,
456,385,30,12,6,141,41,93,93,
462,384,30,13,8,140,39,94,93,
468,384,30,13,9,140,38,95,93,
474,383,30,14,9,138,38,95,94,
480,385,32,14,10,137,38,96,95,
486,385,32,14,10,137,38,96,95,
492,383,32,16,10,135,38,95,95,
498,382,32,17,10,134,38,94,95,
504,383,33,17,10,135,39,94,94,
510,384,34,17,10,135,39,94,94,
516,384,35,18,10,133,40,94,93,
522,384,35,18,10,133,40,94,93,
528,385,36,18,10,133,40,94,93,
534,384,36,19,10,133,40,94,92,
540,383,36,20,10,132,40,94,92,
546,383,36,20,10,132,40,94,92,
552,382,36,21,10,131,40,93,92,
558,383,37,21,10,131,40,93,92,
564,383,37,21,10,130,40,93,93,
570,383,38,22,10,129,40,93,93,
576,384,39,22,10,129,40,93,93,
582,384,39,22,10,129,40,93,93,
588,385,40,22,10,127,41,93,93,
594,384,40,23,10,126,41,92,93,
600,384,40,23,11,125,41,93,94,
606,383,40,24,12,124,40,94,94,
612,383,40,24,12,123,40,94,95,
618,383,40,24,12,123,40,94,95,
624,384,41,24,13,123,40,95,95,
630,384,41,24,13,123,39,95,95,
636,385,42,24,13,123,39,95,95,
642,385,42,24,13,123,39,95,95,
648,385,42,24,13,121,39,95,97,
654,386,43,24,13,122,40,95,96,
660,386,43,24,13,120,40,95,96,
666,386,43,24,13,120,40,95,96,
672,386,43,24,13,120,40,95,96,
678,387,44,24,13,120,40,95,96,
684,387,44,24,14,120,39,96,96,
690,388,45,24,14,120,39,96,96,
696,388,45,24,14,121,40,96,95,
