Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,735,0,3,78,112,97,158,267,23,1.0192307692307692:1,214,
12,729,0,9,66,113,101,160,265,24,1.025:1,213,
18,725,0,13,59,114,104,159,265,24,1.0251396648044693:1,212,
24,721,0,17,50,119,104,155,267,26,1.0139664804469273:1,213,
30,720,0,18,40,120,111,153,267,29,1.011173184357542:1,215,
36,717,0,21,37,117,116,150,268,29,1.0140449438202248:1,214,
42,714,0,24,34,114,121,147,269,29,1.0056179775280898:1,214,
48,710,0,28,29,114,125,140,272,30,1.0:1,215,
54,730,24,32,44,116,129,138,271,32,1.0:1,214,
60,728,24,34,36,121,128,136,272,35,1.0:1,213,
66,725,24,37,30,119,134,130,277,35,1.0083102493074791:1,215,
72,723,24,39,22,125,134,129,276,37,1.0083333333333333:1,213,
78,718,24,44,22,118,135,128,276,39,1.0168539325842696:1,213,
84,710,24,52,20,113,137,125,275,40,1.0056497175141244:1,212,
90,706,24,56,20,109,136,121,280,40,1.0171428571428571:1,214,
96,703,24,59,20,103,141,116,282,41,1.0259365994236311:1,213,
102,698,24,64,20,97,145,116,280,40,1.0349854227405249:1,209,
108,692,24,70,18,94,143,116,279,42,1.0412979351032448:1,207,
114,687,24,75,18,89,146,111,282,41,1.0568862275449102:1,210,
120,685,24,77,18,87,144,111,283,42,1.0632530120481927:1,211,
126,745,88,81,62,100,148,108,284,43,1.075208913649025:1,210,
132,742,88,84,61,98,149,104,285,45,1.0784313725490196:1,209,
138,736,88,90,61,95,151,100,283,46,1.07909604519774:1,208,
144,731,88,95,60,91,151,97,285,47,1.0708215297450425:1,209,
150,729,88,97,60,88,151,98,284,48,1.065155807365439:1,208,
156,724,88,102,59,80,157,92,288,48,1.0685714285714285:1,210,
162,721,88,105,59,76,160,90,288,48,1.06:1,207,
168,717,88,109,59,67,166,85,292,48,1.0544412607449856:1,210,
174,713,88,113,57,57,176,78,295,50,1.0488505747126438:1,208,
180,706,88,120,56,55,177,77,292,49,1.052325581395349:1,207,
186,702,88,124,53,51,177,75,296,50,1.0466472303206997:1,209,
192,699,88,127,52,45,180,74,297,51,1.0558823529411765:1,209,
198,768,162,132,74,91,181,74,295,53,1.0589812332439679:1,204,
204,765,164,137,73,81,192,70,294,55,1.0564516129032258:1,204,
210,760,164,142,72,77,195,63,298,55,1.0596205962059622:1,208,
216,759,164,143,71,68,204,58,303,55,1.056910569105691:1,210,
222,755,164,147,70,67,204,59,300,55,1.0516304347826086:1,208,
228,752,164,150,68,67,203,59,298,57,1.0434782608695652:1,206,
234,745,164,157,67,66,200,59,297,56,1.0467032967032968:1,205,
240,741,164,161,66,65,195,62,294,59,1.0413223140495869:1,202,
246,734,164,168,66,65,191,63,285,64,1.0276243093922652:1,194,
252,728,164,174,64,65,187,64,284,64,1.0278551532033426:1,195,
258,724,164,178,63,65,183,67,282,64,1.0223463687150838:1,193,
264,722,164,180,63,65,179,71,281,63,1.022408963585434:1,192,
270,775,222,185,61,109,193,71,275,66,1.0077720207253886:1,188,
276,773,223,188,58,110,195,69,275,66,1.0130208333333333:1,189,
282,768,223,193,58,110,192,69,274,65,1.015748031496063:1,190,
288,765,223,196,56,110,189,71,270,69,1.0184696569920844:1,186,
294,760,223,201,56,109,187,69,269,70,1.0266666666666666:1,185,
300,756,223,205,56,109,184,68,270,69,1.032258064516129:1,184,
306,754,223,207,56,108,177,73,268,72,1.0323450134770888:1,184,
312,750,223,211,55,108,173,72,271,71,1.0215633423180592:1,185,
