Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,722,0,8,82,122,107,139,236,36,0.8802083333333334:1,207,
12,718,0,12,73,124,113,137,235,36,0.8795811518324608:1,204,
18,715,0,15,64,131,113,136,232,39,0.881578947368421:1,200,
24,706,0,24,52,134,112,137,230,41,0.8877005347593583:1,199,
30,701,0,29,45,136,112,135,233,40,0.8793565683646113:1,198,
36,696,0,34,37,134,118,132,234,41,0.8810810810810811:1,199,
42,690,0,40,30,133,122,126,237,42,0.8801089918256131:1,198,
48,686,0,44,27,131,121,126,238,43,0.8692098092643051:1,198,
54,749,72,53,91,135,123,124,234,42,0.8539603960396039:1,195,
60,745,72,57,82,138,125,125,232,43,0.85785536159601:1,194,
66,739,72,63,78,136,129,122,230,44,0.8614609571788413:1,191,
72,731,72,71,70,139,130,122,226,44,0.8647959183673469:1,187,
78,727,72,75,66,132,135,120,228,46,0.8593350383631714:1,187,
84,723,72,79,64,126,139,115,232,47,0.8682170542635659:1,186,
90,719,72,83,62,121,140,110,238,48,0.8772845953002611:1,189,
96,709,72,93,62,119,139,110,232,47,0.8657894736842106:1,183,
102,700,72,102,59,116,136,110,233,46,0.8716577540106952:1,183,
108,696,72,106,57,114,136,109,234,46,0.8810810810810811:1,184,
114,691,72,111,55,113,134,109,233,47,0.8777173913043478:1,183,
120,690,72,112,55,104,140,107,235,49,0.8801089918256131:1,183,
126,762,147,115,75,151,146,107,234,49,0.8814814814814815:1,182,
132,755,147,122,74,146,149,108,228,50,0.8827930174563591:1,178,
138,749,147,128,72,143,149,108,226,51,0.8819095477386935:1,176,
144,743,147,134,71,136,154,106,224,52,0.8762626262626263:1,175,
150,732,147,145,70,129,157,104,224,48,0.8817480719794345:1,174,
156,723,147,154,69,119,164,102,220,49,0.8877284595300261:1,171,
162,712,147,165,66,108,173,96,221,48,0.8835978835978836:1,171,
168,707,147,170,65,103,178,89,223,49,0.8903743315508021:1,170,
174,703,147,174,64,96,183,87,223,50,0.8847184986595175:1,168,
180,701,147,176,63,88,187,86,226,51,0.8844086021505376:1,171,
186,694,147,183,62,82,189,85,226,50,0.8858695652173914:1,168,
192,686,147,191,62,76,191,82,228,47,0.8743169398907104:1,168,
198,756,223,197,75,133,192,82,225,49,0.8439024390243902:1,165,
