Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,686,0,5,73,129,100,131,230,23,1.0235988200589972:1,196,
12,684,0,7,67,125,108,129,233,22,1.0176991150442478:1,196,
18,678,0,13,54,133,111,125,233,22,1.0178571428571428:1,196,
24,675,0,16,49,131,114,124,233,24,1.0089285714285714:1,196,
30,673,0,18,43,127,121,124,234,24,1.008955223880597:1,196,
36,668,0,23,31,130,123,121,239,24,1.0120481927710843:1,198,
42,663,0,28,28,125,125,122,240,23,1.021341463414634:1,197,
48,658,0,33,24,125,122,121,243,23,1.01840490797546:1,198,
54,739,87,39,100,121,132,115,248,23,1.013623978201635:1,200,
60,737,87,41,94,120,138,114,248,23,1.0136612021857923:1,200,
66,731,87,47,85,125,137,113,246,25,1.0137741046831956:1,196,
72,725,87,53,78,125,140,110,244,28,1.0194986072423398:1,196,
78,719,87,59,76,121,139,110,243,30,1.0196629213483146:1,193,
84,715,87,63,74,117,142,111,240,31,1.03125:1,191,
90,706,87,72,71,112,145,105,243,30,1.028735632183908:1,192,
96,700,87,78,70,108,146,104,241,31,1.0289855072463767:1,190,
102,695,87,83,69,103,147,104,241,31,1.0321637426900585:1,191,
108,693,87,85,68,97,152,97,249,30,1.032258064516129:1,193,
114,690,87,88,68,91,156,96,247,32,1.0294117647058822:1,191,
120,683,87,95,68,83,164,90,246,32,1.0207100591715976:1,189,
126,742,151,100,64,146,164,89,247,32,1.0273224043715847:1,191,
132,737,151,105,62,142,166,90,245,32,1.0359116022099448:1,190,
138,733,151,109,61,140,164,90,246,32,1.047486033519553:1,193,
144,729,151,113,60,135,161,93,246,34,1.047752808988764:1,192,
150,723,151,119,59,128,163,93,247,33,1.048158640226629:1,192,
156,715,151,127,56,124,162,91,249,33,1.0545977011494252:1,190,
162,713,151,129,55,114,171,87,253,33,1.0547550432276658:1,193,
168,708,151,134,54,106,178,87,250,33,1.0521739130434782:1,191,
174,702,151,140,53,101,180,85,250,33,1.0526315789473684:1,189,
180,699,151,143,51,94,186,81,254,33,1.0498533724340176:1,192,
186,697,151,145,50,89,190,80,253,35,1.056047197640118:1,191,
192,691,151,151,50,89,188,76,252,36,1.0626865671641792:1,192,
198,796,258,153,108,134,189,76,252,37,1.041025641025641:1,192,
204,790,258,159,106,130,193,72,253,36,1.0466321243523315:1,194,
210,780,258,169,104,123,196,69,254,34,1.0418848167539267:1,193,
216,778,258,171,104,116,199,71,254,34,1.0473684210526315:1,193,
222,773,258,176,104,114,199,69,252,35,1.0558510638297873:1,192,
228,768,258,181,103,114,197,68,252,34,1.053475935828877:1,191,
234,762,258,187,101,114,195,69,249,34,1.0594594594594595:1,189,
240,759,258,190,101,113,193,71,245,36,1.0625:1,187,
