Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,685,0,11,75,110,109,129,239,23,0.9970845481049563:1,210,
12,680,0,16,71,108,109,129,240,23,0.9883040935672515:1,207,
18,677,0,19,60,111,113,129,241,23,0.9911764705882353:1,206,
24,677,0,19,55,113,114,131,241,23,0.9911764705882353:1,206,
30,672,0,24,48,113,113,134,240,24,0.9940652818991098:1,203,
36,667,0,29,38,120,110,137,236,26,1.003003003003003:1,201,
42,664,0,32,34,119,112,136,234,29,0.993993993993994:1,198,
48,661,0,35,30,116,119,131,236,29,1.003030303030303:1,198,
54,737,79,38,102,117,120,131,237,30,0.9653333333333334:1,199,
60,732,79,43,89,125,118,133,235,32,0.9572192513368984:1,197,
66,727,79,48,81,124,123,131,235,33,0.9543010752688172:1,197,
72,723,79,52,76,124,124,127,238,34,0.9487870619946092:1,199,
78,714,79,61,72,121,127,123,237,34,0.9561643835616438:1,197,
84,708,79,67,71,115,131,121,237,33,0.9558011049723757:1,197,
90,706,79,69,71,112,131,119,239,34,0.9611111111111111:1,199,
96,701,79,74,71,107,134,117,238,34,0.9635854341736695:1,198,
102,695,79,80,70,102,135,117,236,35,0.9744318181818182:1,197,
108,693,79,82,70,97,139,116,235,36,0.96875:1,196,
114,690,79,85,68,90,144,112,239,37,0.9714285714285714:1,197,
120,680,79,95,65,89,144,106,240,36,0.9710144927536232:1,198,
126,748,149,97,70,149,148,100,245,36,1.0053619302949062:1,201,
132,742,149,103,69,145,150,100,242,36,1.0:1,196,
138,735,149,110,65,139,156,99,241,35,1.002724795640327:1,196,
144,730,149,115,65,137,154,101,240,33,0.994535519125683:1,195,
150,723,149,122,64,132,157,99,238,33,1.002770083102493:1,192,
156,718,149,127,62,130,157,96,241,32,1.005586592178771:1,192,
162,712,149,133,61,121,163,92,241,34,1.0169971671388103:1,192,
168,709,149,136,60,115,165,92,241,36,1.0084985835694051:1,190,
174,704,149,141,58,110,168,87,245,36,1.0056980056980056:1,190,
180,700,149,145,57,100,175,81,246,41,1.0:1,187,
186,696,149,149,57,96,173,81,247,42,1.0:1,186,
192,690,149,155,55,94,170,81,245,45,0.9942196531791907:1,183,
198,786,251,161,105,141,171,79,246,44,1.0310077519379846:1,183,
204,785,253,164,103,135,178,80,243,46,1.0179948586118253:1,179,
210,782,253,167,102,126,187,77,241,49,1.0154639175257731:1,177,
216,776,253,173,99,122,188,73,244,50,1.0155844155844156:1,176,
222,772,253,177,99,119,189,71,245,49,1.0209424083769634:1,176,
228,764,253,185,96,118,187,70,242,51,1.0105263157894737:1,171,
234,756,253,193,94,117,185,71,238,51,1.016:1,170,
240,748,253,201,91,115,183,71,237,51,1.02710027100271:1,171,
246,744,253,205,90,114,180,71,237,52,1.0272479564032697:1,171,
252,740,253,209,89,114,176,68,240,53,1.0163487738419619:1,172,
258,730,253,219,85,114,173,65,239,54,1.0165745856353592:1,172,
264,726,253,223,84,113,170,66,238,55,1.0166666666666666:1,173,
270,785,321,232,69,136,225,67,232,56,0.9823232323232324:1,170,
276,782,324,238,69,136,224,65,230,58,1.0:1,169,
282,773,324,247,64,136,221,64,230,58,1.0025906735751295:1,167,
288,771,324,249,64,136,221,62,231,57,1.0025974025974025:1,166,
294,769,324,251,63,136,218,63,233,56,1.0078328981723237:1,166,
300,765,324,255,62,136,214,64,232,57,1.013157894736842:1,166,
306,760,324,260,60,136,211,65,230,58,1.0212765957446808:1,163,
312,758,324,262,59,136,204,71,229,59,1.0213333333333334:1,163,
318,754,324,266,58,136,202,72,228,58,1.0214477211796247:1,163,
324,750,324,270,57,136,195,75,229,58,1.0215633423180592:1,164,
330,742,324,278,55,136,192,76,225,58,1.0328767123287672:1,161,
336,738,324,282,54,135,185,83,224,57,1.0386740331491713:1,161,
342,823,412,285,93,134,231,86,223,56,1.0678391959798994:1,160,
348,819,416,293,87,135,230,87,223,57,1.0629722921914357:1,157,
354,808,416,304,81,135,227,90,218,57,1.0612244897959184:1,152,
360,797,416,315,81,135,218,94,214,55,1.0541237113402062:1,148,
366,792,416,320,81,134,215,95,214,53,1.0571428571428572:1,148,
372,787,416,325,79,133,213,97,211,54,1.0548302872062663:1,146,
378,779,416,333,77,131,209,99,210,53,1.06631299734748:1,145,
384,769,416,343,75,131,203,98,211,51,1.084010840108401:1,145,
390,761,416,351,71,131,199,99,211,50,1.084931506849315:1,145,
396,754,416,358,67,131,196,100,210,50,1.0714285714285714:1,145,
402,745,416,367,65,131,192,101,207,49,1.075208913649025:1,143,
408,739,416,373,62,131,187,102,210,47,1.0642458100558658:1,144,
414,810,491,377,135,131,184,102,211,47,1.066326530612245:1,144,
420,815,497,378,81,111,259,104,212,48,1.0685279187817258:1,144,
426,810,497,383,79,111,254,106,214,46,1.0610687022900764:1,145,
432,808,497,385,78,111,251,109,213,46,1.0612244897959184:1,144,
438,799,497,394,73,110,247,109,214,46,1.0699481865284974:1,143,
444,794,497,399,71,110,246,108,212,47,1.0785340314136125:1,141,
450,790,497,403,71,110,240,110,210,49,1.073490813648294:1,140,
456,784,497,409,67,110,229,116,212,50,1.063157894736842:1,140,
