Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area,Avg Household Income
6,361,391,3.8404255319148937,4.159574468085107,2.428351063829786,2.5036170212765962,18827.856893228723,
12,331,421,3.521276595744681,4.4787234042553195,2.2139893617021267,2.663829787234043,18507.799334747993,
18,306,446,3.25531914893617,4.74468085106383,2.073351063829787,2.75404255319149,18194.310561423837,
24,288,464,3.0638297872340425,4.9361702127659575,1.971223404255319,2.8497872340425543,18618.927854223446,
30,283,469,3.0106382978723403,4.98936170212766,1.9269680851063828,2.8742553191489373,18835.932222257517,
36,279,473,2.9680851063829787,5.031914893617022,1.9189893617021272,2.8902127659574477,19886.381885442002,
42,278,474,2.9574468085106385,5.042553191489362,1.8853723404255316,2.8894680851063845,19991.073092388757,
48,277,475,2.9468085106382977,5.053191489361702,1.8864361702127654,2.890531914893619,20665.375013806188,
54,277,475,2.9468085106382977,5.053191489361702,1.8853723404255316,2.900106382978725,20567.698620814983,
60,275,477,2.925531914893617,5.074468085106383,1.8811170212765953,2.9128723404255332,19980.106978553795,
66,270,482,2.872340425531915,5.127659574468085,1.8662234042553187,2.941595744680852,20165.91604369602,
72,269,483,2.8617021276595747,5.138297872340425,1.8443085106382977,2.929893617021278,19677.670585609932,
78,269,483,2.8617021276595747,5.138297872340425,1.8411170212765955,2.946914893617022,19376.045288911333,
84,267,485,2.8404255319148937,5.159574468085107,1.8245212765957444,2.9504255319148944,19231.54892901676,
90,268,484,2.851063829787234,5.148936170212766,1.8340957446808508,2.9504255319148944,18541.00065196057,
96,268,484,2.851063829787234,5.148936170212766,1.8340957446808508,2.9504255319148944,18543.321891136868,
102,266,486,2.8297872340425534,5.170212765957447,1.8330319148936167,2.9514893617021287,18901.37883454259,
108,268,484,2.851063829787234,5.148936170212766,1.8340957446808508,2.9504255319148944,19080.58511210266,
114,267,485,2.8404255319148937,5.159574468085107,1.8447340425531913,2.9525531914893626,18521.19545783157,
120,265,487,2.8191489361702127,5.180851063829787,1.8160106382978722,2.958936170212767,18264.054613298562,
126,266,486,2.8297872340425534,5.170212765957447,1.8181382978723402,2.958936170212767,18561.85030759618,
132,265,487,2.8191489361702127,5.180851063829787,1.8168617021276592,2.958936170212767,18606.490391731437,
138,264,488,2.8085106382978724,5.191489361702128,1.8264361702127656,2.9717021276595754,18630.533685098606,
144,265,487,2.8191489361702127,5.180851063829787,1.8157978723404253,2.958936170212767,18815.65308966534,
150,262,490,2.7872340425531914,5.212765957446808,1.8051595744680848,2.9621276595744694,17880.016342188992,
156,265,487,2.8191489361702127,5.180851063829787,1.8168617021276592,2.958936170212767,17437.314349813074,
162,265,487,2.8191489361702127,5.180851063829787,1.8157978723404253,2.958936170212767,17433.058272451577,
168,266,486,2.8297872340425534,5.170212765957447,1.8168617021276592,2.9482978723404267,16307.298017916555,
174,265,487,2.8191489361702127,5.180851063829787,1.8274999999999997,2.9504255319148944,16983.39715606467,
180,263,489,2.797872340425532,5.202127659574468,1.8157978723404253,2.9823404255319157,17257.697236007636,
186,265,487,2.8191489361702127,5.180851063829787,1.8168617021276592,2.958936170212767,17657.149980118724,
192,263,489,2.797872340425532,5.202127659574468,1.8147340425531913,2.9600000000000013,17898.418344453632,
198,265,487,2.8191489361702127,5.180851063829787,1.8157978723404253,2.958936170212767,17475.475020087357,
204,265,487,2.8191489361702127,5.180851063829787,1.8168617021276592,2.958936170212767,18752.927888814902,
210,263,489,2.797872340425532,5.202127659574468,1.8168617021276592,2.9823404255319157,18758.19595999143,
216,263,489,2.797872340425532,5.202127659574468,1.804627659574468,2.978510638297873,19066.55558611931,
222,264,488,2.8085106382978724,5.191489361702128,1.805159574468085,2.9678723404255325,18460.555694894945,
228,263,489,2.797872340425532,5.202127659574468,1.7987765957446806,2.957234042553192,18593.738561083745,
234,262,490,2.7872340425531914,5.212765957446808,1.7987765957446806,2.968936170212767,18998.147088384336,
