Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,702,0,5,59,117,117,141,239,29,0.8820375335120644:1,210,
12,697,0,10,57,112,120,141,235,32,0.8888888888888888:1,204,
18,693,0,14,50,114,122,135,239,33,0.8986301369863013:1,204,
24,687,0,20,41,119,122,129,241,35,0.8925619834710744:1,205,
30,682,0,25,34,121,124,126,240,37,0.8997214484679665:1,204,
36,676,0,31,30,113,129,128,238,38,0.898876404494382:1,199,
42,672,0,35,24,114,132,128,235,39,0.9036827195467422:1,196,
48,671,0,36,20,114,133,130,232,42,0.9008498583569405:1,193,
54,742,75,40,90,116,132,125,236,43,0.9123711340206185:1,193,
60,740,75,42,85,115,136,125,235,44,0.917098445595855:1,190,
66,732,75,50,81,112,137,121,238,43,0.9212598425196851:1,190,
72,728,75,54,77,110,138,121,237,45,0.920844327176781:1,189,
78,723,75,59,73,108,138,123,238,43,0.9126984126984127:1,188,
84,717,75,65,73,104,140,119,240,41,0.9171122994652406:1,189,
90,712,75,70,71,97,143,119,240,42,0.9139784946236559:1,188,
96,709,75,73,70,95,141,120,243,40,0.9162162162162162:1,189,
102,705,75,77,69,85,150,115,244,42,0.9209809264305178:1,186,
108,702,75,80,67,79,153,113,248,42,0.9285714285714286:1,187,
114,697,75,85,65,77,152,115,247,41,0.9201101928374655:1,185,
120,693,75,89,64,70,158,114,246,41,0.925:1,183,
126,758,144,93,69,130,156,115,246,42,0.9336734693877551:1,183,
132,752,144,99,66,127,157,115,245,42,0.9431524547803618:1,183,
138,748,144,103,66,123,159,113,243,44,0.9479166666666666:1,182,
144,746,144,105,65,117,164,110,247,43,0.9477806788511749:1,184,
150,736,144,115,64,112,166,107,244,43,0.9626666666666667:1,182,
156,735,144,116,63,111,166,102,249,44,0.96:1,184,
162,732,144,119,63,108,164,101,252,44,0.9572192513368984:1,185,
168,723,144,128,61,100,169,98,251,44,0.959349593495935:1,184,
174,722,144,129,61,95,173,92,256,45,0.9619565217391305:1,187,
180,717,144,134,59,91,172,91,259,45,0.9590163934426229:1,190,
186,712,144,139,59,87,171,94,255,46,0.9668508287292817:1,188,
192,708,144,143,58,82,174,88,259,47,0.9666666666666667:1,186,
198,802,247,152,106,132,172,84,261,47,0.9851485148514851:1,185,
204,802,249,154,104,130,173,86,260,49,0.9900744416873449:1,184,
210,799,249,157,103,124,176,85,260,51,0.9925187032418953:1,182,
216,794,249,162,103,122,177,82,258,52,1.005050505050505:1,180,
222,785,249,171,101,116,180,77,258,53,1.0025510204081634:1,177,
228,778,249,178,99,116,179,75,258,51,1.0155440414507773:1,177,
234,773,249,183,99,116,175,77,255,51,1.0182767624020888:1,174,
240,767,249,189,97,116,175,76,253,50,1.0237467018469657:1,174,
246,762,249,194,94,116,171,77,255,49,1.0265957446808511:1,176,
252,752,249,204,92,116,167,75,255,47,1.0269541778975741:1,176,
258,746,249,210,91,116,166,73,255,45,1.0326975476839237:1,176,
264,739,249,217,87,116,164,72,254,46,1.0302197802197801:1,176,
270,796,312,223,70,141,216,72,253,44,1.0203045685279188:1,176,
276,796,315,226,64,143,216,75,254,44,1.0151898734177216:1,175,
282,791,315,231,62,142,214,76,252,45,1.0127226463104326:1,174,
288,787,315,235,62,141,212,76,248,48,1.0127877237851663:1,172,
294,782,315,240,61,141,210,74,248,48,1.0154639175257731:1,175,
300,776,315,246,59,141,204,76,248,48,1.0261096605744124:1,177,
306,769,315,253,58,141,200,76,246,48,1.029023746701847:1,175,
312,764,315,258,57,141,196,74,249,47,1.0211640211640212:1,174,
318,760,315,262,57,141,195,73,248,46,1.0212765957446808:1,173,
324,755,315,267,56,141,191,73,248,46,1.018716577540107:1,172,
330,753,315,269,56,141,182,78,250,46,1.0187667560321716:1,174,
336,749,315,273,56,140,180,79,247,47,1.0188679245283019:1,173,
342,832,403,278,93,141,227,79,245,47,1.0096618357487923:1,170,
348,831,407,283,91,140,231,78,242,49,1.026829268292683:1,168,
354,825,407,289,87,140,224,85,240,49,1.027027027027027:1,166,
360,817,407,297,84,140,217,88,238,50,1.0323383084577114:1,164,
366,813,407,301,83,140,211,94,237,48,1.037593984962406:1,163,
372,809,407,305,81,140,209,95,236,48,1.0326633165829147:1,162,
378,807,407,307,80,140,203,99,237,48,1.0327455919395465:1,163,
384,799,407,315,77,140,198,102,235,47,1.0227848101265822:1,162,
390,793,407,321,75,139,194,104,234,47,1.0178117048346056:1,160,
396,791,407,323,75,139,187,109,234,47,1.0178571428571428:1,160,
402,786,407,328,72,139,183,107,238,47,1.0153846153846153:1,163,
408,781,407,333,71,139,180,108,234,49,1.0233160621761659:1,161,
414,841,471,337,134,138,175,112,232,50,1.0265060240963855:1,159,
420,840,478,345,71,124,254,114,229,48,1.0192307692307692:1,157,
426,834,478,351,70,124,247,116,227,50,1.0242718446601942:1,156,
432,831,478,354,70,124,243,116,228,50,1.026829268292683:1,158,
438,826,478,359,68,123,239,120,228,48,1.0245098039215685:1,158,
444,813,478,372,64,123,234,122,221,49,1.0223880597014925:1,152,
450,809,478,376,63,122,233,122,219,50,1.0225:1,151,
456,806,478,379,61,122,230,123,221,49,1.015:1,153,
462,801,478,384,59,121,224,127,218,52,1.0176322418136021:1,150,
468,795,478,390,59,121,218,128,218,51,1.0229007633587786:1,152,
474,790,478,395,58,120,215,129,215,53,1.0153061224489797:1,147,
480,787,478,398,57,120,211,133,213,53,1.0179487179487179:1,145,
486,785,478,400,57,120,208,134,212,54,1.0179948586118253:1,144,
492,854,551,404,73,124,256,135,212,54,1.0430622009569377:1,146,
498,852,551,406,73,124,250,136,215,54,1.0480769230769231:1,147,
504,848,551,410,71,124,246,137,215,55,1.058252427184466:1,147,
510,842,551,416,68,124,243,137,215,55,1.048661800486618:1,147,
516,837,551,421,68,122,240,135,217,55,1.0514705882352942:1,147,
522,833,551,425,67,121,240,130,221,54,1.061881188118812:1,148,
528,821,551,437,65,120,239,129,218,50,1.0784810126582278:1,147,
534,815,551,443,64,118,238,126,217,52,1.0843989769820972:1,146,
540,810,551,448,62,118,238,124,217,51,1.082262210796915:1,147,
546,806,551,452,60,118,237,116,223,52,1.0719794344473008:1,149,
552,802,551,456,59,118,237,111,225,52,1.0670103092783505:1,150,
558,794,551,464,57,117,237,109,222,52,1.0569948186528497:1,147,
564,861,622,468,70,109,247,161,222,52,1.0402843601895735:1,146,
570,858,622,471,69,109,245,160,224,51,1.042857142857143:1,147,
576,854,622,475,69,108,245,155,226,51,1.0430622009569377:1,148,
582,848,622,481,66,108,245,149,230,50,1.0433734939759036:1,149,
588,839,622,490,65,108,243,145,229,49,1.0563725490196079:1,147,
594,836,622,493,65,108,243,142,230,48,1.054054054054054:1,148,
600,829,622,500,62,107,243,136,234,47,1.0570719602977667:1,150,
606,824,622,505,61,106,243,134,231,49,1.06:1,148,
612,817,622,512,58,106,243,126,235,49,1.0683544303797468:1,148,
618,811,622,518,57,105,241,122,237,49,1.0741687979539642:1,151,
624,806,622,523,56,105,240,121,236,48,1.077319587628866:1,152,
630,803,622,526,56,105,239,114,238,51,1.074935400516796:1,152,
636,863,685,529,64,111,239,160,239,50,1.0845410628019323:1,151,
642,856,685,536,62,109,239,160,234,52,1.0827250608272505:1,149,
648,853,685,539,61,109,239,154,238,52,1.0804878048780489:1,150,
654,847,685,545,59,109,239,149,240,51,1.0759803921568627:1,150,
660,845,685,547,59,109,239,143,244,51,1.076167076167076:1,150,
666,836,685,556,59,108,237,142,237,53,1.09:1,146,
672,831,685,561,57,108,237,141,233,55,1.0984848484848484:1,145,
678,824,685,568,55,108,235,139,233,54,1.1074168797953965:1,147,
684,816,685,576,52,107,235,133,233,56,1.1030927835051547:1,144,
690,811,685,581,51,107,234,130,234,55,1.0956072351421189:1,144,
696,805,685,587,50,107,233,126,236,53,1.0909090909090908:1,145,
702,801,685,591,49,106,233,122,238,53,1.0859375:1,145,
708,865,751,593,70,101,217,185,240,52,1.114914425427873:1,145,
714,862,752,597,67,101,211,189,242,52,1.117936117936118:1,146,
720,857,752,602,66,101,211,184,241,54,1.1265508684863523:1,143,
726,850,752,609,64,100,210,182,239,55,1.125:1,142,
732,844,752,615,63,99,208,178,242,54,1.120603015075377:1,144,
738,840,752,619,63,98,208,178,240,53,1.121212121212121:1,143,
744,836,752,623,62,97,207,178,238,54,1.1111111111111112:1,142,
750,833,752,626,62,96,207,178,236,54,1.1195928753180662:1,142,
756,830,752,629,62,95,206,178,235,54,1.1173469387755102:1,141,
762,824,752,635,62,93,206,178,232,53,1.1237113402061856:1,141,
768,821,752,638,62,92,205,177,231,54,1.115979381443299:1,140,
774,814,752,645,60,92,205,176,229,52,1.1253263707571801:1,140,
780,871,814,650,66,101,251,175,227,51,1.0887290167865706:1,139,
786,869,818,656,66,100,208,167,276,52,1.0889423076923077:1,160,
792,864,818,661,66,100,208,166,272,52,1.0869565217391304:1,157,
