Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area,Avg Household Income
6,363,389,3.8617021276595747,4.138297872340425,2.394095744680851,2.2945744680851066,19187.916939349678,
12,327,425,3.478723404255319,4.5212765957446805,2.169308510638298,2.446276595744681,19748.219624196576,
18,312,440,3.3191489361702127,4.680851063829787,2.069734042553191,2.528829787234043,20256.1269918221,
24,302,450,3.2127659574468086,4.787234042553192,1.9835638297872336,2.5855319148936173,20198.610723319667,
30,292,460,3.106382978723404,4.8936170212765955,1.9171808510638293,2.6642553191489364,19608.73604704327,
36,288,464,3.0638297872340425,4.9361702127659575,1.8857978723404252,2.687978723404256,19299.409531539837,
42,280,472,2.978723404255319,5.0212765957446805,1.8528191489361698,2.726808510638298,18251.66839870424,
48,280,472,2.978723404255319,5.0212765957446805,1.8517553191489358,2.707659574468085,18153.407322422,
54,275,477,2.925531914893617,5.074468085106383,1.8419680851063824,2.731063829787234,18203.447823763705,
60,273,479,2.904255319148936,5.095744680851064,1.8323936170212762,2.7278723404255314,18533.817013581705,
66,272,480,2.893617021276596,5.1063829787234045,1.8111170212765955,2.7559574468085106,17314.980436255173,
72,271,481,2.882978723404255,5.117021276595745,1.803670212765957,2.747446808510638,17505.942479132493,
78,269,483,2.8617021276595747,5.138297872340425,1.798351063829787,2.7602127659574465,17887.33874276782,
84,266,486,2.8297872340425534,5.170212765957447,1.7948404255319146,2.7836170212765956,17900.681476795908,
90,267,485,2.8404255319148937,5.159574468085107,1.7948404255319146,2.770851063829787,18482.469311537337,
96,265,487,2.8191489361702127,5.180851063829787,1.7895212765957447,2.8027659574468085,18582.6672905222,
102,263,489,2.797872340425532,5.202127659574468,1.7853723404255322,2.824042553191489,19213.28060196647,
108,264,488,2.8085106382978724,5.191489361702128,1.7853723404255322,2.8134042553191487,18683.06663887503,
114,262,490,2.7872340425531914,5.212765957446808,1.7694148936170215,2.841702127659575,18346.856703774753,
120,261,491,2.776595744680851,5.223404255319149,1.758776595744681,2.8523404255319154,19244.527643650297,
126,259,493,2.75531914893617,5.24468085106383,1.758776595744681,2.855531914893618,18901.484710965877,
132,260,492,2.765957446808511,5.23404255319149,1.758776595744681,2.862978723404256,19132.672101701042,
138,259,493,2.75531914893617,5.24468085106383,1.758776595744681,2.8640425531914904,18355.284201545266,
144,258,494,2.74468085106383,5.25531914893617,1.758776595744681,2.8863829787234048,18228.142840221928,
150,258,494,2.74468085106383,5.25531914893617,1.7566489361702131,2.8810638297872346,17882.268135102793,
156,257,495,2.734042553191489,5.26595744680851,1.755053191489362,2.9002127659574475,16950.780841041113,
162,257,495,2.734042553191489,5.26595744680851,1.7566489361702131,2.891702127659575,17980.408187593137,
168,258,494,2.74468085106383,5.25531914893617,1.755053191489362,2.889574468085107,18836.049837383158,
174,258,494,2.74468085106383,5.25531914893617,1.7566489361702131,2.891702127659575,19280.497269037005,
180,257,495,2.734042553191489,5.26595744680851,1.7523936170212768,2.9002127659574475,19957.266154974426,
186,257,495,2.734042553191489,5.26595744680851,1.7507978723404256,2.9002127659574475,18864.84439155318,
192,257,495,2.734042553191489,5.26595744680851,1.7507978723404256,2.9002127659574475,18787.220376967984,
198,257,495,2.734042553191489,5.26595744680851,1.7523936170212768,2.9002127659574475,18541.692998821185,
204,257,495,2.734042553191489,5.26595744680851,1.7523936170212768,2.9023404255319156,18834.236417439908,
210,256,496,2.723404255319149,5.276595744680851,1.7523936170212768,2.9108510638297878,19374.883582289014,
216,256,496,2.723404255319149,5.276595744680851,1.7523936170212768,2.9108510638297878,18419.415045791513,
222,257,495,2.734042553191489,5.26595744680851,1.7523936170212768,2.891702127659575,17643.08201053295,
228,257,495,2.734042553191489,5.26595744680851,1.7507978723404256,2.9002127659574475,17470.672257019254,
234,257,495,2.734042553191489,5.26595744680851,1.7523936170212768,2.9002127659574475,17634.231252291138,
240,258,494,2.74468085106383,5.25531914893617,1.7523936170212768,2.889574468085107,18594.533714238154,
246,255,497,2.7127659574468086,5.287234042553192,1.740053191489362,2.91968085106383,18955.86672518906,
