Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area,Avg Household Income
6,366,386,3.893617021276596,4.1063829787234045,2.413563829787234,2.3496808510638303,19358.690988782186,
12,335,417,3.5638297872340425,4.4361702127659575,2.2013297872340423,2.483617021276596,18986.65611208829,
18,311,441,3.3085106382978724,4.691489361702128,2.064308510638298,2.6824468085106385,19676.22963951434,
24,301,451,3.202127659574468,4.797872340425532,2.012712765957447,2.711170212765958,18736.01774307292,
30,293,459,3.117021276595745,4.882978723404255,1.945053191489362,2.7564893617021284,18850.567798381482,
36,284,468,3.021276595744681,4.9787234042553195,1.9054787234042556,2.7884042553191497,18524.52586787747,
42,281,471,2.9893617021276597,5.01063829787234,1.8942021276595749,2.80436170212766,19066.709697471317,
48,279,473,2.9680851063829787,5.031914893617022,1.8814361702127662,2.815000000000001,19508.43901942628,
54,281,471,2.9893617021276597,5.01063829787234,1.8814361702127662,2.8022340425531924,18450.9477577914,
60,278,474,2.9574468085106385,5.042553191489362,1.873989361702128,2.815000000000001,17274.35971224803,
66,277,475,2.9468085106382977,5.053191489361702,1.8569680851063834,2.82840425531915,17794.063306223903,
72,276,476,2.9361702127659575,5.0638297872340425,1.846329787234043,2.844361702127661,18277.892090864323,
78,274,478,2.9148936170212765,5.085106382978723,1.8325000000000005,2.8656382978723416,17918.450211207582,
84,274,478,2.9148936170212765,5.085106382978723,1.8325000000000005,2.8656382978723416,18569.916881602632,
90,274,478,2.9148936170212765,5.085106382978723,1.8325000000000005,2.8656382978723416,18486.393763405053,
96,274,478,2.9148936170212765,5.085106382978723,1.8325000000000005,2.8656382978723416,17950.337482733514,
102,273,479,2.904255319148936,5.095744680851064,1.8218617021276602,2.8869148936170226,17078.437616662723,
108,273,479,2.904255319148936,5.095744680851064,1.8218617021276602,2.87840425531915,16864.95006675369,
114,272,480,2.893617021276596,5.1063829787234045,1.8218617021276602,2.897553191489363,17909.00208652275,
120,271,481,2.882978723404255,5.117021276595745,1.8218617021276602,2.899680851063831,17131.7961096359,
126,271,481,2.882978723404255,5.117021276595745,1.820265957446809,2.9081914893617036,17110.7839228746,
132,270,482,2.872340425531915,5.127659574468085,1.817606382978724,2.899680851063831,17352.48992611554,
