Steps,Male 0-10,Male 10-20,Male 20-30,Male 30-40,Male 40-50,Male 50-60,Male 60-70,Male 70-80,Male 80-90,Male 90+,Female 0-10,Female 10-20,Female 20-30,Female 30-40,Female 40-50,Female 50-60,Female 60-70,Female 70-80,Female 80-90,Female 90+
6,33,47,49,45,41,28,36,23,4,0,27,46,19,17,30,23,29,21,10,3,
12,33,47,49,45,41,28,36,22,4,0,27,46,19,17,30,23,29,21,10,3,
18,34,47,49,45,41,28,36,22,4,0,28,46,19,17,30,23,29,21,10,3,
24,35,47,49,45,41,28,36,22,4,0,28,46,19,17,30,23,29,21,10,3,
30,35,47,49,45,41,28,36,22,4,0,29,46,19,17,30,23,29,21,10,3,
36,35,46,47,43,44,29,35,23,4,0,30,44,20,18,28,25,29,21,10,3,
42,35,46,47,43,44,29,35,23,4,0,30,44,20,18,28,25,29,21,10,3,
48,35,46,47,43,44,29,34,23,4,0,31,44,20,18,28,25,29,21,10,3,
54,36,46,47,43,44,29,34,23,4,0,31,44,20,18,28,25,29,21,10,3,
60,37,46,47,43,44,29,34,23,4,0,32,44,20,18,28,25,29,20,10,3,
66,37,46,47,43,44,29,34,23,4,0,32,44,20,18,28,25,28,20,10,3,
72,37,46,47,43,44,29,34,23,4,0,32,44,20,18,28,25,28,20,10,3,
78,36,45,46,41,46,32,33,22,6,0,31,44,20,19,25,25,30,21,11,3,
84,36,45,46,41,46,32,33,22,6,0,31,44,20,19,25,25,30,21,11,3,
90,36,45,46,41,46,32,33,22,6,0,31,44,20,19,25,25,30,21,11,3,
96,36,45,46,41,46,32,33,22,6,0,31,44,20,19,25,25,30,21,11,3,
102,37,45,46,41,46,32,32,21,6,0,32,44,20,19,25,25,30,21,11,3,
108,37,45,46,41,46,32,32,21,6,0,32,44,20,19,25,25,30,21,11,3,
114,35,42,48,38,51,30,34,20,8,0,32,38,23,20,27,24,29,23,11,3,
120,35,42,48,38,51,30,34,20,8,0,32,38,23,20,27,24,29,22,11,3,
126,35,42,48,38,51,30,34,20,8,0,32,38,23,20,27,24,29,22,11,3,
132,35,42,48,38,51,30,34,20,8,0,32,38,23,20,27,24,28,22,11,3,
138,36,42,48,38,51,30,34,19,8,0,32,38,23,20,27,24,28,22,11,3,
144,36,42,48,38,51,30,34,18,8,0,32,38,23,20,27,24,28,22,11,3,
150,37,38,45,40,55,30,34,17,9,0,30,38,25,19,24,28,27,20,13,3,
156,38,38,45,40,55,30,34,17,8,0,30,38,25,19,24,28,27,20,13,3,
162,38,38,45,40,55,30,34,17,7,0,30,38,25,19,24,28,27,20,13,3,
168,40,38,45,40,55,30,32,16,7,0,30,38,25,19,24,28,27,20,13,3,
174,40,38,45,40,55,30,32,16,7,0,30,38,25,19,24,28,27,20,12,3,
180,41,38,45,40,55,30,32,16,7,0,30,38,25,19,24,28,27,20,12,3,
186,40,31,47,46,50,35,27,19,7,1,29,36,28,18,23,28,28,18,13,3,
192,41,31,47,46,50,35,27,19,7,1,30,36,28,18,23,28,28,18,13,3,
198,41,31,47,46,50,35,27,19,6,1,32,36,28,18,23,28,28,18,13,3,
204,41,31,47,46,50,35,26,19,5,1,32,36,28,18,23,28,28,18,13,3,
210,42,31,47,46,50,35,26,19,5,1,32,36,28,18,23,28,28,17,13,3,
216,42,31,47,46,50,35,26,19,5,1,32,36,28,18,23,28,28,16,12,3,
222,42,30,42,46,51,39,22,24,5,1,31,34,31,16,22,29,29,17,12,3,
228,42,30,42,46,51,39,21,23,5,1,31,34,31,16,22,29,29,17,12,3,
234,43,30,42,46,51,39,21,23,5,1,31,34,31,16,22,29,29,17,12,3,
240,43,30,42,46,51,39,21,23,4,1,31,34,31,16,22,29,29,17,12,3,
246,45,30,42,46,51,39,21,23,4,1,32,34,31,16,21,29,29,16,12,3,
252,46,30,42,46,51,39,21,23,4,1,32,34,31,16,21,29,29,16,12,3,
258,41,33,39,49,50,38,23,24,5,1,31,35,28,16,22,30,26,20,11,4,
264,41,33,39,49,50,38,23,24,5,1,31,35,28,16,22,30,26,18,11,4,
270,41,33,39,49,50,38,23,24,5,1,31,35,28,16,22,30,26,18,11,4,
276,42,33,39,49,50,38,23,24,5,1,32,35,28,16,22,30,25,18,11,4,
282,42,33,39,49,50,38,23,24,5,1,32,35,28,16,22,30,25,18,11,4,
288,43,33,39,49,50,38,23,24,5,1,32,35,28,16,21,30,25,18,11,4,
294,40,36,34,47,55,36,24,26,6,1,31,33,29,19,18,31,25,20,9,5,
300,40,36,34,47,55,36,24,26,6,1,31,33,29,19,18,31,24,20,9,5,
306,40,36,34,47,55,36,24,24,6,1,31,33,29,19,18,31,24,20,9,5,
312,40,36,34,47,55,36,24,24,6,1,31,33,29,19,18,31,24,20,9,5,
318,40,36,34,47,55,36,24,24,6,1,31,33,29,19,18,31,24,20,9,5,
324,41,36,34,47,55,36,24,23,6,1,31,33,29,19,18,31,23,20,9,4,
330,36,40,33,47,54,34,29,20,8,1,26,37,29,19,18,31,21,23,9,4,
336,36,40,33,47,54,34,28,20,8,1,28,37,29,19,18,31,21,23,9,4,
342,36,40,33,47,54,34,28,20,8,1,29,37,29,19,18,31,21,23,9,4,
348,36,40,33,47,54,34,28,18,8,1,29,37,29,19,18,31,21,23,9,4,
354,35,41,33,47,54,34,28,18,8,1,29,37,29,19,18,31,21,23,9,4,
360,35,41,33,47,54,34,28,18,8,1,29,37,29,19,18,31,21,23,9,4,
366,36,41,30,48,49,38,30,19,8,1,29,34,27,24,16,30,23,24,7,6,
372,36,41,30,48,49,38,30,17,8,1,29,34,27,24,16,30,23,24,7,6,
378,36,41,30,48,49,38,30,17,8,1,29,34,27,24,16,30,23,24,7,6,
384,37,41,30,48,49,38,29,16,8,1,29,34,27,24,16,30,23,24,7,6,
