Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,667,0,5,72,107,108,127,224,29,0.991044776119403:1,196,
12,665,0,7,68,107,111,118,230,31,0.996996996996997:1,199,
18,662,0,10,59,108,113,119,231,32,0.9939759036144579:1,198,
24,658,0,14,49,111,117,118,230,33,1.0:1,197,
30,656,0,16,42,115,117,113,235,34,1.0:1,200,
36,651,0,21,32,120,115,116,232,36,0.9969325153374233:1,196,
42,647,0,25,27,120,114,120,231,35,0.9969135802469136:1,195,
48,643,0,29,20,120,119,120,228,36,1.0031152647975077:1,193,
54,714,76,34,89,123,121,114,231,36,0.9778393351800554:1,195,
60,708,76,40,79,125,123,114,232,35,0.9721448467966574:1,194,
66,705,76,43,74,128,123,115,229,36,0.9747899159663865:1,190,
72,701,76,47,71,126,123,113,232,36,0.980225988700565:1,193,
78,696,76,52,71,121,127,105,236,36,0.9716713881019831:1,194,
84,691,76,57,70,117,127,102,239,36,0.985632183908046:1,195,
90,686,76,62,70,111,128,101,240,36,0.9769452449567724:1,194,
96,682,76,66,69,107,130,100,240,36,0.9710982658959537:1,193,
102,677,76,71,68,101,132,98,242,36,0.97953216374269:1,193,
108,672,76,76,67,97,133,96,243,36,0.9764705882352941:1,193,
114,668,76,80,64,94,136,89,244,41,0.9763313609467456:1,191,
120,663,76,85,64,90,138,90,241,40,0.9673590504451038:1,189,
126,718,136,90,60,143,145,88,238,44,0.9671232876712329:1,186,
132,712,136,96,58,136,149,87,240,42,0.9668508287292817:1,187,
138,708,136,100,58,134,150,87,238,41,0.961218836565097:1,185,
144,702,136,106,58,128,149,86,239,42,0.9663865546218487:1,185,
150,695,136,113,55,122,154,84,239,41,0.963276836158192:1,186,
156,688,136,120,54,119,153,80,240,42,0.9657142857142857:1,184,
162,687,136,121,54,115,154,78,244,42,0.9684813753581661:1,186,
168,682,136,126,52,107,160,74,247,42,0.9654178674351584:1,187,
174,677,136,131,49,99,164,74,246,45,0.9623188405797102:1,184,
180,675,136,133,49,91,168,78,243,46,0.9622093023255814:1,182,
186,673,136,135,49,87,169,79,242,47,0.9620991253644315:1,182,
192,668,136,140,49,82,174,75,241,47,0.9705014749262537:1,181,
198,766,238,144,102,121,179,76,241,47,0.9691516709511568:1,180,
204,759,238,151,100,116,183,73,241,46,0.9714285714285714:1,180,
210,755,238,155,99,112,185,72,242,45,0.9816272965879265:1,179,
216,747,238,163,97,109,185,73,239,44,0.9761904761904762:1,176,
222,738,238,172,92,108,183,71,242,42,0.9838709677419355:1,177,
228,734,238,176,89,108,181,73,239,44,0.9784366576819407:1,174,
234,727,238,183,87,107,177,73,237,46,0.9917808219178083:1,173,
240,721,238,189,85,107,175,73,236,45,0.997229916897507:1,171,
246,715,238,195,83,107,172,74,235,44,0.9972067039106145:1,171,
252,705,238,205,79,106,168,75,234,43,1.0028409090909092:1,172,
258,703,238,207,79,106,166,71,238,43,1.0085714285714287:1,175,
264,699,238,211,78,106,163,71,238,43,1.0086206896551724:1,175,
270,772,317,217,82,126,213,72,237,42,1.0423280423280423:1,174,
276,766,318,224,77,124,213,70,238,44,1.0426666666666666:1,173,
282,762,318,228,76,124,210,69,238,45,1.0428954423592494:1,171,
288,758,318,232,74,124,209,69,236,46,1.032171581769437:1,168,
294,756,318,234,74,124,206,70,234,48,1.032258064516129:1,164,
300,754,318,236,73,124,204,71,233,49,1.0323450134770888:1,163,
306,752,318,238,73,124,202,70,234,49,1.0269541778975741:1,163,
312,742,318,248,71,124,197,73,232,45,1.0273224043715847:1,163,
318,738,318,252,71,123,193,73,234,44,1.021917808219178:1,163,
324,730,318,260,67,122,188,75,234,44,1.0165745856353592:1,163,
330,725,318,265,66,121,186,76,232,44,1.0194986072423398:1,162,
336,721,318,269,65,121,183,78,231,43,1.0252808988764044:1,160,
342,795,396,273,81,139,221,81,228,45,1.0126582278481013:1,156,
348,792,398,278,80,139,216,83,229,45,1.015267175572519:1,153,
354,782,398,288,77,139,214,84,224,44,0.9948979591836735:1,148,
360,780,398,290,77,138,211,85,225,44,0.9948849104859335:1,148,
366,779,398,291,76,138,209,85,227,44,0.9974358974358974:1,149,
372,772,398,298,73,138,204,89,221,47,1.0156657963446476:1,146,
378,765,398,305,73,137,201,87,218,49,1.0184696569920844:1,145,
384,758,398,312,70,137,193,91,216,51,1.0213333333333334:1,142,
390,751,398,319,68,137,186,93,216,51,1.0242587601078168:1,141,
396,745,398,325,67,137,182,92,215,52,1.018970189701897:1,139,
402,738,398,332,66,137,177,92,215,51,1.0274725274725274:1,138,
408,725,398,345,60,134,175,93,213,50,1.0251396648044693:1,138,
414,797,472,347,133,134,170,97,213,50,1.0331632653061225:1,138,
420,795,475,352,76,119,234,103,213,50,1.0437017994858613:1,138,
426,788,475,359,75,117,229,105,213,49,1.0467532467532468:1,137,
432,783,475,364,74,117,227,106,211,48,1.049738219895288:1,137,
438,776,475,371,73,116,223,107,209,48,1.0638297872340425:1,135,
444,774,475,373,73,116,219,109,208,49,1.0585106382978724:1,133,
450,763,475,384,72,116,215,109,207,44,1.0621621621621622:1,133,
456,756,475,391,71,116,210,112,203,44,1.0655737704918034:1,130,
462,752,475,395,71,116,204,117,201,43,1.065934065934066:1,129,
468,747,475,400,70,115,197,119,203,43,1.0635359116022098:1,131,
474,742,475,405,68,115,188,125,202,44,1.0611111111111111:1,129,
480,735,475,412,66,115,185,125,202,42,1.0646067415730338:1,128,
486,726,475,421,63,115,178,128,200,42,1.0683760683760684:1,127,
492,779,534,427,58,119,231,133,196,42,1.060846560846561:1,125,
498,773,534,433,57,119,225,135,195,42,1.0613333333333332:1,123,
504,770,534,436,57,119,222,135,195,42,1.0588235294117647:1,123,
510,764,534,442,55,119,220,134,196,40,1.0648648648648649:1,124,
516,757,534,449,54,119,219,132,194,39,1.0683060109289617:1,123,
522,751,534,455,53,118,219,130,191,40,1.0631868131868132:1,120,
528,746,534,460,52,118,219,126,193,38,1.0722222222222222:1,120,
534,742,534,464,51,118,219,122,194,38,1.0784313725490196:1,122,
540,739,534,467,49,118,219,118,197,38,1.0816901408450703:1,124,
546,730,534,476,47,117,218,114,196,38,1.0916905444126075:1,125,
552,724,534,482,46,117,217,111,196,37,1.0864553314121037:1,123,
558,720,534,486,45,117,217,106,200,35,1.0869565217391304:1,126,
564,776,597,493,63,108,220,154,197,34,1.0638297872340425:1,125,
570,769,597,500,60,108,219,150,199,33,1.0783783783783785:1,128,
576,766,597,503,59,108,219,147,200,33,1.0871934604904632:1,129,
582,756,597,513,58,108,217,142,198,33,1.0883977900552486:1,131,
588,748,597,521,55,108,216,139,197,33,1.0952380952380953:1,132,
594,744,597,525,54,107,215,135,200,33,1.095774647887324:1,132,
600,740,597,529,54,107,215,129,202,33,1.0963172804532577:1,134,
606,735,597,534,53,107,214,125,203,33,1.1:1,135,
612,726,597,543,52,106,213,122,202,31,1.1166180758017492:1,137,
618,724,597,545,52,105,213,120,203,31,1.1169590643274854:1,138,
624,718,597,551,50,105,213,115,205,30,1.1369047619047619:1,138,
630,713,597,556,50,105,213,114,201,30,1.1411411411411412:1,137,
636,764,654,562,57,93,240,140,204,30,1.1766381766381766:1,137,
642,758,654,568,56,93,237,139,205,28,1.1657142857142857:1,137,
648,755,654,571,55,92,237,136,207,28,1.163323782234957:1,138,
654,749,654,577,54,92,237,133,207,26,1.1647398843930636:1,138,
660,747,654,579,53,92,236,128,212,26,1.1652173913043478:1,140,
666,743,654,583,51,92,235,125,214,26,1.1598837209302326:1,142,
672,740,654,586,50,92,235,122,214,27,1.1700879765395895:1,142,
678,739,654,587,50,92,234,119,213,31,1.1671554252199414:1,140,
684,737,654,589,50,92,234,112,218,31,1.1740412979351031:1,145,
690,734,654,592,49,92,234,105,224,30,1.1780415430267062:1,150,
696,730,654,596,48,92,231,100,229,30,1.1791044776119404:1,153,
702,724,654,602,47,91,231,97,229,29,1.1939393939393939:1,153,
708,779,714,607,59,97,208,155,230,30,1.1943661971830986:1,155,
714,776,716,612,60,97,204,152,233,30,1.1859154929577465:1,157,
720,774,716,614,60,97,204,149,234,30,1.1926345609065157:1,158,
726,768,716,620,59,97,203,148,231,30,1.188034188034188:1,156,
732,765,716,623,59,97,202,147,229,31,1.191977077363897:1,154,
738,764,716,624,59,97,202,147,228,31,1.189111747851003:1,153,
744,761,716,627,57,97,202,146,225,34,1.199421965317919:1,150,
750,757,716,631,55,96,202,146,223,35,1.2005813953488371:1,149,
756,756,716,632,55,96,202,145,223,35,1.2040816326530612:1,149,
762,754,716,634,54,96,202,145,223,34,1.2046783625730995:1,149,
768,749,716,639,54,96,199,144,222,34,1.2029411764705882:1,148,
774,749,716,639,54,96,199,144,221,35,1.2029411764705882:1,147,
780,813,780,639,67,99,247,144,221,35,1.221311475409836:1,147,
786,810,781,643,64,102,193,151,265,35,1.2191780821917808:1,167,
792,802,781,651,61,102,192,151,261,35,1.221606648199446:1,165,
798,797,781,656,61,102,192,151,255,36,1.2262569832402235:1,162,
804,789,781,664,60,101,191,150,253,34,1.2225352112676056:1,160,
810,781,781,672,57,100,191,150,251,32,1.2378223495702005:1,159,
816,774,781,679,57,100,191,150,246,30,1.2369942196531791:1,157,
822,768,781,685,56,100,190,149,243,30,1.2325581395348837:1,155,
828,764,781,689,56,100,189,148,240,31,1.2339181286549707:1,154,
834,759,781,694,55,100,189,148,236,31,1.2323529411764707:1,152,
