Steps,Male 0-10,Male 10-20,Male 20-30,Male 30-40,Male 40-50,Male 50-60,Male 60-70,Male 70-80,Male 80-90,Male 90+,Female 0-10,Female 10-20,Female 20-30,Female 30-40,Female 40-50,Female 50-60,Female 60-70,Female 70-80,Female 80-90,Female 90+
6,33,47,49,45,41,28,36,22,4,0,26,46,19,17,30,23,29,22,10,3,
12,33,47,49,45,41,28,36,22,4,0,26,46,19,17,30,23,29,22,10,3,
18,33,47,49,45,41,28,36,22,4,0,26,46,19,17,30,23,29,22,10,3,
24,34,47,49,45,41,28,35,22,4,0,26,46,19,17,30,23,29,22,10,3,
30,35,47,49,45,41,28,34,22,4,0,26,46,19,17,30,23,29,22,10,3,
36,36,46,47,43,44,29,34,23,4,0,26,44,20,18,28,25,29,22,10,3,
42,39,46,47,43,44,29,34,23,4,0,26,44,20,18,28,25,29,22,10,3,
48,39,46,47,43,44,29,34,22,4,0,27,44,20,18,28,25,28,21,10,3,
54,39,46,47,43,44,29,34,22,4,0,27,44,20,18,28,25,28,21,10,3,
60,39,46,47,43,44,29,34,22,4,0,27,44,20,18,28,25,28,21,10,3,
66,39,46,47,43,44,29,34,22,4,0,27,44,20,18,28,25,28,21,10,3,
72,39,46,47,43,44,29,34,22,4,0,27,44,20,18,28,25,28,20,10,3,
78,40,45,46,41,46,32,32,23,5,0,25,44,20,19,25,25,30,21,11,3,
84,41,45,46,41,46,32,31,22,5,0,25,44,20,19,25,25,30,21,11,3,
90,41,45,46,41,46,32,31,22,5,0,27,44,20,19,25,25,29,21,11,3,
96,41,45,46,41,46,32,31,22,5,0,28,44,20,19,25,25,29,21,11,3,
102,41,45,46,41,46,32,31,22,5,0,28,44,20,19,25,25,29,21,11,3,
108,41,45,46,41,46,32,31,22,5,0,28,44,20,19,25,25,29,21,11,3,
114,39,42,48,38,51,30,32,21,7,0,28,38,23,20,27,24,28,23,11,3,
120,39,42,48,38,51,30,32,21,7,0,28,38,23,20,27,24,28,23,11,3,
126,40,42,48,38,51,30,32,21,7,0,29,38,23,20,27,24,28,23,11,3,
132,40,42,48,38,51,30,32,21,7,0,29,38,23,20,27,24,28,23,10,3,
138,40,42,48,38,51,30,32,21,7,0,29,38,23,20,27,24,28,22,10,3,
144,42,42,48,38,51,30,32,21,7,0,29,38,23,20,27,24,28,22,10,3,
150,43,38,45,40,55,30,33,19,9,0,28,38,25,19,24,28,28,20,12,3,
156,43,38,45,40,55,30,33,19,9,0,28,38,25,19,24,28,28,20,12,3,
162,45,38,45,40,55,30,33,19,9,0,28,38,25,19,24,28,28,20,12,3,
168,45,38,45,40,55,30,33,19,9,0,28,38,25,19,24,28,28,19,11,3,
174,45,38,45,40,55,30,33,19,9,0,29,38,25,19,24,28,28,19,11,3,
180,45,38,45,40,55,30,32,19,9,0,30,38,25,19,24,28,28,19,11,3,
186,44,31,47,46,50,35,28,22,9,1,29,36,28,18,23,28,29,18,13,3,
192,44,31,47,46,50,35,28,22,9,1,29,36,28,18,23,28,29,18,13,3,
198,45,31,47,46,50,35,28,22,9,1,29,36,28,18,23,28,28,18,12,3,
204,45,31,47,46,50,35,28,22,9,1,29,36,28,18,23,28,28,18,12,3,
210,46,31,47,46,50,35,28,22,9,1,29,36,28,18,23,28,28,18,12,3,
216,47,31,47,46,50,35,28,21,9,0,29,36,28,18,23,28,28,17,11,2,
222,47,30,42,46,51,39,24,26,8,0,28,34,31,16,22,29,29,18,11,2,
228,49,30,42,46,51,39,24,26,8,0,29,34,31,16,22,29,29,18,11,2,
234,49,30,42,46,51,39,24,26,8,0,29,34,31,16,22,29,29,18,11,2,
240,49,30,42,46,51,39,24,26,7,0,29,34,31,16,22,29,29,18,10,2,
246,49,30,42,46,51,39,24,26,7,0,29,34,31,16,22,29,29,18,10,2,
