Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,737,0,5,94,103,115,147,247,31,1.008174386920981:1,223,
12,732,0,10,87,106,116,146,245,32,1.0:1,220,
18,722,0,20,69,118,115,146,242,32,1.0055555555555555:1,217,
24,717,0,25,61,123,116,143,242,32,1.0027932960893855:1,216,
30,715,0,27,55,123,119,140,244,34,1.0084269662921348:1,216,
36,709,0,33,47,124,121,134,246,37,0.9915730337078652:1,214,
42,704,0,38,37,129,124,132,244,38,0.9887005649717514:1,209,
48,698,0,44,26,135,127,126,246,38,0.9886039886039886:1,209,
54,774,84,52,102,135,129,122,248,38,0.9694656488549618:1,207,
60,768,84,58,95,133,130,123,249,38,0.979381443298969:1,207,
66,764,84,62,90,131,135,123,246,39,0.9741602067183462:1,204,
72,755,84,71,80,128,141,120,247,39,0.9712793733681462:1,203,
78,748,84,78,75,131,141,118,242,41,0.963254593175853:1,198,
84,743,84,83,73,126,142,113,247,42,0.9604221635883905:1,198,
90,736,84,90,72,120,143,112,247,42,0.9574468085106383:1,198,
96,730,84,96,71,116,145,110,245,43,0.9571045576407506:1,197,
102,726,84,100,69,112,147,110,244,44,0.9621621621621622:1,196,
108,721,84,105,68,107,147,108,245,46,0.9539295392953929:1,195,
114,716,84,110,67,104,148,103,245,49,0.9616438356164384:1,194,
120,712,84,114,66,98,152,101,245,50,0.9614325068870524:1,192,
126,782,156,116,72,159,152,105,242,52,0.9213759213759214:1,189,
132,778,156,120,72,157,153,102,242,52,0.9257425742574258:1,190,
138,774,156,124,71,153,152,97,249,52,0.9253731343283582:1,192,
144,772,156,126,71,149,153,96,249,54,0.9251870324189526:1,192,
150,768,156,130,70,144,153,97,251,53,0.9345088161209067:1,195,
156,762,156,136,69,140,153,94,252,54,0.934010152284264:1,194,
162,754,156,144,68,125,162,93,251,55,0.928388746803069:1,190,
168,747,156,151,67,115,169,90,251,55,0.9402597402597402:1,188,
174,739,156,159,63,108,174,88,250,56,0.9244791666666666:1,185,
180,730,156,168,62,105,173,87,246,57,0.9363395225464191:1,182,
186,725,156,173,59,96,178,83,251,58,0.9333333333333333:1,185,
192,724,156,174,59,90,184,82,250,59,0.9358288770053476:1,184,
198,807,247,182,91,141,188,79,250,58,0.9731051344743277:1,184,
204,798,247,191,88,136,192,79,246,57,0.9703703703703703:1,184,
210,791,247,198,86,131,192,77,248,57,0.972568578553616:1,186,
216,777,247,212,84,126,194,73,243,57,0.9720812182741116:1,182,
222,772,247,217,82,119,197,73,244,57,0.9744245524296675:1,181,
228,769,247,220,81,119,195,74,242,58,0.9667519181585678:1,178,
234,765,247,224,80,119,190,78,241,57,0.9665809768637532:1,177,
240,758,247,231,78,119,189,77,238,57,0.9637305699481865:1,177,
