Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,695,0,8,74,111,113,142,227,28,1.0086705202312138:1,206,
12,693,0,10,68,112,117,140,226,30,1.008695652173913:1,205,
18,685,0,18,59,117,114,137,227,31,1.0087976539589443:1,201,
24,678,0,25,47,123,115,140,220,33,1.0178571428571428:1,195,
30,674,0,29,37,122,122,138,222,33,1.0301204819277108:1,197,
36,672,0,31,32,121,127,134,225,33,1.0302114803625377:1,197,
42,670,0,33,25,120,131,133,228,33,1.0241691842900302:1,197,
48,665,0,38,21,122,129,130,229,34,1.0274390243902438:1,198,
54,724,65,44,76,122,132,129,230,35,1.011111111111111:1,198,
60,718,65,50,70,120,133,130,227,38,1.005586592178771:1,194,
66,715,65,53,67,114,140,126,229,39,1.0028011204481793:1,196,
72,711,65,57,60,113,144,124,230,40,0.9971910112359551:1,194,
78,704,65,64,58,105,150,123,230,38,0.9943342776203966:1,193,
84,699,65,69,57,99,151,124,229,39,0.9914529914529915:1,191,
90,692,65,76,55,94,153,122,229,39,0.9771428571428571:1,191,
96,682,65,86,53,90,153,118,228,40,0.9825581395348837:1,189,
102,678,65,90,53,86,155,112,230,42,0.9941176470588236:1,188,
108,671,65,97,52,85,152,110,230,42,1.015015015015015:1,189,
114,664,65,104,50,80,152,108,232,42,1.0121212121212122:1,187,
120,664,65,104,50,77,152,106,234,45,1.0121212121212122:1,189,
126,728,137,112,73,123,153,102,233,44,1.011049723756906:1,189,
132,722,137,118,70,122,152,99,234,45,1.0167597765363128:1,190,
138,717,137,123,68,116,157,96,234,46,1.019718309859155:1,190,
144,711,137,129,67,116,156,92,235,45,1.0198863636363635:1,191,
150,705,137,135,66,110,157,92,236,44,1.0142857142857142:1,191,
156,701,137,139,64,106,157,92,237,45,1.008595988538682:1,189,
162,693,137,147,63,102,157,92,234,45,1.0028901734104045:1,186,
168,684,137,156,62,93,164,89,230,46,1.0058651026392962:1,183,
174,675,137,165,60,87,168,85,229,46,0.9970414201183432:1,180,
180,673,137,167,59,82,171,83,233,45,0.9970326409495549:1,182,
186,670,137,170,58,77,175,80,234,46,1.0:1,181,
