Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area,Avg Household Income
6,363,389,3.8617021276595747,4.138297872340425,2.2745212765957445,2.500531914893617,18050.20412525605,
12,328,424,3.4893617021276597,4.51063829787234,2.0804787234042554,2.6684042553191487,17734.355515865907,
18,307,445,3.265957446808511,4.73404255319149,1.9912234042553199,2.732127659574468,18174.19572776483,
24,291,461,3.095744680851064,4.904255319148936,1.920372340425533,2.7870212765957447,17396.028256508765,
30,289,463,3.074468085106383,4.925531914893617,1.9033510638297881,2.7763829787234044,17870.448262368285,
36,280,472,2.978723404255319,5.0212765957446805,1.8687765957446816,2.809787234042554,18694.890918561952,
42,277,475,2.9468085106382977,5.053191489361702,1.8475000000000006,2.8225531914893622,18647.58321095816,
48,275,477,2.925531914893617,5.074468085106383,1.825159574468086,2.8356382978723413,18603.58365730593,
54,275,477,2.925531914893617,5.074468085106383,1.825159574468086,2.8356382978723413,18296.49746283904,
60,272,480,2.893617021276596,5.1063829787234045,1.8038829787234048,2.85372340425532,18822.629841285252,
66,270,482,2.872340425531915,5.127659574468085,1.7902659574468094,2.8941489361702133,18245.329921337147,
72,269,483,2.8617021276595747,5.138297872340425,1.784414893617022,2.878191489361703,17536.403667573035,
78,266,486,2.8297872340425534,5.170212765957447,1.7734574468085114,2.8973404255319157,17357.337448115297,
84,267,485,2.8404255319148937,5.159574468085107,1.7755851063829797,2.8973404255319157,18140.78327970889,
90,267,485,2.8404255319148937,5.159574468085107,1.7734574468085114,2.8803191489361715,18053.67056271248,
96,265,487,2.8191489361702127,5.180851063829787,1.7723936170212773,2.9015957446808516,18361.451538689664,
102,264,488,2.8085106382978724,5.191489361702128,1.7575000000000005,2.9122340425531923,17946.548707591235,
108,264,488,2.8085106382978724,5.191489361702128,1.7575000000000005,2.9122340425531923,18829.24809381431,
114,263,489,2.797872340425532,5.202127659574468,1.7489893617021284,2.9192553191489363,18792.941514711692,
120,263,489,2.797872340425532,5.202127659574468,1.7521808510638301,2.9192553191489363,18869.42114337471,
126,262,490,2.7872340425531914,5.212765957446808,1.7489893617021284,2.929893617021277,19286.386279844428,
132,264,488,2.8085106382978724,5.191489361702128,1.7500531914893622,2.9192553191489363,19288.068911475137,
138,259,493,2.75531914893617,5.24468085106383,1.7394148936170217,2.9426595744680855,19716.425873396358,
144,262,490,2.7872340425531914,5.212765957446808,1.7500531914893622,2.9192553191489363,21160.33284571577,
150,260,492,2.765957446808511,5.23404255319149,1.7383510638297879,2.9203191489361706,19914.429107749154,
156,263,489,2.797872340425532,5.202127659574468,1.7500531914893622,2.9086170212765965,20130.03726601573,
162,262,490,2.7872340425531914,5.212765957446808,1.7500531914893622,2.9192553191489363,19771.876101917824,
168,262,490,2.7872340425531914,5.212765957446808,1.7511170212765965,2.929893617021277,20200.36326802017,
174,262,490,2.7872340425531914,5.212765957446808,1.7500531914893622,2.9192553191489363,20265.36283295574,
180,259,493,2.75531914893617,5.24468085106383,1.7383510638297879,2.9224468085106388,19337.393260315213,
