Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,731,0,6,64,118,120,162,233,34,0.981029810298103:1,205,
12,724,0,13,62,114,119,164,228,37,0.9944903581267218:1,201,
18,723,0,14,50,117,127,163,229,37,0.9917355371900827:1,201,
24,721,0,16,45,118,125,161,232,40,0.9917127071823204:1,201,
30,718,0,19,41,110,131,157,239,40,0.9834254143646409:1,205,
36,710,0,27,30,113,131,157,238,41,0.988795518207283:1,200,
42,708,0,29,23,119,130,155,239,42,0.9831932773109243:1,200,
48,703,0,34,16,118,136,149,239,45,0.9747191011235955:1,199,
54,766,74,45,85,120,134,148,234,45,0.9947916666666666:1,192,
60,763,74,48,81,121,132,149,233,47,1.0026246719160106:1,190,
66,759,74,52,75,119,132,148,238,47,0.9973684210526316:1,192,
72,755,74,56,70,119,136,137,244,49,0.9920844327176781:1,191,
78,751,74,60,69,112,136,136,246,52,0.9973404255319149:1,191,
84,743,74,68,68,110,136,134,244,51,0.9973118279569892:1,189,
90,732,74,79,65,108,132,133,240,54,0.9891304347826086:1,185,
96,730,74,81,65,104,134,132,241,54,0.994535519125683:1,186,
102,727,74,84,65,95,140,131,241,55,0.9863387978142076:1,187,
108,721,74,90,63,91,142,127,243,55,0.9917127071823204:1,188,
114,716,74,95,62,86,146,120,246,56,0.9779005524861878:1,188,
120,710,74,101,60,78,150,116,248,58,0.9722222222222222:1,188,
126,764,131,104,57,134,151,113,250,59,0.9947780678851175:1,189,
132,754,131,114,54,129,152,108,251,60,0.979002624671916:1,186,
138,747,131,121,52,123,155,107,250,60,0.9709762532981531:1,186,
144,740,131,128,50,123,151,109,247,60,0.9628647214854111:1,182,
150,736,131,132,49,116,154,107,250,60,0.9626666666666667:1,181,
156,732,131,136,49,112,153,108,250,60,0.9624664879356568:1,179,
162,723,131,145,47,104,158,105,249,60,0.9646739130434783:1,177,
168,717,131,151,47,99,162,102,248,59,0.9697802197802198:1,175,
174,711,131,157,47,96,162,100,249,57,0.975:1,177,
180,709,131,159,47,87,170,98,250,57,0.9749303621169917:1,176,
186,705,131,163,47,81,174,95,251,57,0.9747899159663865:1,178,
192,702,131,166,47,75,178,93,251,58,0.9774647887323944:1,177,
198,791,222,168,91,118,179,92,252,59,0.972568578553616:1,176,
204,786,222,173,91,116,179,92,249,59,0.9848484848484849:1,176,
