Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,701,0,5,81,129,90,148,229,24,0.9914772727272727:1,204,
12,697,0,9,72,131,94,143,232,25,0.9857549857549858:1,204,
18,690,0,16,62,135,98,140,231,24,0.9884726224783862:1,201,
24,684,0,22,49,140,101,137,234,23,0.976878612716763:1,204,
30,679,0,27,46,139,104,134,233,23,0.9738372093023255:1,203,
36,678,0,28,36,145,108,128,238,23,0.9709302325581395:1,207,
42,675,0,31,30,144,111,125,240,25,0.967930029154519:1,207,
48,671,0,35,23,143,117,125,238,25,0.9735294117647059:1,205,
54,748,80,38,93,145,120,125,241,24,1.010752688172043:1,207,
60,747,80,39,88,144,125,124,242,24,1.013477088948787:1,208,
66,739,80,47,82,140,130,119,244,24,1.0191256830601092:1,209,
72,729,80,57,75,135,135,117,244,23,1.0138121546961325:1,208,
78,725,80,61,73,132,134,119,243,24,1.0194986072423398:1,207,
84,721,80,65,71,125,136,117,248,24,1.0252808988764044:1,209,
90,715,80,71,69,120,138,112,253,23,1.0140845070422535:1,211,
96,711,80,75,68,117,138,111,254,23,1.0084745762711864:1,211,
102,704,80,82,66,110,142,109,255,22,1.0114285714285713:1,210,
108,701,80,85,65,105,145,107,256,23,1.002857142857143:1,210,
114,695,80,91,65,95,152,107,253,23,0.9971264367816092:1,207,
120,691,80,95,65,92,149,107,255,23,0.9971098265895953:1,207,
126,757,153,102,72,148,152,107,253,25,0.981675392670157:1,204,
132,753,153,106,71,144,156,106,249,27,0.9868073878627969:1,201,
138,747,153,112,71,141,158,100,249,28,0.9867021276595744:1,200,
144,742,153,117,70,139,158,99,246,30,0.9946236559139785:1,198,
150,735,153,124,68,133,164,97,244,29,1.0081967213114753:1,196,
156,727,153,132,67,126,170,94,242,28,1.0138504155124655:1,196,
162,721,153,138,66,120,170,96,241,28,1.0027777777777778:1,194,
168,719,153,140,65,107,183,86,250,28,1.0027855153203342:1,198,
174,711,153,148,62,105,181,84,251,28,0.9971910112359551:1,198,
180,703,153,156,59,97,186,81,251,29,1.0085714285714287:1,197,
186,700,153,159,58,90,193,76,255,28,1.0114942528735633:1,200,
192,693,153,166,56,84,194,74,256,29,1.0028901734104045:1,198,
198,799,266,173,115,123,204,70,258,29,1.0434782608695652:1,197,
204,791,266,181,106,124,207,64,261,29,1.049222797927461:1,197,
210,786,266,186,104,122,206,60,264,30,1.052219321148825:1,197,
216,782,266,190,103,119,206,60,262,32,1.0471204188481675:1,194,
222,779,266,193,103,116,205,59,266,30,1.0554089709762533:1,196,
228,773,266,199,101,116,204,58,264,30,1.0558510638297873:1,194,
234,768,266,204,101,116,202,58,260,31,1.053475935828877:1,191,
240,761,266,211,98,115,201,59,256,32,1.0512129380053907:1,189,
246,760,266,212,98,115,199,61,256,31,1.0485175202156334:1,189,
252,756,266,216,97,114,193,66,256,30,1.0599455040871935:1,189,
258,752,266,220,96,114,190,69,252,31,1.065934065934066:1,187,
264,743,266,229,92,112,189,67,250,33,1.0812324929971988:1,189,
270,814,339,231,76,143,245,66,250,34,1.130890052356021:1,190,
276,814,343,235,76,144,247,63,249,35,1.1421052631578947:1,189,
282,810,343,239,74,144,247,63,246,36,1.1372031662269129:1,186,
288,804,343,245,73,143,244,66,240,38,1.144:1,182,
294,799,343,250,72,142,241,66,240,38,1.1420911528150135:1,181,
300,798,343,251,72,142,236,67,242,39,1.1394101876675604:1,181,
