Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,709,0,5,64,125,91,155,234,40,1.1038575667655786:1,207,
12,703,0,11,59,126,94,150,234,40,1.1111111111111112:1,205,
18,700,0,14,51,131,95,145,236,42,1.108433734939759:1,205,
24,697,0,17,46,128,99,143,239,42,1.112121212121212:1,207,
30,689,0,25,39,129,98,142,238,43,1.1134969325153374:1,204,
36,687,0,27,34,129,101,136,243,44,1.113846153846154:1,206,
42,683,0,31,27,125,111,129,248,43,1.1145510835913313:1,209,
48,681,0,33,22,123,115,124,252,45,1.1214953271028036:1,210,
54,752,75,37,92,123,117,126,248,46,1.1424501424501425:1,207,
60,745,75,44,83,129,119,117,249,48,1.1408045977011494:1,206,
66,742,75,47,79,130,121,115,249,48,1.1445086705202312:1,205,
72,736,75,53,73,126,127,112,248,50,1.1457725947521866:1,202,
78,729,75,60,72,124,129,111,246,47,1.1441176470588235:1,200,
84,723,75,66,71,120,131,111,244,46,1.1390532544378698:1,198,
90,722,75,67,71,113,135,112,245,46,1.136094674556213:1,199,
96,719,75,70,70,108,140,110,245,46,1.1335311572700297:1,199,
102,712,75,77,67,102,145,107,244,47,1.1381381381381381:1,197,
108,705,75,84,66,97,142,110,244,46,1.1428571428571428:1,195,
114,698,75,91,65,93,143,107,244,46,1.1476923076923078:1,193,
120,693,75,96,64,89,145,107,243,45,1.1455108359133126:1,192,
126,746,131,99,58,145,149,104,246,44,1.1375358166189111:1,194,
132,742,131,103,57,144,151,102,244,44,1.138328530259366:1,193,
138,738,131,107,57,137,156,95,247,46,1.151603498542274:1,195,
144,735,131,110,55,130,160,95,245,50,1.1491228070175439:1,193,
150,727,131,118,54,123,162,93,246,49,1.1572700296735905:1,192,
156,722,131,123,54,117,167,89,245,50,1.1616766467065869:1,190,
162,713,131,132,53,107,172,86,245,50,1.1671732522796352:1,191,
168,709,131,136,53,101,175,85,245,50,1.1681957186544343:1,190,
174,705,131,140,53,95,180,83,244,50,1.1759259259259258:1,188,
180,701,131,144,52,93,178,83,247,48,1.1770186335403727:1,191,
186,697,131,148,51,88,181,75,254,48,1.1645962732919255:1,193,
192,690,131,155,50,82,184,71,256,47,1.1630094043887147:1,194,
