Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,660,0,5,55,109,119,119,238,20,1.0820189274447949:1,215,
12,656,0,9,50,108,119,121,235,23,1.0759493670886076:1,211,
18,653,0,12,44,111,119,121,235,23,1.0796178343949046:1,211,
24,650,0,15,40,110,121,120,234,25,1.070063694267516:1,209,
30,647,0,18,34,109,126,119,232,27,1.0737179487179487:1,205,
36,644,0,21,29,108,128,119,233,27,1.0774193548387097:1,206,
42,638,0,27,24,108,128,118,234,26,1.0714285714285714:1,206,
48,632,0,33,15,109,130,113,240,25,1.0721311475409836:1,209,
54,716,92,41,96,107,135,112,241,25,1.0753623188405796:1,208,
60,712,92,45,93,106,136,113,241,23,1.069767441860465:1,206,
66,709,92,48,91,103,138,108,245,24,1.0670553935860059:1,209,
72,705,92,52,85,105,136,106,248,25,1.0735294117647058:1,209,
78,703,92,54,84,101,140,104,249,25,1.0676470588235294:1,207,
84,701,92,56,84,94,145,102,250,26,1.0678466076696165:1,207,
90,694,92,63,81,88,145,104,249,27,1.0593471810089021:1,205,
96,682,92,75,78,82,150,103,241,28,1.0542168674698795:1,198,
102,677,92,80,77,76,153,101,240,30,1.0577507598784195:1,196,
108,676,92,81,77,70,157,96,246,30,1.0609756097560976:1,198,
114,672,92,85,76,67,156,99,243,31,1.0676923076923077:1,196,
120,671,92,86,76,66,156,99,242,32,1.0646153846153845:1,196,
126,733,158,90,67,137,156,97,242,34,1.0304709141274238:1,196,
132,726,158,97,64,136,158,93,242,33,1.0336134453781514:1,196,
138,726,158,97,64,133,160,92,244,33,1.0336134453781514:1,197,
144,721,158,102,62,128,164,90,243,34,1.0309859154929577:1,195,
150,715,158,108,60,119,168,94,240,34,1.0254957507082152:1,192,
156,708,158,115,57,116,168,92,240,35,1.022857142857143:1,191,
162,705,158,118,56,110,172,89,242,36,1.0258620689655173:1,193,
168,705,158,118,56,106,174,88,245,36,1.0258620689655173:1,195,
174,697,158,126,52,102,176,86,244,37,1.032069970845481:1,193,
180,695,158,128,52,99,176,86,245,37,1.0381231671554252:1,194,
186,693,158,130,52,96,177,83,248,37,1.0442477876106195:1,193,
192,685,158,138,51,87,179,85,246,37,1.0632530120481927:1,190,
198,797,271,139,117,129,180,86,246,39,1.0863874345549738:1,189,
204,794,272,143,114,125,183,88,244,40,1.083989501312336:1,186,
210,788,272,149,109,123,183,86,248,39,1.0846560846560847:1,189,
216,780,272,157,107,121,183,79,252,38,1.0911528150134049:1,189,
222,768,272,169,104,118,183,76,248,39,1.08130081300813:1,184,
228,761,272,176,101,118,182,73,247,40,1.0906593406593406:1,184,
234,757,272,180,100,117,179,73,247,41,1.0853994490358128:1,183,
240,752,272,185,99,116,178,72,246,41,1.0773480662983426:1,183,
246,747,272,190,98,116,172,75,244,42,1.0692520775623269:1,181,
252,741,272,196,97,116,171,73,240,44,1.064066852367688:1,175,
258,733,272,204,95,116,167,74,238,43,1.0532212885154062:1,173,
264,727,272,210,94,116,166,73,235,43,1.047887323943662:1,171,
270,787,338,216,70,142,226,74,233,42,1.0656167979002624:1,170,
276,780,340,225,66,140,230,74,228,42,1.074468085106383:1,168,
282,773,340,232,63,139,226,73,230,42,1.0835579514824798:1,168,
