Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,371,0,0,0,288,23,80,78,
12,372,1,0,3,290,24,83,72,
18,372,2,1,3,295,27,82,66,
24,373,3,1,3,298,30,82,62,
30,374,4,1,3,302,35,82,55,
36,373,4,2,3,304,41,81,54,
42,374,5,2,3,308,49,81,53,
48,374,5,2,4,310,56,82,51,
54,373,5,3,5,300,57,83,62,
60,374,7,4,5,300,59,83,61,
66,373,7,5,5,291,62,82,68,
72,373,8,6,5,292,63,82,67,
78,373,8,6,7,295,64,84,68,
84,374,9,6,7,297,64,85,68,
90,374,10,7,7,298,66,84,65,
96,372,10,9,7,298,67,83,62,
102,373,11,9,7,296,67,83,62,
108,374,12,9,7,289,67,83,69,
114,373,12,10,7,293,72,83,68,
120,372,12,11,7,290,72,83,71,
126,373,13,11,7,291,74,83,66,
132,372,13,12,8,299,76,84,61,
138,373,14,12,8,300,77,84,64,
144,373,14,12,9,301,77,85,66,
150,373,15,13,9,299,80,85,67,
156,374,16,13,9,303,80,85,62,
162,372,16,15,9,299,80,83,66,
168,373,17,15,9,305,81,83,59,
174,371,17,17,9,301,81,82,58,
180,371,17,17,9,301,82,82,59,
186,370,17,18,9,305,84,81,60,
192,371,18,18,9,303,84,81,62,
198,371,18,18,9,306,85,81,58,
204,371,18,18,9,304,86,81,61,
210,369,19,21,10,295,85,80,66,
216,370,21,22,11,288,85,81,73,
222,371,22,22,11,292,90,81,66,
228,371,22,22,11,292,90,81,67,
234,367,23,27,11,295,90,80,63,
240,367,24,28,11,289,91,80,63,
246,368,25,28,11,289,92,80,64,
252,367,25,29,11,279,92,80,73,
258,367,25,29,12,286,93,81,68,
264,365,26,32,12,291,93,80,63,
270,365,27,33,13,290,93,81,64,
276,364,27,34,13,288,93,81,67,
282,363,27,35,14,292,92,81,64,
288,363,28,36,14,288,94,81,69,
294,362,29,38,14,284,96,81,73,
300,361,29,39,14,281,96,81,73,
306,362,31,40,14,282,97,80,67,
312,362,31,40,14,274,97,80,75,
318,363,32,40,14,276,97,80,73,
324,363,32,40,14,281,97,80,68,
330,363,32,40,15,285,96,81,67,
336,361,32,42,16,288,95,82,63,
342,360,32,43,16,282,95,81,72,
348,361,33,43,16,281,95,81,72,
354,361,33,43,16,279,95,81,73,
360,361,33,43,16,277,95,81,75,
366,361,33,43,17,282,95,82,71,
372,361,34,44,17,283,95,82,71,
378,361,34,44,17,283,95,82,69,
384,361,34,44,18,283,95,83,70,
390,360,34,45,19,284,94,83,65,
396,360,34,45,19,287,94,83,62,
402,362,36,45,19,288,94,83,62,
408,362,36,45,19,289,94,83,61,
414,362,36,45,19,290,94,83,62,
420,363,37,45,19,283,94,83,64,
426,364,38,45,19,284,93,83,65,
432,365,39,45,19,283,93,83,64,
438,365,39,45,19,286,93,83,66,
444,365,39,45,19,290,93,83,62,
450,366,40,45,19,288,93,83,61,
456,366,40,45,19,285,93,83,64,
462,366,40,45,19,277,93,83,74,
468,366,40,45,19,279,94,83,70,
474,366,41,46,19,274,94,83,72,
480,366,41,46,21,275,94,85,74,
486,366,41,46,21,273,94,85,76,
492,365,41,47,21,271,93,85,78,
498,364,41,48,21,275,95,84,74,
504,363,41,49,23,274,94,86,73,
510,363,42,50,23,278,94,86,68,
516,361,42,52,24,287,94,85,69,
522,359,42,54,24,290,94,84,64,
528,359,42,54,24,287,94,84,67,
534,358,43,56,25,284,93,84,68,
540,358,43,56,25,281,93,84,75,
546,358,44,57,26,287,93,85,66,
552,359,46,58,26,281,93,85,70,
558,357,47,61,26,276,93,84,72,
564,357,47,61,26,276,93,84,71,
570,356,47,62,26,277,92,83,69,
576,353,47,65,28,277,91,83,69,
582,353,47,65,28,278,91,83,69,
588,353,48,66,28,274,91,82,73,
594,353,49,67,28,275,91,82,68,
600,353,50,68,28,267,91,82,75,
606,353,50,68,28,268,91,83,73,
612,353,50,68,28,270,91,83,67,
618,350,51,72,28,271,92,81,64,
624,351,52,72,28,268,92,81,66,
630,351,52,72,28,266,92,81,67,
636,351,52,72,28,268,91,81,65,
642,351,52,72,28,265,91,81,68,
648,350,52,73,28,267,91,80,67,
654,352,54,73,28,264,91,80,69,
660,352,54,73,28,261,95,80,67,
666,350,54,75,28,258,95,80,70,
672,350,54,75,28,259,94,81,66,
678,350,54,75,28,258,94,81,67,
684,351,55,75,28,255,94,81,70,
690,350,56,77,29,253,94,82,68,
696,349,56,78,29,246,95,81,74,
702,349,56,78,29,246,95,81,75,
708,349,56,78,30,252,94,82,68,
714,350,57,78,30,249,95,82,72,
720,350,57,78,30,250,95,82,72,
726,351,59,79,30,254,94,82,66,
732,351,59,79,30,254,97,82,66,
738,352,60,79,30,257,98,82,62,
744,350,60,81,30,258,98,80,61,
750,350,60,81,30,254,98,80,65,
756,350,61,82,30,254,99,79,65,
762,347,61,85,32,251,97,81,66,
768,347,62,86,32,243,98,80,70,
774,348,63,86,33,246,98,81,62,
780,346,63,88,34,244,99,81,65,
786,344,63,90,34,242,99,81,63,
792,344,63,90,34,239,99,81,67,
798,343,63,91,34,237,99,81,67,
804,343,63,91,34,234,99,81,68,
810,342,63,92,34,236,98,81,66,
816,342,63,92,35,234,97,82,65,
822,341,64,94,35,237,97,80,59,
828,342,65,94,35,236,97,80,61,
834,340,65,96,35,233,97,79,61,
840,340,65,96,35,228,97,79,65,
846,340,65,96,35,225,97,79,69,
852,338,65,98,35,224,97,77,63,
858,339,66,98,35,223,97,77,62,
864,337,66,100,35,220,97,77,62,
870,337,66,100,35,219,97,77,63,
876,337,66,100,35,216,97,77,66,
882,337,66,100,35,222,97,77,62,
888,341,70,100,35,217,97,77,68,
894,341,70,100,35,215,97,77,70,
900,341,70,100,35,217,97,77,66,
906,342,71,100,35,219,97,77,62,
912,343,72,100,35,214,96,78,63,
918,343,72,100,35,210,96,78,68,
924,343,72,100,35,212,96,78,67,
930,341,72,102,35,211,96,77,69,
936,340,72,103,35,210,96,76,69,
942,341,74,104,35,210,96,76,68,
948,341,75,105,35,207,96,76,67,
954,341,75,105,35,206,96,76,66,
960,340,75,106,35,202,96,76,70,
966,339,75,107,35,203,96,75,69,
972,336,75,110,35,202,96,74,65,
978,336,75,110,35,204,96,74,63,
984,335,76,112,35,205,96,73,66,
990,336,78,113,35,204,96,73,65,
996,335,78,114,35,205,96,72,57,
1002,334,78,115,35,204,95,72,58,
1008,334,78,115,35,203,95,72,55,
1014,333,78,116,35,199,95,71,60,
