Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,673,0,8,60,96,110,132,239,36,0.9970326409495549:1,212,
12,667,0,14,51,100,111,129,238,38,0.9970059880239521:1,208,
18,664,0,17,47,98,115,127,239,38,1.0:1,206,
24,658,0,23,43,98,115,126,239,37,0.9939393939393939:1,205,
30,657,0,24,35,101,117,127,240,37,0.9969604863221885:1,206,
36,657,0,24,31,101,120,126,242,37,0.9969604863221885:1,207,
42,652,0,29,27,99,124,124,242,36,0.9938837920489296:1,205,
48,647,0,34,20,103,124,123,239,38,0.9969135802469136:1,201,
54,713,70,38,84,105,127,121,236,40,1.008450704225352:1,196,
60,709,70,42,78,106,128,118,238,41,0.9971830985915493:1,194,
66,706,70,45,74,99,134,113,243,43,0.9943502824858758:1,194,
72,703,70,48,68,102,134,111,245,43,0.9915014164305949:1,195,
78,701,70,50,66,101,133,112,246,43,0.9858356940509915:1,195,
84,698,70,53,65,95,136,113,245,44,0.9829545454545454:1,194,
90,691,70,60,65,91,135,115,245,40,0.9799426934097422:1,194,
96,687,70,64,64,88,136,110,249,40,0.991304347826087:1,198,
102,685,70,66,64,85,139,107,251,39,0.9912790697674418:1,198,
108,681,70,70,63,79,143,103,252,41,0.9912280701754386:1,197,
114,678,70,73,60,76,145,99,253,45,0.9882697947214076:1,198,
120,674,70,77,59,73,145,98,254,45,0.9823529411764705:1,197,
126,739,143,85,72,126,148,95,254,44,1.002710027100271:1,198,
132,735,143,89,72,118,155,86,260,44,1.002724795640327:1,199,
138,732,143,92,71,115,155,88,258,45,1.0:1,196,
144,726,143,98,69,113,157,85,257,45,1.0166666666666666:1,197,
150,723,143,101,69,109,157,83,254,51,1.0195530726256983:1,193,
156,720,143,104,69,104,160,82,255,50,1.0224719101123596:1,194,
162,718,143,106,69,100,159,83,256,51,1.0168539325842696:1,194,
168,712,143,112,67,96,161,79,256,53,1.0169971671388103:1,194,
174,706,143,118,64,88,168,77,253,56,1.0171428571428571:1,190,
180,701,143,123,64,85,168,79,249,56,1.0260115606936415:1,188,
186,696,143,128,62,80,171,78,249,56,1.0232558139534884:1,187,
192,691,143,133,60,74,174,72,255,56,1.0204678362573099:1,189,
198,791,247,137,105,126,177,73,255,55,0.9824561403508771:1,189,
204,785,247,143,101,123,176,71,258,56,0.9723618090452262:1,190,
210,771,247,157,96,122,176,69,255,53,0.9568527918781726:1,188,
216,768,247,160,96,116,179,67,258,52,0.9591836734693877:1,190,
222,758,247,170,92,115,175,66,259,51,0.9637305699481865:1,191,
228,747,247,181,89,115,170,66,258,49,0.9606299212598425:1,191,
234,744,247,184,89,115,167,66,256,51,0.9578947368421052:1,188,
240,737,247,191,86,114,166,64,256,51,0.9497354497354498:1,187,
246,733,247,195,86,113,162,68,253,51,0.9546666666666667:1,186,
252,730,247,198,86,113,156,72,251,52,0.9466666666666667:1,183,
258,725,247,203,82,113,156,70,252,52,0.9489247311827957:1,184,
264,714,247,214,78,112,150,75,248,51,0.9508196721311475:1,180,
270,782,320,219,76,134,200,77,245,50,0.964824120603015:1,178,
276,782,327,226,76,135,198,80,242,51,0.955:1,176,
282,772,327,236,75,135,194,79,240,49,0.9693877551020408:1,176,
288,764,327,244,73,134,191,78,240,48,0.9741602067183462:1,175,
294,759,327,249,73,134,187,81,234,50,0.9612403100775194:1,168,
300,750,327,258,72,132,184,78,237,47,0.9736842105263158:1,170,
306,747,327,261,72,131,182,77,239,46,0.9761904761904762:1,172,
312,742,327,266,70,131,176,79,240,46,0.9786666666666667:1,173,
318,734,327,274,69,129,173,81,236,46,0.9731182795698925:1,170,
324,730,327,278,66,129,170,82,237,46,0.972972972972973:1,170,
330,725,327,283,66,128,166,84,234,47,0.9863013698630136:1,168,
336,718,327,290,64,127,161,88,230,48,0.977961432506887:1,163,
342,798,412,295,90,133,208,90,230,47,0.9900249376558603:1,163,
348,795,414,300,84,135,210,92,229,45,0.9875:1,163,
354,789,414,306,84,135,202,97,225,46,0.9974683544303797:1,161,
360,777,414,318,81,135,196,100,220,45,1.0129533678756477:1,160,
366,771,414,324,80,135,196,97,219,44,1.0130548302872062:1,159,
372,768,414,327,79,135,193,98,218,45,1.0104712041884816:1,157,
378,763,414,332,78,135,189,98,220,43,1.0131926121372032:1,158,
384,758,414,337,76,134,183,102,217,46,1.0213333333333334:1,155,
390,752,414,343,73,134,181,103,215,46,1.0160857908847185:1,153,
396,745,414,350,69,134,175,104,218,45,1.0135135135135136:1,155,
402,741,414,354,69,134,169,109,214,46,1.0190735694822888:1,154,
408,739,414,356,68,134,167,110,214,46,1.0246575342465754:1,155,
414,799,481,363,135,133,165,107,214,45,1.012594458438287:1,154,
420,796,486,371,70,130,227,112,213,44,1.0203045685279188:1,152,
426,793,486,374,68,130,223,115,214,43,1.0126903553299493:1,153,
432,784,486,383,66,129,219,114,213,43,1.0206185567010309:1,151,
438,781,486,386,65,129,216,113,214,44,1.0285714285714285:1,153,
444,779,486,388,65,129,213,114,214,44,1.0286458333333333:1,153,
450,768,486,399,62,128,209,113,212,44,1.0210526315789474:1,150,
456,762,486,405,61,127,205,116,209,44,1.0212201591511936:1,149,
462,755,486,412,60,127,202,115,207,44,1.018716577540107:1,148,
468,750,486,417,60,127,197,116,206,44,1.0107238605898123:1,147,
474,744,486,423,58,127,193,116,206,44,1.0272479564032697:1,147,
480,739,486,428,57,127,190,117,205,43,1.0358126721763086:1,149,
486,728,486,439,54,127,182,119,203,43,1.0335195530726258:1,148,
492,803,566,444,79,121,239,121,200,43,1.022670025188917:1,147,
498,796,566,451,75,121,236,118,202,44,1.0203045685279188:1,148,
504,788,566,459,72,120,233,117,203,43,1.0205128205128204:1,146,
510,782,566,465,69,120,229,117,202,45,1.0102827763496145:1,145,
516,777,566,470,68,119,227,115,202,46,1.0077519379844961:1,143,
522,776,566,471,68,119,227,114,201,47,1.0051679586563307:1,141,
528,767,566,480,67,118,224,110,201,47,1.0026109660574412:1,140,
534,763,566,484,65,118,224,105,206,45,0.9921671018276762:1,141,
540,757,566,490,65,118,223,102,203,46,0.9973614775725593:1,139,
546,750,566,497,64,118,223,97,201,47,1.0053475935828877:1,138,
