Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Pop Age 25+,F:M Ratio,Rep. Female
6,693,0,6,69,116,105,115,267,21,1.0204081632653061:1,237,
12,691,0,8,65,112,109,117,265,23,1.0204678362573099:1,234,
18,690,0,9,60,108,115,116,267,24,1.0175438596491229:1,235,
24,687,0,12,54,108,118,116,268,23,1.0146627565982405:1,233,
30,685,0,14,39,118,120,113,272,23,1.0087976539589443:1,234,
36,679,0,20,36,118,118,114,272,21,1.0148367952522255:1,233,
42,673,0,26,29,119,119,113,269,24,1.008955223880597:1,229,
48,670,0,29,23,120,120,111,271,25,1.012012012012012:1,230,
54,770,104,33,120,124,117,112,271,26,1.0698924731182795:1,230,
60,763,104,40,108,127,120,109,273,26,1.0566037735849056:1,232,
66,758,104,45,101,130,120,109,272,26,1.0653950953678475:1,231,
72,753,104,50,96,130,120,110,270,27,1.063013698630137:1,230,
78,747,104,56,92,125,124,103,276,27,1.075:1,233,
84,741,104,62,90,118,129,103,275,26,1.0814606741573034:1,231,
90,737,104,66,89,116,129,102,272,29,1.0819209039548023:1,227,
96,735,104,68,87,113,132,98,273,32,1.076271186440678:1,227,
102,730,104,73,85,107,138,95,272,33,1.0797720797720798:1,225,
108,723,104,80,83,103,133,100,269,35,1.0835734870317002:1,221,
114,720,104,83,83,99,136,95,272,35,1.0809248554913296:1,224,
120,719,104,84,83,93,139,97,271,36,1.0840579710144929:1,223,
126,788,179,90,76,166,145,93,270,38,1.079155672823219:1,221,
132,784,179,94,74,163,143,93,274,37,1.0740740740740742:1,223,
138,779,179,99,74,153,149,93,272,38,1.071808510638298:1,221,
144,774,179,104,72,148,152,92,272,38,1.0806451612903225:1,222,
150,770,179,108,72,142,157,91,267,41,1.0867208672086721:1,220,
156,766,179,112,71,136,161,89,267,42,1.0871934604904632:1,219,
162,760,179,118,70,133,161,89,264,43,1.09366391184573:1,216,
168,752,179,126,69,127,160,90,263,43,1.0947075208913648:1,215,
174,748,179,130,69,117,169,85,264,44,1.101123595505618:1,213,
180,743,179,135,67,108,175,83,265,45,1.0988700564971752:1,212,
186,737,179,141,66,103,176,82,266,44,1.1057142857142856:1,213,
192,730,179,148,63,99,179,78,266,45,1.1037463976945245:1,210,
198,838,293,154,117,152,181,80,263,45,1.1161616161616161:1,206,
204,831,294,162,113,152,182,75,262,47,1.1091370558375635:1,205,
210,825,294,168,110,149,184,71,263,48,1.1099744245524297:1,203,
216,822,294,171,109,143,187,69,266,48,1.1076923076923078:1,204,
222,815,294,178,106,140,188,66,265,50,1.11139896373057:1,203,
228,809,294,184,106,140,184,68,256,55,1.117801047120419:1,195,
234,803,294,190,106,140,179,69,255,54,1.1131578947368421:1,193,
240,796,294,197,103,139,177,71,252,54,1.1114058355437666:1,191,
246,787,294,206,102,137,172,72,249,55,1.1099195710455765:1,189,
252,778,294,215,99,137,170,70,246,56,1.1141304347826086:1,185,
258,772,294,221,96,137,165,73,246,55,1.103542234332425:1,184,
264,764,294,229,94,137,162,74,242,55,1.1046831955922864:1,182,
270,835,376,240,81,157,229,73,239,56,1.0771144278606966:1,177,
276,835,380,244,81,157,230,72,239,56,1.0771144278606966:1,177,
282,830,380,249,81,156,228,74,236,55,1.075:1,175,
288,826,380,253,79,156,227,72,236,56,1.0806045340050379:1,175,
294,817,380,262,77,156,223,73,231,57,1.0895140664961638:1,172,
300,813,380,266,76,156,215,79,229,58,1.1007751937984496:1,172,
306,808,380,271,75,155,210,81,229,58,1.0987012987012987:1,172,
312,802,380,277,72,154,204,85,229,58,1.0939947780678851:1,171,
318,799,380,280,71,154,198,91,228,57,1.0916230366492146:1,170,
324,795,380,284,70,154,198,88,231,54,1.0976253298153034:1,170,
330,789,380,290,70,154,196,86,228,55,1.0984042553191489:1,169,
336,787,380,292,69,154,192,87,229,56,1.0986666666666667:1,168,
342,857,462,304,95,155,238,90,218,61,1.070048309178744:1,160,
348,849,462,312,81,161,243,88,215,61,1.075794621026895:1,156,
354,845,462,316,80,161,241,86,213,64,1.0812807881773399:1,155,
360,843,462,318,80,161,237,88,213,64,1.0866336633663367:1,156,
366,837,462,324,79,160,235,89,211,63,1.087281795511222:1,155,
372,835,462,326,78,160,230,93,211,63,1.0927318295739348:1,154,
378,832,462,329,78,160,224,97,208,65,1.0904522613065326:1,152,
384,825,462,336,76,159,222,96,207,65,1.0886075949367089:1,150,
390,818,462,343,76,158,220,96,204,64,1.092071611253197:1,149,
396,809,462,352,72,158,214,99,203,63,1.0904392764857882:1,148,
402,805,462,356,71,157,210,101,202,64,1.1018276762402088:1,147,
408,797,462,364,69,157,204,103,199,65,1.1084656084656084:1,145,
414,851,522,370,128,156,198,107,197,65,1.0857843137254901:1,143,
420,857,533,375,70,136,282,110,191,68,1.070048309178744:1,139,
426,850,533,382,66,135,274,116,191,68,1.0833333333333333:1,139,
432,844,533,388,64,135,270,118,188,69,1.0891089108910892:1,137,
438,838,533,394,63,135,264,121,186,69,1.0845771144278606:1,134,
444,831,533,401,61,134,255,124,189,68,1.0775:1,136,
450,825,533,407,60,134,252,122,191,66,1.0780856423173804:1,137,
456,821,533,411,57,133,251,121,190,69,1.0732323232323233:1,135,
462,816,533,416,56,133,246,124,189,68,1.0658227848101265:1,133,
468,810,533,422,56,133,234,131,188,68,1.0610687022900764:1,134,
474,802,533,430,55,133,232,130,186,66,1.0616966580976863:1,132,
480,799,533,433,55,133,229,130,186,66,1.0699481865284974:1,131,
486,796,533,436,54,132,224,133,186,67,1.0621761658031088:1,130,
492,854,598,443,64,123,281,133,186,67,1.0381861575178997:1,131,
498,850,598,447,63,123,278,134,186,66,1.0334928229665072:1,131,
504,844,598,453,63,123,274,136,184,64,1.0288461538461537:1,130,
510,840,598,457,63,123,271,137,181,65,1.0338983050847457:1,128,
516,836,598,461,63,123,270,135,182,63,1.0340632603406326:1,127,
522,833,598,464,62,122,270,128,187,64,1.0416666666666667:1,130,
528,830,598,467,62,122,270,120,191,65,1.0493827160493827:1,133,
534,825,598,472,61,121,270,117,193,63,1.0522388059701493:1,134,
540,818,598,479,61,121,270,113,191,62,1.0604534005037782:1,133,
546,812,598,485,60,121,268,113,187,63,1.0714285714285714:1,131,
552,808,598,489,58,121,268,109,190,62,1.0717948717948718:1,133,
558,799,598,498,55,120,268,105,191,60,1.0753246753246752:1,135,
564,852,654,501,56,108,268,170,190,60,1.072992700729927:1,135,
570,847,654,506,56,108,266,170,187,60,1.0810810810810811:1,133,
576,845,654,508,56,108,265,167,190,59,1.0864197530864197:1,133,
582,838,654,515,53,108,265,165,189,58,1.0845771144278606:1,131,
588,831,654,522,52,108,265,161,189,56,1.093198992443325:1,131,
594,823,654,530,51,106,264,156,192,54,1.0994897959183674:1,133,
600,821,654,532,51,106,264,154,192,54,1.0997442455242967:1,133,
606,817,654,536,49,106,262,151,194,55,1.1002570694087404:1,132,
612,805,654,548,43,106,262,147,194,53,1.0963541666666667:1,133,
618,797,654,556,41,106,261,143,194,52,1.1084656084656084:1,132,
624,789,654,564,41,105,261,139,192,51,1.1096256684491979:1,131,
630,784,654,569,41,104,260,135,195,49,1.10752688172043:1,131,
636,842,715,572,62,97,260,174,199,50,1.1316455696202532:1,131,
642,837,715,577,59,93,258,177,201,49,1.1243654822335025:1,133,
