,,,,,,,,,,,,,,,,,,,,,,Steps,,,,,,,,,,,,,,,,,,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,360,41.83333333,37.6,44.7,40,54.96666667,29.9,32.4,21.93333333,8.966666667,0,35.03333333,37.9,24.7,18.96666667,23.96666667,27.9,27.56666667,21.66666667,11.9,2.866666667
18,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,366,41,30.9,46.4,46,49.96666667,34.9,26.23333333,26.23333333,9.733333333,0.9,34.36666667,35.93333333,27.66666667,17.96666667,22.96666667,27.93333333,28.66666667,20.7,13.66666667,2.866666667
18,33,46,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,372,41.26666667,30.9,46.4,46,49.96666667,34.9,26.16666667,26.23333333,9.7,0.9,34.46666667,35.9,27.66666667,17.96666667,22.96666667,27.93333333,28.56666667,20.63333333,13.66666667,2.866666667
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,378,41.43333333,30.9,46.4,46,49.96666667,34.9,26.16666667,26.2,9.666666667,0.9,34.66666667,35.9,27.66666667,17.96666667,22.96666667,27.93333333,28.56666667,20.63333333,13.66666667,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,384,41.6,30.9,46.4,46,49.96666667,34.9,26.16666667,26.13333333,9.666666667,0.9,34.86666667,35.86666667,27.66666667,17.96666667,22.96666667,27.93333333,28.5,20.6,13.63333333,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,390,41.76666667,30.9,46.4,46,49.96666667,34.9,26.16666667,26.1,9.666666667,0.9,35.1,35.86666667,27.66666667,17.96666667,22.96666667,27.93333333,28.46666667,20.53333333,13.63333333,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,396,41.9,30.9,46.4,46,49.96666667,34.9,26.13333333,26.03333333,9.6,0.9,35.3,35.86666667,27.66666667,17.96666667,22.96666667,27.93333333,28.43333333,20.5,13.63333333,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,402,42.1,30.9,46.4,46,49.96666667,34.9,26.13333333,26,9.6,0.9,35.4,35.83333333,27.66666667,17.96666667,22.96666667,27.93333333,28.33333333,20.5,13.6,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,408,42.23333333,30.9,46.4,45.96666667,49.96666667,34.9,26.06666667,25.96666667,9.6,0.9,35.43333333,35.83333333,27.66666667,17.96666667,22.96666667,27.93333333,28.26666667,20.43333333,13.53333333,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,414,42.4,30.9,46.4,45.96666667,49.96666667,34.9,26,25.86666667,9.6,0.9,35.56666667,35.83333333,27.66666667,17.96666667,22.96666667,27.93333333,28.23333333,20.43333333,13.53333333,2.866666667
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,420,42.7,30.9,46.4,45.96666667,49.96666667,34.9,25.93333333,25.76666667,9.6,0.9,35.73333333,35.83333333,27.66666667,17.96666667,22.96666667,27.93333333,28.2,20.4,13.53333333,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,21,10,3,,426,42.8,30.9,46.4,45.96666667,49.96666667,34.9,25.8,25.73333333,9.6,0.9,35.8,35.83333333,27.66666667,17.96666667,22.96666667,27.93333333,28.16666667,20.4,13.5,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,21,10,3,,432,42.93333333,30.9,46.4,45.96666667,49.96666667,34.9,25.76666667,25.66666667,9.6,0.9,36.1,35.8,27.66666667,17.96666667,22.96666667,27.93333333,28.1,20.4,13.5,2.866666667
18,33,47,49,45,41,28,36,22,4,0,26,46,19,17,30,23,29,22,10,3,,438,43.03333333,29.9,41.36666667,46,50.93333333,38.9,22.43333333,29.96666667,9.6,0.9,35.16666667,33.9,30.56666667,15.96666667,22,28.93333333,28.46666667,21.93333333,13.5,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,444,43.2,29.9,41.36666667,46,50.93333333,38.9,22.4,29.86666667,9.6,0.9,35.33333333,33.9,30.56666667,15.96666667,22,28.93333333,28.46666667,21.9,13.36666667,2.866666667
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,450,43.36666667,29.9,41.36666667,46,50.93333333,38.9,22.36666667,29.86666667,9.566666667,0.9,35.46666667,33.9,30.56666667,15.96666667,22,28.93333333,28.43333333,21.9,13.36666667,2.866666667
18,33,46,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,456,43.56666667,29.9,41.36666667,46,50.93333333,38.86666667,22.36666667,29.86666667,9.533333333,0.9,35.63333333,33.9,30.56666667,15.96666667,22,28.93333333,28.43333333,21.83333333,13.36666667,2.866666667
18,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,462,43.93333333,29.9,41.36666667,46,50.93333333,38.86666667,22.26666667,29.83333333,9.5,0.9,35.7,33.86666667,30.56666667,15.96666667,22,28.93333333,28.4,21.8,13.33333333,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,21,9,3,,468,44,29.9,41.36666667,46,50.93333333,38.83333333,22.23333333,29.8,9.5,0.9,35.83333333,33.86666667,30.56666667,15.96666667,22,28.93333333,28.36666667,21.76666667,13.33333333,2.866666667
18,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,474,44.23333333,29.9,41.36666667,46,50.93333333,38.83333333,22.23333333,29.8,9.5,0.9,36.03333333,33.86666667,30.56666667,15.96666667,22,28.93333333,28.36666667,21.76666667,13.33333333,2.866666667
18,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,28,22,10,3,,480,44.4,29.9,41.36666667,46,50.93333333,38.83333333,22.2,29.76666667,9.5,0.9,36.2,33.86666667,30.56666667,15.96666667,22,28.93333333,28.36666667,21.73333333,13.26666667,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,486,44.53333333,29.9,41.36666667,46,50.93333333,38.83333333,22.2,29.76666667,9.466666667,0.9,36.36666667,33.86666667,30.56666667,15.96666667,22,28.93333333,28.36666667,21.73333333,13.23333333,2.866666667
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,492,44.66666667,29.9,41.36666667,46,50.93333333,38.83333333,22.16666667,29.73333333,9.466666667,0.866666667,36.53333333,33.86666667,30.56666667,15.96666667,22,28.93333333,28.3,21.7,13.23333333,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,498,44.86666667,29.9,41.36666667,46,50.93333333,38.83333333,22.16666667,29.7,9.433333333,0.866666667,36.63333333,33.86666667,30.56666667,15.96666667,22,28.93333333,28.13333333,21.7,13.13333333,2.866666667
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,504,44.96666667,29.9,41.36666667,46,50.93333333,38.83333333,22.16666667,29.66666667,9.433333333,0.866666667,36.7,33.83333333,30.56666667,15.96666667,22,28.93333333,28.06666667,21.66666667,13.13333333,2.866666667
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,28,21,10,3,,510,45.16666667,29.9,41.36666667,46,50.93333333,38.83333333,22.16666667,29.6,9.433333333,0.866666667,36.9,33.83333333,30.56666667,15.96666667,22,28.9,28.06666667,21.66666667,13.13333333,2.866666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,516,40.3,33,38.26666667,49,49.93333333,37.86666667,22.96666667,31.2,10.13333333,1.7,36.16666667,34.83333333,27.6,15.93333333,23,29.93333333,25.56666667,23.53333333,13.9,3.633333333
18,33,47,49,45,41,28,37,23,4,0,26,45,19,17,30,23,29,22,9,3,,522,40.43333333,33,38.26666667,49,49.93333333,37.86666667,22.93333333,31.13333333,10.1,1.7,36.23333333,34.83333333,27.6,15.93333333,23,29.93333333,25.53333333,23.53333333,13.86666667,3.566666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,528,40.73333333,33,38.26666667,49,49.93333333,37.86666667,22.9,31.03333333,10.1,1.7,36.43333333,34.8,27.6,15.9,23,29.93333333,25.5,23.53333333,13.86666667,3.566666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,534,41.06666667,33,38.26666667,49,49.93333333,37.86666667,22.83333333,31,10.1,1.7,36.66666667,34.76666667,27.6,15.9,23,29.93333333,25.5,23.53333333,13.76666667,3.566666667
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,540,41.33333333,33,38.26666667,49,49.93333333,37.86666667,22.83333333,30.93333333,10.1,1.7,36.86666667,34.76666667,27.6,15.9,23,29.93333333,25.4,23.5,13.76666667,3.566666667
24,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,546,41.4,33,38.26666667,49,49.93333333,37.86666667,22.83333333,30.9,10.03333333,1.7,37.06666667,34.73333333,27.6,15.9,23,29.93333333,25.36666667,23.46666667,13.76666667,3.566666667
24,33,46,49,45,41,28,35,23,4,0,26,46,19,17,30,23,28,22,10,3,,552,41.66666667,33,38.26666667,49,49.93333333,37.86666667,22.8,30.8,10.03333333,1.7,37.13333333,34.7,27.6,15.9,23,29.93333333,25.33333333,23.4,13.76666667,3.566666667
24,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,558,41.9,33,38.26666667,49,49.93333333,37.86666667,22.73333333,30.7,10,1.666666667,37.36666667,34.7,27.6,15.9,23,29.93333333,25.23333333,23.33333333,13.76666667,3.533333333
24,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,564,42.06666667,33,38.26666667,49,49.93333333,37.86666667,22.66666667,30.63333333,9.966666667,1.666666667,37.56666667,34.66666667,27.6,15.9,23,29.93333333,25.16666667,23.33333333,13.76666667,3.533333333
24,33,47,49,45,41,28,37,23,4,0,27,46,19,17,30,23,29,22,10,3,,570,42.3,33,38.26666667,49,49.93333333,37.86666667,22.63333333,30.63333333,9.933333333,1.666666667,37.8,34.66666667,27.6,15.9,23,29.93333333,25.16666667,23.33333333,13.7,3.533333333
24,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,576,42.43333333,33,38.26666667,49,49.93333333,37.86666667,22.53333333,30.6,9.933333333,1.666666667,37.9,34.66666667,27.6,15.86666667,23,29.93333333,25.06666667,23.3,13.66666667,3.5
24,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,582,42.66666667,33,38.26666667,49,49.93333333,37.86666667,22.43333333,30.53333333,9.933333333,1.666666667,38.26666667,34.66666667,27.56666667,15.86666667,23,29.93333333,25.06666667,23.26666667,13.63333333,3.5
24,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,588,39.9,35.93333333,33.26666667,47,54.93333333,35.9,23.7,32.46666667,10.63333333,1.633333333,36.4,32.83333333,28.36666667,18.86666667,20,30.93333333,23.16666667,26.36666667,12.76666667,5.133333333
24,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,594,40.03333333,35.93333333,33.26666667,47,54.93333333,35.9,23.7,32.46666667,10.63333333,1.633333333,36.7,32.83333333,28.36666667,18.86666667,20,30.93333333,23.13333333,26.33333333,12.7,5.133333333
