Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,371,0,0,0,160,25,92,77,
12,371,0,0,0,160,25,92,77,
18,371,0,0,0,160,25,92,77,
24,371,0,0,0,160,25,92,77,
30,371,0,0,0,160,25,92,77,
36,371,0,0,0,160,25,92,77,
42,370,0,1,0,159,25,91,77,
48,370,0,1,0,159,25,91,77,
54,370,0,1,0,159,25,91,77,
60,370,0,1,0,159,25,91,77,
66,370,0,1,0,159,25,91,77,
72,370,0,1,0,159,25,91,77,
78,371,1,1,0,162,27,91,77,
84,371,1,1,0,161,27,91,78,
90,371,1,1,0,161,27,91,78,
96,371,1,1,0,161,27,91,78,
102,371,1,1,0,161,27,91,78,
108,370,1,2,2,160,25,93,78,
114,370,1,2,2,160,25,93,78,
120,370,1,2,2,160,25,93,78,
126,370,1,2,2,160,25,93,78,
132,370,1,2,2,160,25,93,78,
138,372,3,2,2,160,25,93,78,
144,372,3,2,2,160,25,93,78,
150,374,5,2,2,163,25,93,77,
156,375,6,2,2,163,25,93,77,
162,375,6,2,2,163,25,93,77,
168,373,6,4,2,161,25,93,77,
174,374,7,4,2,161,25,93,77,
180,374,7,4,2,161,25,93,77,
186,376,9,4,2,161,25,93,77,
192,375,9,5,2,160,25,93,77,
198,375,10,5,2,160,26,93,77,
204,375,10,5,2,160,26,93,77,
210,375,11,6,2,161,28,92,75,
216,376,12,6,2,161,28,92,75,
222,375,12,7,2,160,29,91,76,
228,375,12,7,2,159,30,91,77,
234,375,12,7,2,159,30,91,77,
240,375,12,7,2,160,30,91,76,
246,375,12,7,2,160,30,91,76,
252,377,14,7,2,161,31,91,75,
258,376,14,8,2,160,31,91,75,
264,375,14,9,2,159,31,91,75,
270,376,15,9,2,158,31,91,76,
276,376,15,9,2,158,31,91,76,
282,376,15,9,2,158,31,91,76,
288,378,17,9,2,158,31,91,76,
294,378,17,9,2,159,36,91,76,
300,379,18,9,3,159,35,92,76,
306,379,18,9,3,159,35,92,76,
312,379,18,9,3,159,35,92,76,
318,380,19,9,3,159,35,92,76,
324,380,19,9,3,159,35,92,76,
330,379,19,10,3,158,35,91,76,
336,379,19,10,3,158,35,91,76,
342,379,19,10,4,158,34,92,76,
348,379,19,10,4,158,34,92,76,
354,380,20,10,4,158,34,92,76,
360,382,22,10,4,158,34,92,76,
366,382,22,10,4,160,38,92,77,
372,381,22,11,5,160,37,93,77,
378,381,22,11,6,160,36,94,77,
384,381,22,11,7,159,35,95,78,
390,381,22,11,7,159,35,95,78,
396,381,22,11,7,159,35,95,78,
402,382,23,11,7,158,35,95,79,
408,383,24,11,7,158,35,95,79,
414,382,24,12,7,157,35,95,79,
420,383,25,12,7,156,35,95,80,
426,384,26,12,7,156,35,95,80,
432,384,26,12,7,156,35,95,80,
438,384,26,12,7,154,42,95,81,
444,384,26,12,7,154,42,95,81,
450,383,26,13,7,153,43,95,81,
456,384,27,13,7,153,43,95,81,
462,384,27,13,7,152,43,95,82,
468,383,27,14,8,150,42,96,83,
474,383,27,14,8,149,42,96,84,
480,384,28,14,9,149,41,97,84,
486,385,29,14,9,149,41,97,84,
492,385,29,14,9,149,41,97,84,
498,385,29,14,9,148,41,97,85,
504,385,29,14,9,148,41,97,85,
510,384,29,15,9,147,41,96,85,
516,386,31,15,9,148,42,96,84,
522,386,31,15,9,148,42,96,84,
528,386,32,16,9,146,42,96,85,
534,387,33,16,9,146,42,96,85,
540,387,33,16,9,146,42,96,85,
546,387,33,16,9,146,42,96,85,
552,386,33,17,9,145,42,96,85,
558,386,33,17,10,145,41,97,85,
564,386,33,17,10,145,41,97,85,
570,386,34,17,10,144,41,97,86,
576,386,34,17,10,144,41,97,86,
582,386,34,17,10,143,41,97,87,
588,386,34,17,11,142,43,98,87,
594,386,34,17,13,142,41,100,87,
600,386,34,17,14,141,40,101,88,
606,387,35,17,14,139,40,101,90,
612,388,36,17,14,138,40,101,91,
618,390,38,17,14,138,40,101,91,
624,391,39,17,14,138,40,101,91,
630,391,40,18,14,137,40,100,91,
636,391,40,18,14,138,41,100,90,
642,391,40,18,14,138,41,100,90,
648,391,40,18,14,138,41,100,90,
654,391,40,18,14,138,41,100,90,
660,391,40,18,14,136,41,100,90,
666,392,41,18,14,136,41,100,90,
672,391,41,19,14,135,41,100,90,
678,391,41,19,14,135,41,100,90,
684,393,43,19,14,135,41,100,90,
690,393,43,19,15,136,40,101,89,
696,393,43,19,15,136,40,101,89,
702,393,43,19,15,137,41,101,88,
708,393,43,19,15,137,41,101,88,
714,395,45,19,15,137,41,101,88,
720,395,45,19,15,136,41,101,89,
726,397,47,19,15,135,41,101,90,
732,397,47,19,16,134,41,102,90,
738,396,47,20,16,133,41,102,90,
744,396,47,20,16,133,41,102,90,
750,396,47,20,16,132,41,102,91,
756,397,48,20,16,132,41,102,91,
762,397,49,21,17,131,40,102,91,
768,397,49,21,17,131,40,102,91,
774,400,52,21,17,131,40,102,91,
780,399,52,22,17,130,40,101,91,
786,400,53,22,17,130,40,101,91,
792,400,53,22,17,130,40,101,91,
798,401,54,22,18,130,39,102,91,
804,402,55,22,18,129,39,102,91,
810,402,55,22,18,129,39,102,91,
816,402,55,22,18,129,39,102,91,
822,403,56,22,18,129,39,102,91,
828,403,56,22,19,127,38,103,93,
834,403,56,22,20,127,37,104,93,
840,403,56,22,20,127,37,104,93,
846,401,56,24,20,125,37,103,93,
852,402,57,24,20,125,37,103,93,
858,402,57,24,20,125,37,103,93,
864,402,57,24,20,125,37,103,93,
870,402,57,24,20,125,37,103,93,
876,402,57,24,20,122,37,103,93,
882,402,57,24,21,128,36,104,93,
888,403,58,24,21,128,36,104,93,
894,403,58,24,21,128,36,104,93,
900,403,58,24,21,129,37,104,92,
906,404,59,24,21,129,37,104,92,
912,404,59,24,21,129,37,104,92,
918,404,59,24,22,129,36,105,92,
924,405,60,24,22,129,36,105,92,
930,404,60,25,22,128,36,104,92,
936,404,60,25,22,128,36,104,92,
942,404,60,25,22,128,36,104,92,
948,404,60,25,22,128,36,104,92,
954,404,60,25,22,131,37,104,92,
960,405,61,25,22,131,37,104,92,
966,405,61,25,22,131,37,104,92,
972,406,62,25,22,131,37,104,92,
978,406,62,25,22,130,37,104,93,
984,406,62,25,22,130,37,104,93,
990,407,64,26,23,129,36,104,93,
996,407,64,26,23,129,36,104,93,
1002,408,65,26,23,128,36,104,94,
1008,408,65,26,23,128,36,104,94,
1014,409,66,26,23,128,36,104,94,
1020,408,66,27,23,126,36,103,95,
1026,407,66,28,23,134,37,103,95,
1032,407,66,28,23,134,37,103,95,
1038,407,66,28,23,133,37,103,96,
1044,407,66,28,23,133,37,103,96,
1050,407,67,29,23,132,37,102,96,
1056,406,67,30,23,132,37,101,95,
1062,406,67,30,24,132,36,102,95,
1068,407,68,30,24,132,36,102,95,
1074,407,68,30,24,133,36,102,95,
1080,406,68,30,24,132,36,102,96,
1086,406,68,30,24,132,36,102,96,
1092,406,68,30,24,132,36,102,96,
1098,406,68,30,24,126,36,102,97,
1104,406,68,30,24,126,36,102,97,
1110,406,68,30,24,126,36,102,97,
1116,405,68,31,24,125,36,102,97,
1122,405,68,31,25,125,35,103,97,
1128,405,68,31,25,125,35,103,97,
1134,405,69,32,25,124,35,103,97,
1140,406,70,32,25,124,35,103,97,
1146,406,70,32,26,124,34,104,97,
1152,406,70,32,26,124,34,104,97,
1158,406,70,32,26,124,34,104,97,
1164,406,70,32,26,124,34,104,97,
1170,405,70,33,26,119,34,104,97,
1176,404,70,34,26,119,34,104,97,
1182,404,70,34,26,119,34,104,97,
1188,404,70,34,26,118,34,104,98,
1194,405,71,34,26,118,34,104,98,
1200,405,71,34,26,118,34,104,98,
1206,405,71,34,26,118,34,104,98,
1212,405,71,34,26,118,34,104,98,
1218,404,71,35,26,117,34,104,98,
1224,404,71,35,26,117,34,104,98,
1230,404,72,36,27,117,33,105,98,
1236,404,72,36,27,118,33,105,98,
1242,407,75,36,27,115,33,105,98,
1248,407,75,36,27,118,33,105,98,
1254,408,77,37,27,117,33,105,98,
1260,409,78,37,27,118,35,105,96,
1266,408,78,38,27,117,35,104,97,
1272,408,78,38,27,117,35,104,97,
1278,408,78,38,27,118,35,104,97,
1284,407,78,39,27,118,35,104,96,
1290,405,78,40,27,117,35,104,96,
1296,405,78,40,27,118,35,104,96,
1302,404,78,41,27,117,35,104,96,
1308,404,78,41,27,118,35,104,96,
1314,404,78,41,27,118,40,104,95,
1320,404,78,41,27,119,41,104,94,
1326,405,79,41,27,119,41,104,94,
1332,404,79,42,27,118,41,103,94,
1338,402,79,44,27,116,41,102,94,
1344,402,79,44,27,116,41,102,94,
1350,402,79,44,27,118,41,102,94,
1356,402,79,44,27,118,41,102,94,
1362,402,79,44,27,118,41,102,94,
1368,401,79,45,27,117,41,101,95,
1374,401,80,46,27,116,41,101,95,
1380,401,80,46,27,116,41,101,95,
1386,399,80,48,27,117,42,101,94,
1392,399,80,48,27,115,45,101,94,
1398,399,80,48,27,116,45,101,94,
1404,399,80,48,27,116,45,101,94,
1410,399,80,48,27,116,45,101,94,
1416,399,80,48,27,117,45,101,94,
1422,398,80,49,27,116,45,101,94,
1428,397,80,50,27,115,45,100,94,
1434,396,80,51,27,115,45,100,94,
1440,396,80,51,27,115,45,100,94,
1446,396,80,51,27,115,45,100,94,
1452,398,82,51,27,116,45,100,94,
1458,397,82,52,27,117,45,99,94,
