HH_ID,Question_I,Frequency,latitude,longitude,x,y,,Question,Frequency_,,House,House,House,House,House,House,,HH_ID,2_2_i,HH_ID,2_2_ii,,,,
22,Bamboo,0.333333333,27.9938,108.781,86,78,,8.4i-c,2,,"108,46,41.985","27,59,28.126",108.7783292,27.99114611,85,75,,42,"108,46,36.309",42,"27,59,14.426",108.7767525,27.98734056,84,74
22,Fodder,5,27.995,108.783,87,79,,8.4i-e,30,,"108,46,41.985","27,59,28.126",108.7783292,27.99114611,85,75,,43,"108,46,23.559",43,"27,59,24.574",108.7732108,27.99015944,85,72
25,Fuelwood,8.333333333,27.9937,108.782,86,78,,8.4i-a,50,,"108,46,41.385","27,59,28.933",108.7781625,27.99137028,85,75,,45,"108,46,25.047",45,"27,59,26.811",108.7736242,27.99078083,85,72
25,Fodder,10,27.9912,108.78,85,78,,8.4i-e,60,,"108,46,41.385","27,59,28.933",108.7781625,27.99137028,85,75,,46,"108,46,25.566",46,"27,59,25.312",108.7737683,27.99036444,85,72
25,Bamboo,0.5,27.9916,108.778,86,77,,8.4i-c,3,,"108,46,41.385","27,59,28.933",108.7781625,27.99137028,85,75,,47,"108,46,24.697",47,"27,59,26.378",108.7735269,27.99066056,85,72
27,Fuelwood,4.166666667,27.9934,108.779,86,77,,8.4i-a,25,,"108,46,54.187","27,59,33.216",108.7817186,27.99256,86,77,,48,"108,46,21.923",48,"27,59,24.601",108.7727564,27.99016694,85,72
30,Fuelwood,10,27.9874,108.778,84,77,,8.4i-a,60,,"108,46,36.940","27,59,13.913",108.7769278,27.98719806,84,74,,49,"108,46,22.453",49,"27,59,26.247",108.7729036,27.99062417,85,72
30,Bamboo,0.833333333,27.9815,108.768,82,74,,8.4i-c,5,,"108,46,36.940","27,59,13.913",108.7769278,27.98719806,84,74,,51,"108,46,49.387",51,"27,59,27.233",108.7803853,27.99089806,85,76
30,Fodder,5,27.9856,108.774,83,76,,8.4i-e,30,,"108,46,36.940","27,59,13.913",108.7769278,27.98719806,84,74,,53,"108,46,29.473",53,"27,59,16.022",108.7748536,27.98778389,84,73
31,Fuelwood,0.833333333,27.9866,108.771,84,75,,8.4i-a,5,,"108,46,24.198","27,59,23.805",108.7733883,27.98994583,85,72,,54,"108,46,25.191",54,"27,59,18.770",108.7736642,27.98854722,84,72
31,Bamboo,0.333333333,27.9908,108.773,85,75,,8.4i-c,2,,"108,46,24.198","27,59,23.805",108.7733883,27.98994583,85,72,,55,"108,46,24.570",55,"27,559,24.630",108.7734917,27.92350833,60,72
31,Mushrooms,0.166666667,27.9886,108.771,84,75,,8.4i-d,1,,"108,46,24.198","27,59,23.805",108.7733883,27.98994583,85,72,,57,"108,46,25.284",57,"27,59,24.341",108.77369,27.99009472,85,72
32,Fuelwood,5,27.9897,108.775,85,76,,8.4i-a,30,,"108,46,24.768","27,59,24.461",108.7735467,27.99012806,85,72,,63,"108,40,48.381",63,"27,59,04.956",108.6801058,27.98471,83,17
34,Fuelwood,1.666666667,27.9948,108.769,87,74,,8.4i-a,10,,"108,46,26.253","27,59,25.480",108.7739592,27.99041111,85,72,,64,"108,40,42.464",64,"27,58,58.698",108.6784622,27.98297167,82,16
34,Fodder,6.666666667,27.9891,108.773,85,75,,8.4i-e,40,,"108,46,26.253","27,59,25.480",108.7739592,27.99041111,85,72,,71,"108,40,39.881",71,"27,58,58.624",108.6777447,27.98295111,82,16
35,Fuelwood,0.833333333,27.988,108.772,84,75,,8.4i-a,5,,"108,46,29.940","27,59,14.142",108.7749833,27.98726167,84,73,,72,"108,40,40.559",72,"27,58,59.158",108.6779331,27.98309944,82,16
35,Bamboo,0.333333333,27.9866,108.776,84,76,,8.4i-c,2,,"108,46,29.940","27,59,14.142",108.7749833,27.98726167,84,73,,79,"108,40,47.481",79,"27,59,05.608",108.6798558,27.98489111,83,17
35,Fodder,1.666666667,27.9881,108.777,84,77,,8.4i-e,10,,"108,46,29.940","27,59,14.142",108.7749833,27.98726167,84,73,,81,"108,40,48.415",81,"27,59,05.316",108.6801153,27.98481,83,17
36,Fuelwood,15,27.9929,108.77,86,74,,8.4i-a,90,,"108,46,25.037","27,59,24.680",108.7736214,27.99018889,85,72,,85,"108,40,46.795",85,"27,59,07.863",108.6796653,27.9855175,83,17
