HH_ID,Gender_1,Gender_2,Gender_3,Gender_4,Gender_5,Gender_6,Gender_7,Gender_8,Gender_9,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Education_1,Education_2,Education_3,Education_4,Education_5,Education_6,Education_7,Education_8,Education_9,Marriage_1 ,Marriage_2,Marriage_3,Marriage_4,Marriage_5,Marriage_6,Marriage_7,Marriage_8,Marriage_9,migration_network,Mig_age,Mig_gender,Mig_marriage ,Mig_education, Mig_year,Rice_paddles_mu,Rice_paddles_GTGP_mu,Dry_land_mu,Dry_land_GTGP_mu,Other_business_cash_last_yr,Mig_remittances,Other_labor_cash_last_yr,Social_gift_cash_last_yr,OX_cash_last_yr,Pig_cash_last_yr,Poultry_cash_last_yr,livestock_cash_last_yr,Ranger_yuan,Retirement_cash_last_yr,local_income_off_farm,Bank_loan_cash_last_yr,NonInstitute_loan_cash_last_yr
17,1,2,2,2,2,-3,-3,-3,-3,56,54,14,17,80,-3,-3,-3,-3,9,6,8,11,0,-3,-3,-3,-3,1,1,6,6,5,-3,-3,-3,-3,1,33,1,1,8,6,3,0,3,1,0,0,0,50000,0,0,0,0,0,600,50600,-3,30000
18,1,1,-3,-3,-3,-3,-3,-3,-3,36,3,-3,-3,-3,-3,-3,-3,-3,12,-3,-3,-3,-3,-3,-3,-3,-3,4,6,-3,-3,-3,-3,-3,-3,-3,1,62,1,5,-3,5,3,0,2,1,12000,5000,0,0,0,0,0,0,0,0,12000,50000,-3
19,-3,2,1,-3,-3,-3,-3,-3,-3,73,75,-3,-3,-3,-3,-3,-3,-3,0,2,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,3.5,0,3,0.5,0,0,0,0,0,0,0,0,0,1320,1320,-3,-3
22,1,1,2,2,-3,-3,-3,-3,-3,24,62,60,12,-3,-3,-3,-3,-3,5,15,3,6,-3,-3,-3,-3,-3,6,1,1,6,-3,-3,-3,-3,-3,0,-3,-3,-3,3,-3,4.2,0,5,4,12000,0,0,0,0,0,0,0,0,840,12840,-3,-3
25,1,2,2,2,-3,-3,-3,-3,-3,63,62,12,11,-3,-3,-3,-3,-3,5,1,6,5,-3,-3,-3,-3,-3,1,1,6,6,-3,-3,-3,-3,-3,1,38,1,1,6,6,4,0,0.3,2,0,0,0,0,0,7000,0,7000,0,0,7000,-3,-3
27,1,1,2,2,2,1,1,-3,-3,40,36,33,12,10,7,3,-3,-3,2,4,6,6,4,1,-3,-3,-3,6,1,1,6,6,6,6,-3,-3,1,34,1,6,6,6,5,1,4,4,0,0,6000,0,0,0,400,400,0,0,6400,-3,70000
30,1,2,-3,-3,-3,-3,-3,-3,-3,65,67,-3,-3,-3,-3,-3,-3,-3,0,2,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,6,5,2,1,0,0,0,0,0,0,0,0,0,1680,1680,-3,-3
31,1,2,2,1,-3,-3,-3,-3,-3,64,63,33,15,-3,-3,-3,-3,-3,0,0,0,9,-3,-3,-3,-3,-3,1,1,6,6,-3,-3,-3,-3,-3,1,41,1,1,0,10,3,0,2,0,0,3000,0,0,0,0,0,0,0,1200,1196,-3,-3
32,1,2,1,-3,-3,-3,-3,-3,-3,67,67,15,-3,-3,-3,-3,-3,-3,1,2,7,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,34,1,2,7,2,3,0,2.5,1,0,0,0,0,3400,3200,0,6600,0,1680,8280,-3,-3
34,1,-3,-3,-3,-3,-3,-3,-3,-3,54,-3,-3,-3,-3,-3,-3,-3,-3,8,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,1,46,2,1,10,1,1.2,0,1.2,0.4,0,19200,0,0,0,0,0,0,0,0,0,-3,9000
