with,,without,
60,65,49,88
59,65,50,88
42,65,62,88
42,65,62,88
58,65,62,88
57,65,62,88
39,65,62,88
38,65,55,88
38,65,57,88
38,65,64,88
39,65,63,88
42,65,62,88
44,65,62,88
44,65,66,88
43,65,66,88
44,65,58,88
42,65,67,88
41,65,58,88
45,65,61,88
54,65,64,88
54,65,58,88
65,65,52,88
63,65,53,88
63,65,55,88
51,65,56,88
43,65,56,88
43,65,57,88
63,65,56,88
46,65,56,88
61,65,58,88
61,65,59,88
47,65,58,88
54,65,57,88
52,65,56,88
44,65,58,88
56,65,62,88
45,65,62,88
48,65,57,88
49,65,59,88
59,65,59,88
50,65,57,88
44,65,58,88
43,65,58,88
55,65,68,88
59,65,57,88
52,65,70,88
56,65,71,88
57,65,61,88
53,65,61,88
62,65,55,88
54,65,65,88
54,65,56,88
55,65,63,88
56,65,54,88
59,65,54,88
59,65,59,88
55,65,57,88
40,65,56,88
61,65,56,88
54,65,52,88
54,65,52,88
62,65,51,88
56,65,50,88
56,65,48,88
66,65,48,88
66,65,54,88
58,65,51,88
63,65,52,88
46,65,52,88
47,65,66,88
62,65,64,88
47,65,63,88
67,65,63,88
44,65,64,88
47,65,64,88
55,65,64,88
61,65,63,88
39,65,65,88
59,65,65,88
58,65,64,88
57,65,63,88
57,65,65,88
57,65,63,88
57,65,63,88
57,65,61,88
57,65,60,88
57,65,60,88
57,65,60,88
57,65,60,88
41,65,60,88
56,65,60,88
56,65,63,88
55,65,63,88
59,65,63,88
52,65,64,88
52,65,65,88
59,65,64,88
59,65,65,88
53,65,66,88
53,65,66,88
60,65,66,88
61,65,61,88
61,65,53,88
51,65,52,88
51,65,53,88
50,65,54,88
48,65,54,88
25,65,61,88
26,65,60,88
27,65,51,88
28,65,53,88
27,65,59,88
28,65,59,88
27,65,57,88
45,65,60,88
46,65,60,88
52,65,61,88
56,65,61,88
59,65,56,88
52,65,56,88
39,65,55,88
39,65,60,88
57,65,58,88
57,65,55,88
58,65,55,88
49,65,56,88
63,65,63,88
53,65,63,88
53,65,64,88
53,65,63,88
53,65,62,88
53,65,62,88
53,65,61,88
53,65,51,88
51,65,52,88
51,65,51,88
51,65,51,88
51,65,51,88
51,65,52,88
51,65,56,88
51,65,55,88
40,65,55,88
48,65,52,88
53,65,51,88
57,65,51,88
41,65,52,88
41,65,51,88
56,65,51,88
49,65,50,88
51,65,51,88
60,65,50,88
60,65,50,88
51,65,49,88
51,65,56,88
56,65,63,88
57,65,56,88
58,65,60,88
59,65,55,88
60,65,55,88
61,65,57,88
62,65,57,88
63,65,58,88
63,65,57,88
60,65,51,88
51,65,51,88
64,65,51,88
63,65,64,88
63,65,67,88
62,65,60,88
62,65,63,88
62,65,55,88
64,65,54,88
62,65,53,88
58,65,57,88
59,65,57,88
57,65,58,88
57,65,57,88
57,65,57,88
58,65,57,88
59,65,57,88
59,65,55,88
59,65,68,88
58,65,67,88
57,65,67,88
57,65,57,88
55,65,63,88
53,65,63,88
53,65,63,88
57,65,58,88
62,65,58,88
37,65,58,88
56,65,60,88
47,65,61,88
51,65,60,88
54,65,61,88
46,65,61,88
59,65,55,88
59,65,53,88
39,65,59,88
32,65,56,88
32,65,57,88
47,65,58,88
40,65,59,88
50,65,60,88
49,65,61,88
43,65,61,88
55,65,61,88
