with,,without,
50,65,51,65
50,65,54,65
50,65,54,65
50,65,58,65
50,65,55,65
50,65,48,65
50,65,55,65
50,65,48,65
50,65,54,65
50,65,51,65
50,65,55,65
50,65,47,65
50,65,56,65
50,65,56,65
50,65,48,65
50,65,64,65
50,65,64,65
50,65,55,65
50,65,55,65
50,65,51,65
50,65,37,65
50,65,37,65
50,65,55,65
51,65,52,65
51,65,52,65
51,65,53,65
51,65,57,65
51,65,55,65
51,65,57,65
51,65,57,65
51,65,29,65
51,65,30,65
51,65,31,65
51,65,58,65
51,65,57,65
51,65,58,65
51,65,31,65
51,65,31,65
51,65,32,65
51,65,32,65
51,65,58,65
51,65,58,65
51,65,56,65
51,65,31,65
51,65,31,65
51,65,32,65
51,65,46,65
51,65,47,65
51,65,47,65
51,65,48,65
51,65,56,65
51,65,57,65
51,65,57,65
51,65,45,65
51,65,45,65
51,65,61,65
51,65,60,65
51,65,60,65
51,65,60,65
51,65,62,65
51,65,63,65
51,65,62,65
51,65,61,65
51,65,61,65
52,65,60,65
52,65,37,65
52,65,37,65
52,65,62,65
52,65,37,65
52,65,53,65
52,65,67,65
52,65,68,65
52,65,57,65
52,65,50,65
52,65,49,65
52,65,58,65
52,65,47,65
52,65,48,65
52,65,57,65
52,65,57,65
52,65,50,65
52,65,35,65
52,65,43,65
52,65,50,65
52,65,58,65
52,65,58,65
52,65,57,65
52,65,58,65
52,65,57,65
52,65,55,65
52,65,57,65
52,65,56,65
52,65,58,65
52,65,60,65
52,65,61,65
52,65,61,65
52,65,61,65
52,65,62,65
52,65,55,65
52,65,55,65
52,65,55,65
52,65,56,65
52,65,64,65
52,65,57,65
52,65,57,65
52,65,56,65
52,65,55,65
52,65,55,65
52,65,67,65
52,65,67,65
52,65,67,65
52,65,67,65
53,65,66,65
53,65,58,65
53,65,59,65
53,65,67,65
53,65,66,65
53,65,65,65
53,65,53,65
53,65,53,65
53,65,60,65
53,65,63,65
53,65,64,65
53,65,58,65
53,65,55,65
53,65,52,65
53,65,54,65
53,65,59,65
53,65,55,65
53,65,63,65
53,65,52,65
53,65,52,65
53,65,71,65
53,65,71,65
53,65,54,65
53,65,50,65
53,65,55,65
53,65,48,65
53,65,56,65
53,65,63,65
53,65,63,65
53,65,62,65
53,65,62,65
53,65,54,65
53,65,55,65
53,65,55,65
53,65,50,65
53,65,50,65
53,65,49,65
53,65,52,65
53,65,51,65
53,65,51,65
53,65,59,65
53,65,56,65
53,65,55,65
53,65,55,65
53,65,55,65
53,65,56,65
53,65,57,65
53,65,56,65
53,65,58,65
53,65,60,65
53,65,60,65
53,65,59,65
53,65,58,65
53,65,59,65
53,65,59,65
53,65,60,65
53,65,59,65
53,65,57,65
53,65,44,65
53,65,57,65
53,65,56,65
54,65,60,65
54,65,48,65
54,65,48,65
54,65,54,65
54,65,56,65
54,65,55,65
54,65,48,65
54,65,41,65
54,65,56,65
54,65,45,65
54,65,50,65
54,65,49,65
54,65,43,65
54,65,38,65
54,65,46,65
54,65,46,65
54,65,42,65
54,65,45,65
54,65,29,65
54,65,28,65
54,65,44,65
54,65,40,65
54,65,32,65
54,65,33,65
54,65,33,65
54,65,33,65
54,65,37,65
54,65,36,65
54,65,36,65
54,65,40,65
54,65,40,65
54,65,41,65
54,65,42,65
54,65,43,65
54,65,43,65
54,65,36,65
54,65,41,65
54,65,41,65
54,65,41,65
54,65,41,65
54,65,41,65
54,65,42,65
54,65,40,65
54,65,42,65
54,65,42,65
54,65,45,65
54,65,45,65
54,65,56,65
54,65,33,65
54,65,65,65
54,65,55,65
54,65,54,65
54,65,56,65
54,65,50,65
54,65,49,65
54,65,66,65
54,65,61,65
54,65,44,65
54,65,59,65
54,65,57,65
55,65,35,65
55,65,35,65
55,65,55,65
55,65,42,65
55,65,34,65
55,65,53,65
55,65,53,65
55,65,28,65
55,65,28,65
55,65,33,65
55,65,34,65
55,65,35,65
55,65,36,65
55,65,37,65
55,65,38,65
55,65,39,65
55,65,39,65
55,65,27,65
55,65,26,65
55,65,26,65
55,65,61,65
55,65,59,65
55,65,59,65
55,65,52,65
55,65,52,65
55,65,38,65
55,65,38,65
55,65,28,65
55,65,60,65
55,65,60,65
55,65,60,65
55,65,60,65
55,65,52,65
55,65,62,65
55,65,28,65
55,65,30,65
55,65,38,65
55,65,38,65
55,65,39,65
55,65,62,65
55,65,47,65
55,65,28,65
55,65,28,65
55,65,64,65
55,65,63,65
55,65,26,65
55,65,49,65
55,65,51,65
56,65,51,65
56,65,53,65
56,65,56,65
56,65,56,65
56,65,25,65
56,65,24,65
56,65,24,65
56,65,50,65
56,65,49,65
56,65,50,65
56,65,49,65
56,65,55,65
56,65,52,65
56,65,53,65
56,65,53,65
56,65,50,65
56,65,51,65
56,65,51,65
56,65,51,65
56,65,50,65
56,65,49,65
56,65,61,65
56,65,60,65
56,65,25,65
56,65,57,65
56,65,58,65
56,65,58,65
56,65,59,65
56,65,25,65
56,65,24,65
56,65,25,65
56,65,25,65
56,65,25,65
56,65,33,65
56,65,33,65
56,65,32,65
56,65,61,65
56,65,60,65
56,65,61,65
56,65,61,65
56,65,62,65
56,65,63,65
56,65,64,65
57,65,64,65
57,65,25,65
57,65,25,65
57,65,26,65
57,65,27,65
57,65,26,65
57,65,26,65
57,65,27,65
57,65,28,65
57,65,63,65
57,65,63,65
57,65,29,65
57,65,30,65
57,65,31,65
57,65,64,65
57,65,66,65
57,65,55,65
57,65,62,65
57,65,62,65
57,65,67,65
57,65,32,65
57,65,57,65
57,65,50,65
57,65,51,65
57,65,51,65
57,65,53,65
57,65,53,65
57,65,47,65
57,65,58,65
57,65,48,65
57,65,39,65
57,65,39,65
57,65,50,65
57,65,49,65
57,65,45,65
57,65,45,65
57,65,45,65
57,65,48,65
57,65,38,65
57,65,65,65
57,65,36,65
57,65,33,65
57,65,32,65
57,65,38,65
57,65,41,65
57,65,41,65
57,65,43,65
57,65,42,65
57,65,43,65
57,65,43,65
57,65,43,65
57,65,43,65
57,65,44,65
57,65,39,65
57,65,38,65
57,65,38,65
57,65,37,65
57,65,36,65
57,65,39,65
57,65,39,65
57,65,42,65
57,65,38,65
57,65,40,65
58,65,40,65
58,65,39,65
58,65,38,65
58,65,56,65
58,65,56,65
58,65,39,65
58,65,50,65
58,65,50,65
58,65,47,65
58,65,47,65
58,65,40,65
58,65,25,65
58,65,25,65
58,65,39,65
58,65,39,65
58,65,53,65
58,65,53,65
58,65,49,65
58,65,41,65
58,65,62,65
58,65,68,65
58,65,50,65
58,65,53,65
58,65,54,65
58,65,64,65
58,65,62,65
58,65,46,65
58,65,46,65
58,65,34,65
58,65,41,65
58,65,53,65
58,65,54,65
58,65,55,65
58,65,56,65
58,65,57,65
58,65,58,65
58,65,58,65
58,65,58,65
58,65,58,65
58,65,58,65
58,65,43,65
58,65,50,65
58,65,51,65
58,65,46,65
58,65,46,65
58,65,54,65
58,65,54,65
58,65,51,65
58,65,66,65
58,65,43,65
59,65,43,65
59,65,45,65
59,65,45,65
59,65,62,65
59,65,63,65
59,65,64,65
59,65,65,65
59,65,40,65
59,65,41,65
59,65,41,65
59,65,42,65
59,65,43,65
59,65,44,65
59,65,43,65
59,65,43,65
59,65,44,65
59,65,44,65
59,65,47,65
59,65,73,65
59,65,75,65
59,65,71,65
59,65,71,65
59,65,46,65
59,65,47,65
59,65,48,65
59,65,48,65
59,65,47,65
59,65,49,65
59,65,71,65
59,65,71,65
59,65,48,65
59,65,48,65
59,65,71,65
59,65,72,65
59,65,71,65
59,65,71,65
59,65,49,65
59,65,50,65
59,65,52,65
59,65,53,65
59,65,52,65
59,65,51,65
60,65,51,65
60,65,49,65
60,65,48,65
60,65,48,65
60,65,45,65
60,65,45,65
60,65,52,65
60,65,67,65
60,65,52,65
60,65,50,65
60,65,51,65
60,65,51,65
60,65,72,65
60,65,48,65
60,65,38,65
60,65,64,65
60,65,52,65
60,65,56,65
60,65,67,65
60,65,61,65
60,65,53,65
60,65,52,65
60,65,52,65
60,65,37,65
60,65,46,65
60,65,67,65
60,65,56,65
60,65,56,65
60,65,55,65
60,65,54,65
60,65,53,65
60,65,52,65
60,65,51,65
60,65,50,65
60,65,49,65
60,65,48,65
60,65,47,65
60,65,47,65
60,65,51,65
61,65,45,65
61,65,35,65
61,65,48,65
61,65,48,65
61,65,45,65
61,65,57,65
61,65,48,65
61,65,43,65
61,65,49,65
61,65,51,65
61,65,51,65
61,65,55,65
61,65,47,65
61,65,56,65
61,65,36,65
61,65,36,65
61,65,55,65
61,65,49,65
61,65,37,65
61,65,58,65
61,65,31,65
61,65,30,65
61,65,30,65
61,65,29,65
61,65,28,65
61,65,66,65
61,65,65,65
61,65,66,65
61,65,64,65
61,65,65,65
61,65,63,65
61,65,64,65
61,65,35,65
61,65,31,65
61,65,64,65
61,65,33,65
61,65,32,65
61,65,63,65
61,65,65,65
61,65,64,65
61,65,64,65
61,65,33,65
61,65,34,65
62,65,63,65
62,65,63,65
62,65,34,65
62,65,36,65
62,65,60,65
62,65,60,65
62,65,61,65
62,65,58,65
62,65,60,65
62,65,52,65
62,65,46,65
62,65,46,65
62,65,58,65
62,65,62,65
62,65,43,65
62,65,44,65
62,65,56,65
62,65,39,65
62,65,44,65
62,65,57,65
62,65,53,65
62,65,60,65
62,65,44,65
62,65,44,65
62,65,33,65
62,65,51,65
62,65,47,65
62,65,52,65
62,65,57,65
62,65,55,65
62,65,60,65
62,65,41,65
62,65,57,65
62,65,43,65
62,65,43,65
62,65,42,65
62,65,34,65
62,65,32,65
62,65,30,65
62,65,30,65
62,65,31,65
62,65,31,65
62,65,31,65
62,65,46,65
62,65,47,65
62,65,46,65
62,65,46,65
62,65,30,65
62,65,21,65
62,65,32,65
63,65,33,65
63,65,33,65
63,65,33,65
63,65,30,65
63,65,30,65
63,65,19,65
63,65,20,65
63,65,21,65
63,65,20,65
63,65,19,65
63,65,31,65
63,65,21,65
63,65,20,65
63,65,20,65
63,65,20,65
64,65,20,65
64,65,19,65
64,65,21,65
64,65,22,65
64,65,21,65
64,65,21,65
64,65,23,65
64,65,25,65
64,65,27,65
64,65,27,65
64,65,27,65
64,65,29,65
64,65,29,65
64,65,30,65
64,65,29,65
64,65,28,65
64,65,28,65
64,65,29,65
64,65,29,65
64,65,27,65
64,65,37,65
65,65,52,65
65,65,41,65
65,65,62,65
65,65,55,65
65,65,37,65
65,65,37,65
65,65,37,65
65,65,53,65
65,65,40,65
65,65,62,65
65,65,40,65
65,65,43,65
65,65,54,65
65,65,54,65
65,65,53,65
65,65,54,65
66,65,50,65
66,65,34,65
66,65,33,65
66,65,58,65
66,65,33,65
66,65,54,65
66,65,54,65
66,65,58,65
66,65,38,65
66,65,33,65
66,65,60,65
67,65,54,65
67,65,55,65
67,65,55,65
67,65,56,65
67,65,56,65
67,65,55,65
67,65,56,65
67,65,51,65
67,65,58,65
68,65,56,65
68,65,56,65
68,65,57,65
68,65,58,65
68,65,59,65
69,65,59,65
70,65,44,65
71,65,45,65
71,65,38,65
71,65,39,65
71,65,40,65
71,65,41,65
71,65,42,65
71,65,42,65
72,65,49,65
72,65,51,65
72,65,33,65
72,65,60,65
72,65,60,65
72,65,62,65
72,65,56,65
72,65,58,65
72,65,59,65
73,65,53,65
73,65,55,65
73,65,56,65
73,65,56,65
73,65,55,65
73,65,53,65
73,65,52,65
73,65,51,65
22,66,50,65
24,66,49,65
24,66,48,65
24,66,47,65
24,66,46,65
24,66,45,65
25,66,45,65
25,66,35,65
25,66,38,65
25,66,38,65
26,66,52,65
27,66,51,65
27,66,50,65
27,66,49,65
27,66,48,65
27,66,47,65
27,66,46,65
27,66,45,65
27,66,45,65
28,66,47,65
28,66,45,65
28,66,51,65
28,66,48,65
28,66,48,65
28,66,40,65
28,66,51,65
28,66,32,65
28,66,40,65
29,66,41,65
29,66,41,65
29,66,32,65
29,66,28,65
29,66,51,65
29,66,55,65
29,66,56,65
30,66,56,65
30,66,58,65
30,66,60,65
30,66,38,65
30,66,45,65
30,66,45,65
30,66,37,65
30,66,38,65
30,66,35,66
30,66,39,66
31,66,39,66
31,66,34,66
31,66,35,66
31,66,38,66
31,66,37,66
31,66,36,66
31,66,33,66
31,66,33,66
31,66,34,66
31,66,34,66
31,66,35,66
31,66,34,66
31,66,32,66
31,66,32,66
31,66,37,66
31,66,37,66
31,66,32,66
31,66,33,66
31,66,36,66
31,66,35,66
31,66,36,66
31,66,36,66
32,66,37,66
32,66,27,66
32,66,28,66
32,66,37,66
32,66,35,66
32,66,34,66
32,66,34,66
32,66,30,66
33,66,30,66
33,66,18,66
33,66,30,66
33,66,36,66
33,66,39,66
33,66,41,66
33,66,56,66
33,66,60,66
34,66,61,66
34,66,46,66
34,66,46,66
34,66,51,66
34,66,59,66
34,66,48,66
34,66,56,66
34,66,50,66
34,66,53,66
35,66,56,66
35,66,53,66
35,66,52,66
35,66,48,66
35,66,52,66
35,66,54,66
35,66,53,66
35,66,50,66
35,66,53,66
35,66,48,66
35,66,39,66
35,66,54,66
36,66,24,66
36,66,24,66
36,66,25,66
36,66,26,66
36,66,26,66
36,66,38,66
36,66,39,66
36,66,40,66
36,66,40,66
36,66,26,66
36,66,27,66
36,66,25,66
36,66,24,66
36,66,25,66
36,66,25,66
36,66,46,66
36,66,64,66
36,66,60,66
36,66,58,66
37,66,54,66
37,66,62,66
37,66,62,66
37,66,56,66
37,66,36,66
37,66,49,66
37,66,53,66
37,66,53,66
37,66,44,66
37,66,59,66
37,66,61,66
37,66,55,66
37,66,58,66
37,66,43,66
37,66,49,66
37,66,63,66
37,66,64,66
37,66,64,66
37,66,55,66
37,66,53,66
37,66,63,66
38,66,62,66
38,66,61,66
38,66,51,66
38,66,51,66
38,66,66,66
38,66,65,66
38,66,65,66
38,66,50,66
38,66,67,66
38,66,68,66
38,66,69,66
38,66,70,66
38,66,69,66
38,66,68,66
38,66,66,66
38,66,66,66
38,66,67,66
38,66,69,66
38,66,70,66
38,66,70,66
38,66,53,66
38,66,52,66
39,66,54,66
39,66,54,66
39,66,54,66
39,66,53,66
39,66,53,66
39,66,71,66
39,66,70,66
39,66,55,66
39,66,69,66
39,66,70,66
39,66,71,66
39,66,72,66
39,66,72,66
39,66,72,66
39,66,70,66
39,66,69,66
39,66,69,66
39,66,58,66
40,66,58,66
40,66,70,66
40,66,71,66
40,66,70,66
40,66,71,66
40,66,71,66
40,66,53,66
40,66,52,66
40,66,52,66
40,66,71,66
40,66,57,66
40,66,51,66
40,66,52,66
40,66,57,66
40,66,58,66
40,66,57,66
40,66,58,66
40,66,48,66
40,66,48,66
40,66,52,66
40,66,53,66
41,66,53,66
41,66,47,66
41,66,44,66
41,66,45,66
41,66,47,66
41,66,48,66
41,66,48,66
41,66,60,66
41,66,61,66
41,66,50,66
41,66,51,66
41,66,71,66
42,66,72,66
42,66,46,66
42,66,52,66
42,66,53,66
42,66,45,66
42,66,46,66
42,66,47,66
42,66,70,66
42,66,70,66
42,66,71,66
42,66,45,66
42,66,45,66
43,66,47,66
43,66,68,66
43,66,68,66
43,66,64,66
43,66,63,66
43,66,68,66
43,66,67,66
43,66,46,66
43,66,55,66
43,66,58,66
43,66,59,66
43,66,56,66
43,66,62,66
43,66,62,66
43,66,62,66
43,66,49,66
43,66,49,66
44,66,57,66
44,66,49,66
44,66,45,66
44,66,45,66
44,66,47,66
44,66,49,66
44,66,54,66
44,66,51,66
44,66,51,66
44,66,49,66
44,66,38,66
44,66,54,66
44,66,25,66
44,66,25,66
44,66,56,66
44,66,56,66
44,66,57,66
44,66,58,66
44,66,59,66
44,66,60,66
44,66,60,66
44,66,61,66
44,66,61,66
44,66,56,66
44,66,54,66
44,66,54,66
44,66,43,66
44,66,48,66
44,66,48,66
44,66,54,66
44,66,50,66
45,66,44,66
45,66,63,66
45,66,62,66
45,66,55,66
45,66,55,66
45,66,59,66
45,66,49,66
45,66,40,66
45,66,40,66
45,66,62,66
45,66,61,66
45,66,60,66
45,66,60,66
45,66,51,66
45,66,41,66
45,66,41,66
45,66,34,66
45,66,34,66
45,66,53,66
45,66,53,66
45,66,35,66
45,66,36,66
45,66,37,66
46,66,38,66
46,66,39,66
46,66,40,66
46,66,41,66
46,66,42,66
46,66,43,66
46,66,44,66
46,66,44,66
46,66,52,66
46,66,52,66
46,66,36,66
46,66,36,66
46,66,35,66
46,66,45,66
46,66,46,66
46,66,37,66
46,66,36,66
46,66,37,66
46,66,45,66
46,66,47,66
47,66,46,66
47,66,43,66
47,66,43,66
47,66,44,66
47,66,37,66
47,66,37,66
47,66,46,66
47,66,48,66
47,66,47,66
47,66,47,66
47,66,46,66
47,66,46,66
47,66,35,66
47,66,33,66
47,66,45,66
47,66,47,66
47,66,32,66
47,66,33,66
47,66,33,66
47,66,44,66
47,66,44,66
47,66,47,66
47,66,49,66
47,66,48,66
47,66,47,66
48,66,47,66
48,66,34,66
48,66,48,66
48,66,48,66
48,66,49,66
48,66,50,66
48,66,48,66
48,66,47,66
48,66,49,66
48,66,49,66
48,66,51,66
48,66,49,66
48,66,49,66
48,66,48,66
48,66,49,66
48,66,50,66
48,66,51,66
48,66,51,66
48,66,53,66
48,66,54,66
48,66,50,66
48,66,53,66
48,66,54,66
48,66,54,66
48,66,51,66
48,66,52,66
48,66,52,66
48,66,43,66
48,66,43,66
48,66,56,66
48,66,64,66
48,66,57,66
48,66,57,66
48,66,62,66
48,66,54,66
48,66,42,66
49,66,48,66
49,66,50,66
49,66,50,66
49,66,31,66
49,66,49,66
49,66,48,66
49,66,39,66
49,66,48,66
49,66,48,66
49,66,52,66
49,66,35,66
49,66,58,66
49,66,24,66
49,66,26,66
49,66,25,66
49,66,26,66
49,66,27,66
49,66,26,66
49,66,52,66
49,66,64,66
49,66,55,66
49,66,30,66
49,66,37,66
49,66,57,66
49,66,57,66
49,66,53,66
49,66,56,66
49,66,58,66
49,66,51,66
49,66,47,66
49,66,47,66
49,66,53,66
49,66,42,66
49,66,36,66
49,66,64,66
49,66,57,66
49,66,58,66
49,66,55,66
49,66,38,66
49,66,35,66
49,66,35,66
49,66,65,66
49,66,38,66
49,66,55,66
49,66,62,66
49,66,45,66
49,66,45,66
49,66,44,66
49,66,46,66
49,66,46,66
49,66,51,66
49,66,55,66
49,66,58,66
49,66,45,66
49,66,56,66
49,66,67,66
49,66,58,66
49,66,60,66
49,66,59,66
49,66,56,66
49,66,59,66
50,66,57,66
50,66,41,66
50,66,52,66
50,66,49,66
50,66,54,66
50,66,45,66
50,66,48,66
50,66,41,66
50,66,49,66
50,66,36,66
50,66,52,66
50,66,40,66
50,66,57,66
50,66,57,66
50,66,56,66
50,66,68,66
50,66,67,66
50,66,66,66
50,66,67,66
50,66,66,66
50,66,66,66
50,66,67,66
50,66,66,66
50,66,50,66
50,66,49,66
50,66,53,66
50,66,53,66
50,66,58,66
50,66,57,66
50,66,58,66
50,66,58,66
50,66,57,66
50,66,50,66
50,66,47,66
50,66,44,66
50,66,49,66
50,66,49,66
50,66,45,66
50,66,45,66
50,66,33,66
50,66,58,66
50,66,58,66
50,66,48,66
50,66,42,66
50,66,33,66
50,66,43,66
50,66,52,66
50,66,45,66
