with,,maxent,
60,65,65,91
59,65,65,91
42,65,65,91
42,65,65,91
58,65,65,91
57,65,65,91
39,65,65,91
38,65,65,91
38,65,65,91
38,65,65,91
39,65,65,91
42,65,65,91
44,65,65,91
44,65,65,91
43,65,65,91
44,65,66,91
42,65,66,91
41,65,66,91
45,65,66,91
54,65,66,91
54,65,66,91
65,65,66,91
63,65,66,91
63,65,66,91
51,65,66,91
43,65,66,91
43,65,66,91
63,65,66,91
46,65,66,91
61,65,66,91
61,65,66,91
47,65,67,91
54,65,67,91
52,65,67,91
44,65,67,91
56,65,67,91
45,65,67,91
48,65,67,91
49,65,67,91
59,65,67,91
50,65,67,91
44,65,67,91
43,65,68,91
55,65,68,91
59,65,68,91
52,65,68,91
56,65,68,91
57,65,68,91
53,65,68,91
62,65,68,91
54,65,68,91
54,65,68,91
55,65,68,91
56,65,68,91
59,65,68,91
59,65,68,91
55,65,68,91
40,65,68,91
61,65,69,91
54,65,69,91
54,65,69,91
62,65,69,91
56,65,69,91
56,65,69,91
66,65,69,91
66,65,69,91
58,65,69,91
63,65,69,91
46,65,69,91
47,65,69,91
62,65,69,91
47,65,69,91
67,65,69,91
44,65,69,91
47,65,70,91
55,65,70,91
61,65,70,91
39,65,70,91
59,65,70,91
58,65,70,91
57,65,71,91
57,65,71,91
57,65,71,91
57,65,71,91
57,65,71,91
57,65,71,91
57,65,72,91
57,65,72,91
57,65,72,91
41,65,72,91
56,65,72,91
56,65,72,91
55,65,73,91
59,65,73,91
52,65,73,91
52,65,74,91
59,65,74,91
59,65,74,91
53,65,53,90
53,65,53,90
60,65,53,90
61,65,53,90
61,65,53,90
51,65,53,90
51,65,53,90
50,65,53,90
48,65,53,90
25,65,53,90
26,65,53,90
27,65,54,90
28,65,54,90
27,65,54,90
28,65,54,90
27,65,54,90
45,65,54,90
46,65,55,90
52,65,56,90
56,65,57,90
59,65,57,90
52,65,57,90
39,65,58,90
39,65,58,90
57,65,58,90
57,65,58,90
58,65,58,90
49,65,58,90
63,65,59,90
53,65,59,90
53,65,59,90
53,65,59,90
53,65,59,90
53,65,59,90
53,65,59,90
53,65,59,90
51,65,59,90
51,65,59,90
51,65,59,90
51,65,60,90
51,65,60,90
51,65,60,90
51,65,60,90
40,65,60,90
48,65,60,90
53,65,60,90
57,65,60,90
41,65,60,90
41,65,60,90
56,65,60,90
49,65,61,90
51,65,61,90
60,65,61,90
60,65,61,90
51,65,61,90
51,65,61,90
56,65,62,90
57,65,62,90
58,65,62,90
59,65,63,90
60,65,63,90
61,65,63,90
62,65,64,90
63,65,64,90
63,65,64,90
60,65,64,90
51,65,64,90
64,65,64,90
63,65,64,90
63,65,64,90
62,65,64,90
62,65,64,90
62,65,64,90
64,65,64,90
62,65,64,90
58,65,64,90
59,65,64,90
57,65,64,90
57,65,65,90
57,65,65,90
58,65,65,90
59,65,65,90
59,65,65,90
59,65,65,90
58,65,65,90
57,65,65,90
57,65,65,90
55,65,65,90
53,65,65,90
53,65,65,90
57,65,65,90
62,65,65,90
37,65,65,90
56,65,65,90
47,65,66,90
51,65,66,90
54,65,66,90
46,65,66,90
59,65,66,90
59,65,66,90
39,65,66,90
32,65,66,90
32,65,66,90
47,65,66,90
40,65,66,90
50,65,66,90
49,65,66,90
43,65,66,90
55,65,66,90
52,65,66,90
60,65,67,90
61,65,67,90
63,65,67,90
72,65,67,90
72,65,67,90
74,65,67,90
61,65,67,90
74,65,67,90
73,65,67,90
60,65,67,90
59,65,67,90
61,65,67,90
72,65,67,90
72,65,67,90
71,65,67,90
72,65,67,90
65,65,67,90
65,65,67,90
64,65,67,90
37,65,67,90
53,65,67,90
62,65,68,90
60,65,68,90
57,65,68,90
57,65,68,90
55,65,68,90
54,65,68,90
47,65,68,90
48,65,68,90
50,65,68,90
48,65,68,90
50,65,68,90
49,65,68,90
47,65,68,90
57,65,68,90
55,65,68,90
39,65,68,90
56,65,69,90
55,65,69,90
58,65,69,90
53,65,69,90
53,65,69,90
54,65,69,90
54,65,69,90
55,65,69,90
54,65,69,90
55,65,69,90
54,65,69,90
56,65,69,90
57,65,69,90
57,65,69,90
59,65,69,90
59,65,69,90
60,65,70,90
62,65,70,90
60,65,70,90
61,65,70,90
53,65,70,90
61,65,70,90
61,65,71,90
56,65,71,90
56,65,71,90
56,65,71,90
58,65,71,90
58,65,71,90
58,65,72,90
57,65,72,90
57,65,72,90
50,65,73,90
56,65,73,90
52,65,73,90
40,65,53,89
39,65,53,89
38,65,53,89
37,65,53,89
37,65,53,89
58,65,53,89
56,65,53,89
40,65,53,89
42,65,53,89
37,65,53,89
37,65,53,89
46,65,53,89
40,65,53,89
55,65,53,89
52,65,53,89
48,65,53,89
51,65,54,89
54,65,54,89
58,65,54,89
53,65,54,89
56,65,54,89
57,65,54,89
56,65,54,89
52,65,54,89
52,65,54,89
58,65,54,89
59,65,54,89
60,65,55,89
58,65,55,89
57,65,55,89
56,65,56,89
56,65,56,89
57,65,56,89
57,65,57,89
57,65,57,89
58,65,57,89
58,65,57,89
58,65,57,89
57,65,57,89
59,65,57,89
59,65,57,89
66,65,57,89
51,65,57,89
59,65,57,89
60,65,58,89
58,65,58,89
58,65,58,89
59,65,58,89
60,65,58,89
54,65,58,89
56,65,59,89
60,65,59,89
44,65,59,89
54,65,59,89
58,65,59,89
52,65,59,89
38,65,59,89
40,65,59,89
44,65,59,89
46,65,59,89
49,65,59,89
43,65,60,89
58,65,60,89
58,65,60,89
45,65,60,89
27,65,60,89
27,65,60,89
40,65,61,89
45,65,61,89
28,65,61,89
30,65,61,89
29,65,61,89
31,65,61,89
30,65,62,89
28,65,62,89
27,65,62,89
27,65,62,89
29,65,62,89
32,65,62,89
31,65,62,89
49,65,62,89
56,65,62,89
47,65,62,89
59,65,62,89
60,65,63,89
60,65,63,89
54,65,63,89
67,65,63,89
54,65,63,89
70,65,63,89
45,65,64,89
44,65,64,89
44,65,64,89
54,65,64,89
47,65,64,89
56,65,64,89
57,65,64,89
58,65,64,89
59,65,64,89
59,65,64,89
51,65,64,89
67,65,64,89
56,65,64,89
60,65,64,89
59,65,64,89
52,65,64,89
56,65,65,89
56,65,65,89
45,65,65,89
56,65,65,89
48,65,65,89
49,65,65,89
49,65,65,89
71,65,65,89
72,65,65,89
72,65,65,89
73,65,65,89
74,65,66,89
75,65,66,89
75,65,66,89
60,65,66,89
60,65,66,89
73,65,66,89
71,65,66,89
71,65,66,89
59,65,66,89
56,65,66,89
56,65,66,89
59,65,66,89
58,65,66,89
41,65,66,89
67,65,66,89
66,65,66,89
66,65,67,89
61,65,67,89
61,65,67,89
62,65,67,89
64,65,67,89
48,65,67,89
47,65,67,89
48,65,67,89
49,65,67,89
50,65,67,89
50,65,67,89
71,65,67,89
72,65,67,89
71,65,67,89
71,65,67,89
49,65,67,89
50,65,68,89
51,65,68,89
51,65,68,89
50,65,68,89
72,65,68,89
57,65,68,89
56,65,68,89
55,65,68,89
73,65,68,89
72,65,68,89
72,65,68,89
72,65,68,89
72,65,68,89
