Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,686,0,4,80,105,102,143,235,21,0.9323943661971831:1,181,
12,684,0,6,73,104,107,140,238,22,0.9376770538243626:1,182,
18,680,0,10,64,104,109,140,241,22,0.9373219373219374:1,186,
24,675,0,15,55,109,109,135,244,23,0.9396551724137931:1,188,
30,673,0,17,46,111,112,135,245,24,0.9450867052023122:1,188,
36,669,0,21,39,111,116,131,248,24,0.9504373177842566:1,189,
42,669,0,21,33,115,115,132,249,25,0.9504373177842566:1,188,
48,659,0,31,25,117,116,129,248,24,0.9554896142433235:1,187,
54,678,22,34,42,117,119,125,251,24,0.9766763848396501:1,188,
60,673,22,39,35,122,115,125,251,25,0.9794117647058823:1,187,
66,667,22,45,28,124,118,123,250,24,0.9733727810650887:1,185,
72,661,22,51,19,123,123,121,251,24,0.9731343283582089:1,184,
78,656,22,56,16,121,123,117,253,26,0.96996996996997:1,186,
84,651,22,61,15,118,124,112,254,28,0.9667673716012085:1,183,
90,644,22,68,14,112,129,109,253,27,0.9634146341463414:1,181,
96,642,22,70,14,109,128,110,253,28,0.963302752293578:1,180,
102,638,22,74,14,103,131,107,254,29,0.9691358024691358:1,179,
108,632,22,80,14,101,127,106,257,27,0.9627329192546584:1,179,
114,627,22,85,14,97,128,103,259,26,0.9655172413793104:1,180,
120,624,22,88,14,93,127,105,259,26,0.9746835443037974:1,180,
126,676,75,89,53,101,131,103,261,27,0.9481268011527377:1,182,
132,674,75,91,53,97,132,103,263,26,0.9423631123919308:1,182,
138,671,75,94,53,93,134,103,262,26,0.9505813953488372:1,182,
144,668,75,97,52,90,135,100,264,27,0.9475218658892128:1,183,
150,663,75,102,50,83,139,97,265,29,0.95:1,184,
156,657,75,108,49,78,141,96,261,32,0.9611940298507463:1,183,
162,653,75,112,47,72,146,94,261,33,0.960960960960961:1,181,
168,651,75,114,47,66,151,90,262,35,0.9608433734939759:1,180,
174,646,75,119,47,60,154,86,264,35,0.9575757575757575:1,180,
180,643,75,122,46,51,161,81,267,37,0.9603658536585366:1,181,
186,640,75,125,45,47,163,79,269,37,0.9692307692307692:1,183,
192,637,75,128,43,40,169,78,269,38,0.9782608695652174:1,184,
198,719,160,131,86,77,172,75,268,41,0.9972222222222222:1,185,
204,715,161,136,83,70,178,76,264,44,0.9916434540389972:1,182,
210,709,161,142,80,63,180,77,264,45,0.9915730337078652:1,183,
216,699,161,152,78,58,184,75,261,43,0.9971428571428571:1,181,
222,694,161,157,76,54,186,71,264,43,1.0:1,183,
228,690,161,161,74,54,182,70,265,45,1.0116618075801749:1,181,
234,684,161,167,73,53,179,71,264,44,1.011764705882353:1,181,
240,673,161,178,70,53,176,69,260,45,1.0393939393939393:1,180,
246,671,161,180,70,53,175,68,260,45,1.045731707317073:1,180,
252,663,161,188,69,53,172,68,255,46,1.04:1,177,
258,661,161,190,67,53,169,66,259,47,1.0401234567901234:1,178,
264,656,161,195,67,53,168,65,257,46,1.0372670807453417:1,177,
270,690,198,198,39,105,178,65,256,47,1.0353982300884956:1,177,
276,687,199,202,38,106,175,65,256,47,1.0446428571428572:1,179,
282,683,199,206,37,106,173,64,258,45,1.0449101796407185:1,180,
288,680,199,209,37,106,173,62,258,44,1.042042042042042:1,179,
294,672,199,217,35,106,169,63,254,45,1.0425531914893618:1,177,
300,670,199,219,35,106,163,68,252,46,1.0426829268292683:1,174,
306,667,199,222,35,106,156,73,251,46,1.0523076923076924:1,173,
312,665,199,224,33,106,153,74,252,47,1.0461538461538462:1,173,
318,662,199,227,32,106,150,75,251,48,1.0559006211180124:1,172,
324,661,199,228,32,106,145,77,252,49,1.0591900311526479:1,172,
330,653,199,236,30,105,140,79,250,49,1.0599369085173502:1,169,
336,651,199,238,30,104,138,81,248,50,1.053627760252366:1,168,
342,706,257,241,59,94,171,81,251,50,1.0171428571428571:1,170,
348,704,258,244,58,95,168,84,250,49,1.0288184438040346:1,171,
354,701,258,247,56,94,166,83,252,50,1.0377906976744187:1,171,
360,699,258,249,56,94,162,85,251,51,1.0379008746355685:1,169,
366,695,258,253,54,94,158,86,249,54,1.0381231671554252:1,167,
372,690,258,258,52,93,156,87,248,54,1.0474777448071217:1,167,
378,687,258,261,52,93,152,88,248,54,1.0568862275449102:1,168,
384,685,258,263,52,93,147,91,247,55,1.0508982035928143:1,167,
390,676,258,272,50,93,146,89,242,56,1.0672782874617737:1,166,
396,672,258,276,49,93,140,92,242,56,1.0804953560371517:1,165,
