Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,684,0,6,79,115,100,144,222,24,1.1714285714285715:1,186,
12,681,0,9,69,120,101,144,220,27,1.1757188498402555:1,186,
18,680,0,10,59,127,101,142,223,28,1.1794871794871795:1,187,
24,678,0,12,51,130,104,140,223,30,1.1730769230769231:1,186,
30,677,0,13,46,133,103,137,226,32,1.169871794871795:1,189,
36,672,0,18,38,133,106,135,229,31,1.167741935483871:1,190,
42,671,0,19,31,133,108,136,231,32,1.1715210355987056:1,192,
48,669,0,21,25,135,105,138,234,32,1.172077922077922:1,195,
54,678,15,27,35,130,105,141,235,32,1.1592356687898089:1,194,
60,674,15,31,29,126,110,141,234,34,1.167202572347267:1,193,
66,672,15,33,22,127,114,138,237,34,1.167741935483871:1,197,
72,667,15,38,14,126,119,135,237,36,1.1726384364820848:1,198,
78,663,15,42,13,121,122,131,240,36,1.1737704918032787:1,199,
84,658,15,47,13,115,127,125,243,35,1.1788079470198676:1,199,
90,655,15,50,13,106,136,121,245,34,1.176079734219269:1,199,
96,653,15,52,13,105,135,120,245,35,1.1766666666666667:1,197,
102,650,15,55,11,103,135,118,247,36,1.173913043478261:1,197,
108,646,15,59,11,101,135,113,250,36,1.1824324324324325:1,200,
114,644,15,61,11,96,138,112,251,36,1.1830508474576271:1,200,
120,640,15,65,11,93,138,110,252,36,1.1843003412969284:1,200,
126,709,85,66,71,100,141,108,252,37,1.1748466257668713:1,199,
132,705,85,70,70,100,142,98,261,34,1.1826625386996905:1,202,
138,702,85,73,70,94,146,95,262,35,1.1801242236024845:1,200,
144,699,85,76,69,89,148,95,262,36,1.184375:1,200,
150,693,85,82,67,82,153,93,262,36,1.2070063694267517:1,201,
156,689,85,86,67,75,155,94,262,36,1.2154340836012862:1,201,
162,685,85,90,65,63,167,90,264,36,1.2096774193548387:1,200,
168,677,85,98,62,56,170,87,267,35,1.2269736842105263:1,201,
174,671,85,104,59,52,172,84,268,36,1.2292358803986712:1,202,
180,669,85,106,59,45,175,86,267,37,1.2225913621262459:1,200,
186,665,85,110,58,36,180,82,272,37,1.2240802675585285:1,202,
192,657,85,118,57,32,181,81,270,36,1.2346938775510203:1,200,
198,728,161,123,75,86,182,77,269,39,1.206060606060606:1,199,
204,729,163,124,76,81,187,77,269,39,1.21580547112462:1,199,
210,726,163,127,75,77,188,75,272,39,1.2201834862385321:1,201,
216,715,163,138,70,69,194,74,267,41,1.2067901234567902:1,199,
222,714,163,139,70,67,191,73,271,42,1.2037037037037037:1,202,
228,709,163,144,69,67,188,73,270,42,1.2087227414330217:1,201,
234,706,163,147,68,67,187,70,271,43,1.220125786163522:1,201,
240,703,163,150,66,66,185,72,270,44,1.2317460317460318:1,201,
246,698,163,155,66,66,183,69,268,46,1.2371794871794872:1,201,
252,695,163,158,65,66,183,68,268,45,1.2419354838709677:1,201,
258,690,163,163,63,66,179,69,269,44,1.2402597402597402:1,201,
264,689,163,164,63,66,177,68,270,45,1.2370129870129871:1,201,
270,741,219,168,57,117,184,61,278,44,1.2252252252252251:1,206,
276,742,220,168,56,117,186,59,280,44,1.221556886227545:1,207,
282,739,220,171,55,117,185,57,282,43,1.2125748502994012:1,209,
288,732,220,178,53,117,181,58,280,43,1.2181818181818183:1,208,
294,730,220,180,53,116,180,57,282,42,1.225609756097561:1,209,
300,725,220,185,51,115,176,59,282,42,1.2376543209876543:1,208,
306,722,220,188,50,115,173,61,281,42,1.2422360248447204:1,207,
312,720,220,190,50,115,170,63,279,43,1.25:1,206,
318,714,220,196,49,114,167,64,278,42,1.252365930599369:1,205,
324,712,220,198,48,114,165,63,279,43,1.2603174603174603:1,206,
330,707,220,203,47,114,158,69,275,44,1.2515923566878981:1,202,
336,703,220,207,46,114,153,73,274,43,1.2532051282051282:1,200,
342,766,289,213,70,106,200,75,271,44,1.2011494252873562:1,196,
348,766,292,216,72,104,197,81,268,44,1.2138728323699421:1,196,
354,762,292,220,71,103,190,87,267,44,1.2151162790697674:1,196,
360,758,292,224,69,103,182,92,268,44,1.2099125364431487:1,195,
366,753,292,229,67,103,175,95,268,45,1.227810650887574:1,194,
372,750,292,232,66,103,170,97,270,44,1.225519287833828:1,196,
378,747,292,235,65,103,163,102,270,44,1.2166172106824926:1,195,
384,743,292,239,65,103,156,108,267,44,1.2113095238095237:1,193,
390,740,292,242,63,103,156,108,266,44,1.215568862275449:1,193,
396,733,292,249,61,103,154,105,267,43,1.2347560975609757:1,193,
402,732,292,250,61,103,150,105,270,43,1.238532110091743:1,195,
408,726,292,256,58,103,147,107,268,43,1.2407407407407407:1,194,
414,785,358,263,124,102,143,109,265,42,1.1988795518207283:1,192,
420,785,363,268,72,99,200,110,263,41,1.1988795518207283:1,191,
426,780,363,273,70,99,199,110,260,42,1.2159090909090908:1,189,
432,776,363,277,69,99,194,114,256,44,1.210826210826211:1,185,
438,773,363,280,68,99,186,119,257,44,1.2148997134670487:1,184,
444,770,363,283,67,99,180,122,258,44,1.219020172910663:1,185,
450,765,363,288,66,98,171,127,259,44,1.2238372093023255:1,186,
456,763,363,290,65,98,163,133,260,44,1.2244897959183674:1,186,
462,760,363,293,63,98,157,138,258,46,1.2222222222222223:1,184,
468,756,363,297,62,98,153,140,256,47,1.2105263157894737:1,181,
474,751,363,302,62,98,147,145,254,45,1.2153392330383481:1,181,
480,746,363,307,60,98,141,148,253,46,1.2071005917159763:1,180,
486,739,363,314,60,98,135,149,252,45,1.1928783382789319:1,178,
492,794,424,320,61,114,174,151,247,47,1.1994459833795015:1,174,
498,793,424,321,60,114,170,155,247,47,1.1966759002770082:1,174,
504,790,424,324,60,111,164,160,247,48,1.200557103064067:1,174,
510,787,424,327,60,111,159,161,248,48,1.1983240223463687:1,174,
516,783,424,331,60,110,158,160,246,49,1.2056338028169014:1,172,
522,775,424,339,59,109,157,156,246,48,1.2206303724928367:1,173,
528,771,424,343,58,109,157,153,245,49,1.2155172413793103:1,171,
534,768,424,346,58,109,157,150,245,49,1.2260869565217392:1,169,
540,763,424,351,53,109,157,149,246,49,1.2244897959183674:1,169,
546,758,424,356,52,109,156,143,246,52,1.2163742690058479:1,167,
552,752,424,362,52,107,156,134,251,52,1.231454005934718:1,173,
558,748,424,366,51,107,155,130,254,51,1.2328358208955223:1,176,
564,796,477,371,54,105,200,132,254,51,1.2422535211267605:1,177,
570,791,477,376,53,103,200,124,260,51,1.2471590909090908:1,180,
576,790,477,377,53,103,200,120,261,53,1.2507122507122508:1,180,
582,786,477,381,53,103,199,112,264,55,1.2521489971346704:1,180,
588,780,477,387,53,103,199,107,262,56,1.254335260115607:1,178,
594,774,477,393,53,101,199,103,263,55,1.263157894736842:1,178,
600,770,477,397,53,101,199,93,269,55,1.2647058823529411:1,182,
606,767,477,400,53,100,199,91,269,55,1.2692307692307692:1,183,
612,761,477,406,52,100,198,90,266,55,1.278443113772455:1,183,
618,755,477,412,51,99,198,89,264,54,1.2809667673716012:1,182,
624,751,477,416,51,99,197,83,268,53,1.2896341463414633:1,186,
630,748,477,419,49,99,196,81,270,53,1.3015384615384615:1,187,
