Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,749,0,5,66,136,124,156,236,31,1.0863509749303621:1,198,
12,744,0,10,59,135,127,156,235,32,1.0782122905027933:1,197,
18,739,0,15,56,131,127,154,238,33,1.0758426966292134:1,195,
24,738,0,16,51,131,130,150,241,35,1.0730337078651686:1,196,
30,736,0,18,40,137,131,148,244,36,1.07909604519774:1,198,
36,732,0,22,36,135,132,150,241,38,1.0736543909348442:1,196,
42,731,0,23,29,141,131,148,244,38,1.0767045454545454:1,195,
48,728,0,26,24,142,132,147,244,39,1.0859598853868195:1,194,
54,738,14,30,35,139,136,146,242,40,1.1025641025641026:1,192,
60,735,14,33,32,136,139,144,242,42,1.1060171919770774:1,192,
66,732,14,36,28,136,141,142,244,41,1.103448275862069:1,193,
72,729,14,39,17,141,144,135,251,41,1.106936416184971:1,197,
78,726,14,42,13,136,147,136,252,42,1.1043478260869566:1,197,
84,726,14,42,13,131,148,136,255,43,1.1043478260869566:1,198,
90,721,14,47,12,129,145,137,254,44,1.1143695014662756:1,196,
96,715,14,53,12,125,147,134,251,46,1.1343283582089552:1,194,
102,710,14,58,12,116,154,131,252,45,1.132132132132132:1,195,
108,707,14,61,12,106,159,129,257,44,1.1295180722891567:1,195,
114,701,14,67,12,101,160,129,254,45,1.143730886850153:1,195,
120,696,14,72,12,92,164,129,254,45,1.1481481481481481:1,194,
126,766,88,76,75,99,167,128,251,46,1.1396648044692737:1,191,
132,760,88,82,73,91,171,127,249,49,1.1408450704225352:1,187,
138,754,88,88,71,90,168,123,251,51,1.1299435028248588:1,187,
144,749,88,93,68,85,170,120,254,52,1.1218130311614731:1,186,
150,749,88,93,68,74,180,115,258,54,1.1218130311614731:1,185,
156,739,88,103,65,66,185,105,262,56,1.1296829971181557:1,188,
162,737,88,105,64,64,186,104,262,57,1.136231884057971:1,187,
168,732,88,110,62,62,183,102,266,57,1.1403508771929824:1,190,
174,730,88,112,61,52,190,104,265,58,1.1470588235294117:1,188,
180,720,88,122,58,46,192,101,268,55,1.1428571428571428:1,189,
186,715,88,127,55,40,195,101,270,54,1.1536144578313252:1,191,
192,712,88,130,55,36,198,97,274,52,1.151057401812689:1,194,
198,777,158,135,70,86,198,92,279,52,1.1583333333333334:1,195,
204,776,162,140,72,82,200,91,279,52,1.1615598885793872:1,194,
210,775,162,141,72,77,203,90,279,54,1.158774373259053:1,191,
216,769,162,147,71,68,207,90,279,54,1.1601123595505618:1,191,
222,767,162,149,71,63,209,89,279,56,1.1605633802816901:1,189,
228,761,162,155,70,63,207,86,275,60,1.1619318181818181:1,184,
234,757,162,159,68,63,205,84,273,64,1.1566951566951567:1,182,
240,751,162,165,67,62,204,84,271,63,1.1580459770114941:1,181,
246,749,162,167,66,62,204,80,274,63,1.15850144092219:1,184,
252,741,162,175,62,62,202,78,274,63,1.1666666666666667:1,184,
258,738,162,178,62,62,198,80,272,64,1.1705882352941177:1,184,
264,735,162,181,62,62,193,81,273,64,1.1745562130177514:1,185,
270,780,212,186,51,108,198,85,274,64,1.1487603305785123:1,185,
276,778,212,188,47,111,195,85,274,66,1.1551246537396123:1,184,
282,772,212,194,46,109,194,85,272,66,1.1564245810055866:1,181,
288,765,212,201,45,109,193,83,270,65,1.1610169491525424:1,180,
294,763,212,203,45,108,189,84,272,65,1.155367231638418:1,181,
300,758,212,208,43,107,187,83,269,69,1.1534090909090908:1,178,
306,756,212,210,42,107,179,85,274,69,1.1538461538461537:1,180,
312,749,212,217,41,105,175,87,273,68,1.1522988505747127:1,179,
318,744,212,222,41,104,171,89,272,67,1.1627906976744187:1,180,
324,741,212,225,41,103,167,91,270,69,1.1603498542274053:1,176,
330,734,212,232,40,103,164,90,268,69,1.1715976331360947:1,175,
336,731,212,235,39,103,161,89,270,69,1.182089552238806:1,177,
342,790,275,239,64,94,202,91,270,69,1.1763085399449036:1,177,
348,788,277,243,65,91,199,93,272,68,1.1888888888888889:1,180,
354,780,277,251,63,90,193,97,269,68,1.1787709497206704:1,178,
360,777,277,254,63,90,189,98,270,67,1.1887323943661972:1,179,
366,772,277,259,61,90,184,99,271,67,1.1994301994301995:1,181,
372,768,277,263,61,90,180,103,267,67,1.206896551724138:1,180,
378,762,277,269,60,89,174,107,267,65,1.208695652173913:1,179,
384,754,277,277,56,89,174,105,264,66,1.2111436950146628:1,177,
390,749,277,282,53,89,170,105,267,65,1.2225519287833828:1,178,
396,748,277,283,53,89,160,113,268,65,1.2261904761904763:1,178,
402,737,277,294,51,89,155,114,266,62,1.2401215805471124:1,178,
408,734,277,297,50,89,149,119,262,65,1.2515337423312884:1,175,
414,788,335,301,108,89,143,123,260,65,1.264367816091954:1,172,
420,788,340,306,64,85,192,126,255,66,1.2708933717579252:1,170,
