Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,669,0,4,74,102,100,148,221,24,0.9676470588235294:1,175,
12,667,0,6,66,98,110,144,224,25,0.967551622418879:1,178,
18,663,0,10,54,107,109,141,227,25,0.9732142857142857:1,178,
24,660,0,13,48,108,110,138,229,27,0.9701492537313433:1,178,
30,654,0,19,43,109,108,140,226,28,0.963963963963964:1,175,
36,650,0,23,36,109,109,138,230,28,0.9637462235649547:1,178,
42,645,0,28,31,109,109,138,228,30,0.9664634146341463:1,176,
48,641,0,32,23,109,114,138,228,29,0.9542682926829268:1,175,
54,654,17,36,34,112,117,132,229,30,0.9464285714285714:1,175,
60,651,17,39,28,114,117,131,229,32,0.9432835820895522:1,174,
66,648,17,42,27,111,120,128,225,37,0.9401197604790419:1,170,
72,647,17,43,19,112,125,125,229,37,0.9429429429429429:1,174,
78,644,17,46,17,108,127,125,228,39,0.9397590361445783:1,173,
84,643,17,47,16,105,128,120,234,40,0.9425981873111783:1,175,
90,641,17,49,16,102,129,119,234,41,0.9483282674772037:1,175,
96,638,17,52,16,99,128,119,236,40,0.9570552147239264:1,177,
102,635,17,55,15,94,131,113,243,39,0.9598765432098766:1,182,
108,631,17,59,15,91,130,111,244,40,0.971875:1,182,
114,630,17,60,14,85,136,109,244,42,0.96875:1,182,
120,629,17,61,14,81,137,108,244,45,0.965625:1,181,
126,667,58,64,42,91,138,99,253,44,0.961764705882353:1,184,
132,664,58,67,41,87,139,98,255,44,0.9644970414201184:1,185,
138,657,58,74,38,84,140,98,254,43,0.9670658682634731:1,184,
144,654,58,77,38,80,143,91,259,43,0.963963963963964:1,187,
150,652,58,79,38,75,147,87,258,47,0.9697885196374623:1,184,
156,650,58,81,38,68,152,83,261,48,0.9696969696969697:1,186,
162,648,58,83,36,63,155,80,266,48,0.975609756097561:1,189,
168,645,58,86,35,55,159,82,265,49,0.9785276073619632:1,189,
174,643,58,88,35,48,166,78,266,50,0.9784615384615385:1,189,
180,638,58,93,35,43,168,73,269,50,0.9813664596273292:1,190,
186,635,58,96,34,40,166,75,270,50,0.984375:1,189,
192,629,58,102,34,35,166,71,272,51,0.990506329113924:1,190,
198,708,141,106,84,58,169,70,274,53,1.0113636363636365:1,192,
204,706,143,110,85,54,168,74,269,56,1.0171428571428571:1,189,
210,700,143,116,83,52,168,71,270,56,1.023121387283237:1,188,
216,697,143,119,82,49,170,69,270,57,1.0261627906976745:1,188,
222,688,143,128,80,41,176,65,270,56,1.0235294117647058:1,188,
228,685,143,131,80,41,173,67,267,57,1.032640949554896:1,186,
234,683,143,133,80,41,172,66,265,59,1.0267062314540059:1,184,
240,682,143,134,79,41,170,68,265,59,1.0237388724035608:1,184,
246,675,143,141,77,41,168,67,265,57,1.0149253731343284:1,183,
252,663,143,153,73,41,165,67,262,55,1.021341463414634:1,181,
258,659,143,157,73,40,164,65,263,54,1.0276923076923077:1,182,
264,651,143,165,72,40,162,66,258,53,1.02803738317757:1,180,
270,695,191,169,55,95,169,67,257,52,1.0562130177514792:1,180,
276,693,193,173,51,100,167,69,253,53,1.0686567164179104:1,177,
282,686,193,180,49,100,166,67,251,53,1.0787878787878789:1,177,
288,686,193,180,49,100,165,66,253,53,1.0787878787878789:1,177,
294,684,193,182,47,100,161,70,252,54,1.0727272727272728:1,176,
300,679,193,187,46,100,159,66,254,54,1.0701219512195121:1,177,
306,670,193,196,44,100,147,75,252,52,1.0807453416149069:1,176,
312,664,193,202,43,100,143,75,251,52,1.0946372239747635:1,177,
318,654,193,212,42,99,138,77,249,49,1.0961538461538463:1,175,
324,648,193,218,41,99,136,74,248,50,1.0836012861736335:1,173,
330,645,193,221,41,99,133,77,245,50,1.0806451612903225:1,171,
336,643,193,223,40,98,129,79,247,50,1.0741935483870968:1,173,
342,687,243,229,54,104,152,81,247,49,1.1009174311926606:1,173,
348,687,245,231,51,106,151,80,250,49,1.1009174311926606:1,173,
354,681,245,237,50,105,144,83,250,49,1.0825688073394495:1,172,
360,678,245,240,49,105,143,82,248,51,1.0797546012269938:1,171,
366,667,245,251,47,105,132,93,240,50,1.0778816199376946:1,165,
372,665,245,253,47,104,130,94,240,50,1.078125:1,165,
378,660,245,258,47,103,126,96,237,51,1.0820189274447949:1,162,
384,656,245,262,46,102,124,96,236,52,1.0825396825396825:1,160,
390,654,245,264,46,102,121,96,239,50,1.0894568690095847:1,161,
396,651,245,267,46,102,117,99,235,52,1.0865384615384615:1,158,
402,649,245,269,44,102,112,103,236,52,1.0868167202572347:1,159,
408,646,245,272,43,101,108,102,239,53,1.0838709677419356:1,161,
414,716,316,273,113,101,103,105,241,53,1.063400576368876:1,163,
420,718,320,275,75,77,166,101,246,53,1.0632183908045978:1,164,
426,710,320,283,72,76,161,102,245,54,1.0520231213872833:1,161,
432,707,320,286,72,76,158,103,246,52,1.0492753623188407:1,161,
438,701,320,292,71,75,155,104,244,52,1.0557184750733137:1,160,
444,694,320,299,69,75,151,103,242,54,1.0532544378698225:1,157,
450,687,320,306,67,75,145,108,237,55,1.0568862275449102:1,155,
456,684,320,309,66,75,136,116,235,56,1.066465256797583:1,153,
462,678,320,315,65,73,133,115,237,55,1.0483383685800605:1,154,
468,675,320,318,64,73,130,115,237,56,1.0454545454545454:1,154,
474,671,320,322,63,73,126,117,235,57,1.045731707317073:1,153,
480,667,320,326,62,73,123,117,234,58,1.0460122699386503:1,151,
486,663,320,330,60,73,117,120,235,58,1.04:1,152,
492,699,358,332,38,98,148,122,235,58,1.0260869565217392:1,153,
498,695,358,336,37,98,145,123,235,57,1.0262390670553936:1,152,
504,691,358,340,36,97,144,123,234,57,1.0263929618768328:1,151,
510,685,358,346,36,97,137,128,232,55,1.0266272189349113:1,150,
516,679,358,352,35,97,135,125,234,53,1.0208333333333333:1,150,
522,678,358,353,35,97,135,117,238,56,1.0238805970149254:1,153,
528,674,358,357,35,97,135,115,235,57,1.0301204819277108:1,152,
534,669,358,362,35,97,134,110,238,55,1.0272727272727273:1,151,
540,665,358,366,35,96,134,107,236,57,1.0274390243902438:1,148,
546,663,358,368,35,96,134,106,235,57,1.0337423312883436:1,147,
552,660,358,371,34,96,134,101,238,57,1.043343653250774:1,150,
558,657,358,374,32,96,133,98,241,57,1.053125:1,150,
564,697,406,382,49,86,161,103,243,55,1.0439882697947214:1,153,
570,687,406,392,44,85,163,102,241,52,1.0385756676557865:1,151,
576,682,406,397,43,85,163,98,241,52,1.048048048048048:1,149,
582,679,406,400,43,85,163,93,243,52,1.039039039039039:1,150,
588,675,406,404,43,85,160,87,246,54,1.039274924471299:1,151,
594,667,406,412,43,85,159,84,244,52,1.039755351681957:1,148,
600,664,406,415,42,85,159,83,242,53,1.0368098159509203:1,146,
606,660,406,419,42,85,158,81,241,53,1.0245398773006136:1,143,
612,656,406,423,42,85,157,79,242,51,1.0246913580246915:1,143,
618,653,406,426,42,85,157,75,244,50,1.0279503105590062:1,143,
624,648,406,431,40,84,157,69,246,52,1.025:1,145,
630,647,406,432,39,84,157,68,246,53,1.021875:1,144,
636,699,466,440,61,66,184,91,244,53,1.0202312138728324:1,144,
642,694,467,446,60,65,185,90,242,52,1.0292397660818713:1,142,
648,689,467,451,59,65,185,88,239,53,1.0324483775811208:1,141,
654,686,467,454,58,65,185,86,240,52,1.0356083086053411:1,143,
660,683,467,457,57,65,185,84,240,52,1.0388059701492538:1,143,
666,678,467,462,56,64,184,78,245,51,1.0360360360360361:1,146,
672,671,467,469,54,64,183,72,249,49,1.0333333333333334:1,146,
678,667,467,473,54,64,182,65,251,51,1.039755351681957:1,147,
684,665,467,475,53,64,181,61,255,51,1.039877300613497:1,150,
690,659,467,481,52,64,180,58,251,54,1.0402476780185759:1,146,
696,653,467,487,51,63,180,56,249,54,1.0342679127725856:1,145,
702,650,467,490,51,62,180,50,254,53,1.0440251572327044:1,146,
708,676,498,495,32,87,151,99,256,51,1.036144578313253:1,147,
714,674,502,501,35,84,147,103,254,51,1.0486322188449848:1,147,
720,670,502,505,35,84,147,99,253,52,1.0552147239263803:1,147,
726,667,502,508,35,84,147,95,254,52,1.065015479876161:1,149,
732,667,502,508,35,84,147,89,259,53,1.065015479876161:1,150,
738,661,502,514,35,83,147,87,256,53,1.065625:1,147,
744,656,502,519,35,81,146,87,254,53,1.0694006309148265:1,146,
750,650,502,525,33,80,146,87,252,52,1.0634920634920635:1,144,
756,647,502,528,33,80,146,86,250,52,1.0737179487179487:1,144,
762,640,502,535,33,79,145,86,247,50,1.0711974110032363:1,143,
768,635,502,540,33,79,145,85,243,50,1.0684039087947883:1,140,
774,628,502,547,31,78,144,85,239,51,1.0794701986754967:1,139,
780,659,542,556,45,66,177,85,235,51,1.1054313099041533:1,139,
