without,,maxent,
51,65,69,89
51,65,69,89
50,65,69,89
49,65,69,89
61,65,69,89
60,65,69,89
25,65,69,89
57,65,69,89
58,65,69,89
58,65,69,89
59,65,69,89
25,65,69,89
24,65,69,89
25,65,69,89
25,65,70,89
25,65,70,89
33,65,70,89
33,65,70,89
32,65,70,89
61,65,70,89
60,65,70,89
61,65,70,89
61,65,70,89
62,65,70,89
63,65,70,89
64,65,71,89
64,65,71,89
25,65,71,89
25,65,71,89
26,65,71,89
27,65,71,89
26,65,71,89
26,65,71,89
27,65,71,89
28,65,71,89
63,65,71,89
63,65,72,89
29,65,72,89
30,65,72,89
31,65,72,89
64,65,72,89
66,65,72,89
55,65,72,89
62,65,72,89
62,65,72,89
67,65,72,89
32,65,72,89
57,65,73,89
50,65,73,89
51,65,73,89
51,65,73,89
53,65,73,89
53,65,73,89
47,65,74,89
58,65,74,89
48,65,74,89
39,65,74,89
39,65,74,89
50,65,74,89
49,65,75,89
45,65,76,89
45,65,76,89
45,65,76,89
48,65,77,89
38,65,53,88
65,65,53,88
36,65,53,88
33,65,53,88
32,65,53,88
38,65,53,88
41,65,53,88
41,65,53,88
43,65,53,88
42,65,53,88
43,65,53,88
43,65,53,88
43,65,53,88
43,65,53,88
44,65,53,88
39,65,53,88
38,65,54,88
38,65,54,88
37,65,54,88
36,65,54,88
39,65,54,88
39,65,54,88
42,65,55,88
38,65,55,88
40,65,55,88
40,65,55,88
39,65,55,88
38,65,55,88
56,65,56,88
56,65,56,88
39,65,56,88
50,65,57,88
50,65,57,88
47,65,57,88
47,65,57,88
40,65,57,88
25,65,57,88
25,65,57,88
39,65,57,88
39,65,57,88
53,65,57,88
53,65,57,88
49,65,57,88
41,65,57,88
62,65,57,88
68,65,57,88
50,65,57,88
53,65,58,88
54,65,58,88
64,65,58,88
62,65,58,88
46,65,58,88
46,65,58,88
34,65,58,88
41,65,58,88
53,65,58,88
54,65,58,88
55,65,58,88
56,65,59,88
57,65,59,88
58,65,59,88
58,65,59,88
58,65,59,88
58,65,59,88
58,65,59,88
43,65,59,88
50,65,59,88
51,65,59,88
46,65,59,88
46,65,60,88
54,65,60,88
54,65,60,88
51,65,60,88
66,65,60,88
43,65,60,88
43,65,60,88
45,65,60,88
45,65,60,88
62,65,60,88
63,65,60,88
64,65,61,88
65,65,61,88
40,65,61,88
41,65,61,88
41,65,61,88
42,65,61,88
43,65,61,88
44,65,61,88
43,65,61,88
43,65,61,88
44,65,61,88
44,65,61,88
47,65,61,88
73,65,61,88
75,65,61,88
71,65,61,88
71,65,62,88
46,65,62,88
47,65,62,88
48,65,62,88
48,65,62,88
47,65,62,88
49,65,62,88
71,65,62,88
71,65,62,88
48,65,62,88
48,65,62,88
71,65,62,88
72,65,62,88
71,65,62,88
71,65,62,88
49,65,62,88
50,65,63,88
52,65,63,88
53,65,63,88
52,65,63,88
51,65,63,88
51,65,63,88
49,65,63,88
48,65,63,88
48,65,63,88
45,65,63,88
45,65,63,88
52,65,63,88
67,65,63,88
52,65,63,88
50,65,63,88
51,65,63,88
51,65,64,88
72,65,64,88
48,65,64,88
38,65,64,88
64,65,64,88
52,65,64,88
56,65,64,88
67,65,64,88
61,65,64,88
53,65,64,88
52,65,64,88
52,65,64,88
37,65,64,88
46,65,64,88
67,65,64,88
56,65,64,88
56,65,65,88
55,65,65,88
54,65,65,88
53,65,65,88
52,65,65,88
51,65,65,88
50,65,65,88
49,65,65,88
48,65,65,88
47,65,65,88
47,65,65,88
51,65,65,88
45,65,65,88
35,65,65,88
48,65,65,88
48,65,65,88
45,65,66,88
57,65,66,88
48,65,66,88
43,65,66,88
49,65,66,88
51,65,66,88
51,65,66,88
55,65,66,88
47,65,66,88
56,65,66,88
36,65,66,88
36,65,66,88
55,65,66,88
49,65,66,88
37,65,66,88
58,65,66,88
31,65,67,88
30,65,67,88
30,65,67,88
29,65,67,88
28,65,67,88
66,65,67,88
65,65,67,88
66,65,67,88
64,65,67,88
65,65,67,88
63,65,67,88
64,65,67,88
35,65,67,88
31,65,67,88
64,65,67,88
33,65,67,88
32,65,68,88
63,65,68,88
65,65,68,88
64,65,68,88
64,65,68,88
33,65,68,88
34,65,68,88
63,65,68,88
63,65,68,88
34,65,68,88
36,65,68,88
60,65,69,88
60,65,69,88
61,65,69,88
58,65,69,88
60,65,69,88
52,65,69,88
46,65,69,88
46,65,69,88
58,65,69,88
62,65,69,88
43,65,69,88
44,65,69,88
56,65,69,88
39,65,69,88
44,65,69,88
57,65,69,88
53,65,70,88
60,65,70,88
44,65,70,88
44,65,70,88
33,65,70,88
51,65,70,88
47,65,70,88
52,65,70,88
57,65,70,88
55,65,70,88
60,65,70,88
41,65,70,88
57,65,70,88
43,65,70,88
43,65,70,88
42,65,70,88
34,65,70,88
32,65,70,88
30,65,70,88
30,65,70,88
31,65,70,88
31,65,71,88
31,65,71,88
46,65,71,88
47,65,71,88
46,65,71,88
46,65,71,88
30,65,71,88
21,65,71,88
32,65,71,88
33,65,71,88
33,65,71,88
33,65,71,88
30,65,71,88
30,65,71,88
19,65,71,88
20,65,71,88
21,65,72,88
20,65,72,88
19,65,72,88
31,65,72,88
21,65,72,88
20,65,72,88
20,65,72,88
20,65,72,88
20,65,72,88
19,65,72,88
21,65,72,88
22,65,73,88
21,65,73,88
21,65,73,88
23,65,73,88
25,65,73,88
27,65,73,88
27,65,74,88
27,65,74,88
29,65,74,88
29,65,74,88
30,65,74,88
29,65,74,88
28,65,75,88
28,65,75,88
29,65,75,88
29,65,75,88
27,65,75,88
37,65,75,88
52,65,76,88
41,65,76,88
62,65,76,88
55,65,76,88
37,65,76,88
37,65,76,88
37,65,77,88
53,65,48,87
40,65,49,87
62,65,50,87
40,65,51,87
43,65,51,87
54,65,51,87
54,65,51,87
53,65,51,87
54,65,51,87
50,65,52,87
34,65,52,87
33,65,52,87
58,65,52,87
33,65,52,87
54,65,52,87
54,65,54,87
58,65,54,87
38,65,54,87
33,65,54,87
60,65,54,87
54,65,54,87
55,65,55,87
55,65,55,87
56,65,55,87
56,65,55,87
55,65,55,87
56,65,55,87
51,65,56,87
58,65,56,87
56,65,56,87
56,65,56,87
57,65,56,87
58,65,56,87
59,65,57,87
59,65,57,87
44,65,57,87
45,65,57,87
38,65,57,87
39,65,57,87
40,65,57,87
41,65,57,87
42,65,57,87
42,65,57,87
49,65,57,87
51,65,57,87
33,65,57,87
60,65,57,87
60,65,57,87
62,65,57,87
56,65,58,87
58,65,58,87
59,65,58,87
53,65,58,87
55,65,58,87
56,65,58,87
56,65,58,87
55,65,58,87
53,65,58,87
52,65,58,87
51,65,58,87
50,65,58,87
49,65,58,87
48,65,58,87
47,65,58,87
46,65,58,87
45,65,59,87
45,65,59,87
35,65,59,87
38,65,59,87
38,65,59,87
52,65,59,87
51,65,60,87
50,65,60,87
49,65,60,87
48,65,60,87
47,65,60,87
46,65,60,87
45,65,60,87
45,65,60,87
47,65,60,87
45,65,60,87
51,65,60,87
48,65,61,87
48,65,61,87
40,65,61,87
51,65,61,87
32,65,61,87
40,65,61,87
41,65,61,87
41,65,61,87
32,65,61,87
28,65,61,87
51,65,61,87
55,65,61,87
56,65,61,87
56,65,61,87
58,65,61,87
60,65,61,87
38,65,62,87
45,65,62,87
45,65,62,87
37,65,62,87
38,65,62,87
35,66,62,87
39,66,62,87
39,66,62,87
34,66,62,87
35,66,62,87
38,66,62,87
37,66,62,87
36,66,62,87
33,66,62,87
33,66,62,87
34,66,62,87
34,66,63,87
35,66,63,87
34,66,63,87
32,66,63,87
32,66,63,87
37,66,63,87
37,66,63,87
32,66,63,87
33,66,63,87
36,66,63,87
35,66,63,87
36,66,63,87
36,66,63,87
37,66,63,87
27,66,63,87
28,66,63,87
37,66,64,87
35,66,64,87
34,66,64,87
34,66,64,87
30,66,64,87
30,66,64,87
18,66,64,87
30,66,64,87
36,66,64,87
39,66,64,87
41,66,64,87
56,66,64,87
60,66,64,87
61,66,64,87
46,66,64,87
46,66,64,87
51,66,65,87
59,66,65,87
48,66,65,87
56,66,65,87
50,66,65,87
53,66,65,87
56,66,65,87
53,66,65,87
52,66,65,87
48,66,65,87
52,66,65,87
54,66,65,87
53,66,65,87
50,66,65,87
53,66,65,87
48,66,65,87
39,66,66,87
54,66,66,87
24,66,66,87
24,66,66,87
25,66,66,87
26,66,66,87
26,66,66,87
38,66,66,87
39,66,66,87
40,66,66,87
40,66,66,87
26,66,66,87
27,66,66,87
25,66,66,87
24,66,66,87
25,66,66,87
25,66,67,87
46,66,67,87
64,66,67,87
60,66,67,87
58,66,67,87
54,66,67,87
62,66,67,87
62,66,67,87
56,66,67,87
36,66,67,87
49,66,67,87
53,66,67,87
53,66,67,87
44,66,67,87
59,66,67,87
61,66,67,87
55,66,68,87
58,66,68,87
43,66,68,87
49,66,68,87
63,66,68,87
64,66,68,87
64,66,68,87
55,66,68,87
53,66,68,87
63,66,68,87
62,66,68,87
61,66,68,87
51,66,68,87
51,66,68,87
66,66,68,87
65,66,68,87
65,66,69,87
50,66,69,87
67,66,69,87
68,66,69,87
69,66,69,87
70,66,69,87
69,66,69,87
68,66,69,87
66,66,69,87
66,66,69,87
67,66,69,87
69,66,69,87
70,66,69,87
70,66,69,87
53,66,69,87
52,66,69,87
54,66,70,87
54,66,70,87
54,66,70,87
53,66,70,87
53,66,70,87
71,66,70,87
70,66,70,87
55,66,70,87
69,66,70,87
70,66,70,87
71,66,70,87
72,66,70,87
72,66,70,87
72,66,70,87
70,66,70,87
69,66,70,87
69,66,71,87
58,66,71,87
58,66,71,87
70,66,71,87
71,66,71,87
70,66,71,87
71,66,71,87
71,66,71,87
53,66,71,87
52,66,71,87
52,66,71,87
71,66,71,87
57,66,71,87
51,66,71,87
52,66,71,87
57,66,71,87
58,66,71,87
57,66,71,87
58,66,71,87
48,66,71,87
48,66,71,87
52,66,72,87
53,66,72,87
53,66,72,87
47,66,72,87
44,66,72,87
45,66,72,87
47,66,72,87
48,66,72,87
48,66,72,87
60,66,72,87
61,66,72,87
50,66,72,87
51,66,72,87
71,66,72,87
72,66,72,87
46,66,72,87
52,66,73,87
53,66,73,87
45,66,73,87
46,66,73,87
47,66,73,87
70,66,73,87
70,66,73,87
71,66,73,87
45,66,73,87
45,66,73,87
47,66,73,87
68,66,74,87
68,66,74,87
64,66,74,87
63,66,75,87
68,66,76,87
67,66,48,86
46,66,49,86
55,66,49,86
58,66,49,86
59,66,50,86
56,66,51,86
62,66,51,86
62,66,51,86
62,66,52,86
49,66,52,86
49,66,52,86
57,66,53,86
49,66,53,86
45,66,53,86
45,66,53,86
47,66,53,86
49,66,53,86
54,66,54,86
51,66,54,86
51,66,54,86
49,66,54,86
38,66,54,86
54,66,54,86
25,66,54,86
25,66,54,86
56,66,54,86
56,66,54,86
57,66,54,86
58,66,55,86
59,66,55,86
60,66,55,86
60,66,56,86
61,66,56,86
61,66,56,86
56,66,56,86
54,66,56,86
54,66,56,86
43,66,56,86
48,66,56,86
48,66,56,86
54,66,56,86
50,66,56,86
44,66,57,86
63,66,57,86
62,66,57,86
55,66,57,86
55,66,57,86
59,66,57,86
49,66,57,86
40,66,57,86
40,66,57,86
62,66,57,86
61,66,57,86
60,66,57,86
60,66,57,86
51,66,57,86
41,66,57,86
41,66,57,86
34,66,58,86
34,66,58,86
53,66,58,86
53,66,58,86
35,66,58,86
36,66,58,86
37,66,58,86
38,66,58,86
39,66,58,86
40,66,58,86
41,66,58,86
42,66,58,86
43,66,58,86
44,66,58,86
44,66,58,86
52,66,58,86
52,66,59,86
36,66,59,86
36,66,59,86
35,66,59,86
45,66,59,86
46,66,59,86
37,66,59,86
36,66,59,86
37,66,59,86
45,66,59,86
47,66,59,86
46,66,59,86
43,66,59,86
43,66,59,86
44,66,59,86
37,66,59,86
37,66,60,86
46,66,60,86
48,66,60,86
47,66,60,86
47,66,60,86
46,66,60,86
46,66,60,86
35,66,60,86
33,66,60,86
45,66,60,86
47,66,60,86
32,66,61,86
33,66,61,86
33,66,61,86
44,66,61,86
44,66,61,86
47,66,61,86
49,66,62,86
48,66,62,86
47,66,62,86
47,66,62,86
34,66,62,86
48,66,62,86
48,66,62,86
49,66,62,86
50,66,62,86
48,66,62,86
47,66,62,86
49,66,62,86
49,66,62,86
51,66,62,86
49,66,62,86
49,66,62,86
48,66,63,86
49,66,63,86
50,66,63,86
51,66,63,86
51,66,63,86
53,66,63,86
54,66,63,86
50,66,63,86
53,66,63,86
54,66,63,86
54,66,63,86
51,66,63,86
52,66,63,86
52,66,63,86
43,66,63,86
43,66,63,86
56,66,64,86
64,66,64,86
57,66,64,86
57,66,64,86
62,66,64,86
54,66,64,86
42,66,64,86
48,66,64,86
50,66,64,86
50,66,64,86
31,66,64,86
49,66,64,86
48,66,64,86
39,66,64,86
48,66,64,86
48,66,64,86
52,66,65,86
35,66,65,86
58,66,65,86
24,66,65,86
26,66,65,86
25,66,65,86
26,66,65,86
27,66,65,86
26,66,65,86
52,66,65,86
64,66,65,86
55,66,65,86
30,66,65,86
37,66,65,86
57,66,65,86
57,66,65,86
53,66,66,86
56,66,66,86
58,66,66,86
51,66,66,86
47,66,66,86
47,66,66,86
53,66,66,86
42,66,66,86
36,66,66,86
64,66,66,86
57,66,66,86
58,66,66,86
55,66,66,86
38,66,66,86
35,66,66,86
35,66,66,86
65,66,67,86
38,66,67,86
55,66,67,86
62,66,67,86
45,66,67,86
45,66,67,86
44,66,67,86
46,66,67,86
46,66,67,86
51,66,67,86
55,66,67,86
58,66,67,86
45,66,67,86
56,66,67,86
67,66,67,86
58,66,67,86
60,66,68,86
59,66,68,86
56,66,68,86
59,66,68,86
57,66,68,86
41,66,68,86
52,66,68,86
49,66,68,86
54,66,68,86
45,66,68,86
48,66,68,86
41,66,68,86
49,66,68,86
36,66,68,86
52,66,68,86
40,66,68,86
57,66,69,86
57,66,69,86
56,66,69,86
68,66,69,86
67,66,69,86
66,66,69,86
67,66,69,86
66,66,69,86
66,66,69,86
67,66,69,86
66,66,69,86
50,66,69,86
49,66,69,86
53,66,69,86
53,66,69,86
58,66,69,86
57,66,70,86
58,66,70,86
58,66,70,86
57,66,70,86
50,66,70,86
47,66,70,86
44,66,70,86
49,66,70,86
49,66,70,86
45,66,70,86
45,66,70,86
33,66,70,86
58,66,70,86
58,66,70,86
48,66,70,86
42,66,70,86
