Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
6,232,145,2.4680851063829787,1.5425531914893618,8.960000000000003,3.3272340425531914,
12,225,152,2.393617021276596,1.6170212765957446,8.662872340425533,3.4676595744680854,
18,219,158,2.3297872340425534,1.6808510638297873,8.445851063829787,3.5963829787234047,
24,217,160,2.3085106382978724,1.702127659574468,8.350106382978723,3.6517021276595742,
30,216,161,2.297872340425532,1.7127659574468086,8.323510638297872,3.6889361702127657,
36,215,162,2.2872340425531914,1.7234042553191489,8.27031914893617,3.699574468085107,
42,212,165,2.25531914893617,1.7553191489361701,8.186276595744681,3.7410638297872345,
48,208,169,2.2127659574468086,1.797872340425532,7.840531914893617,3.89531914893617,
54,203,174,2.1595744680851063,1.851063829787234,7.540531914893617,4.020425531914893,
60,201,176,2.1382978723404253,1.872340425531915,7.468191489361703,4.041702127659574,
66,199,178,2.117021276595745,1.8936170212765957,7.3564893617021285,4.098085106382978,
72,197,180,2.095744680851064,1.9148936170212767,7.248297872340427,4.1345744680851055,
78,191,186,2.0319148936170213,1.9787234042553192,7.055744680851064,4.209042553191488,
84,190,187,2.021276595744681,1.9893617021276595,6.800425531914895,4.230319148936169,
90,189,188,2.0106382978723403,2.0,6.734787234042554,4.242234042553191,
96,184,193,1.9574468085106382,2.0531914893617023,6.581595744680852,4.26563829787234,
102,181,196,1.925531914893617,2.0851063829787235,6.481595744680851,4.340106382978723,
108,181,196,1.925531914893617,2.0851063829787235,6.481595744680851,4.340106382978723,
114,181,196,1.925531914893617,2.0851063829787235,6.481595744680851,4.340106382978723,
120,179,198,1.9042553191489362,2.106382978723404,6.445425531914894,4.345425531914893,
126,176,201,1.872340425531915,2.1382978723404253,6.316702127659574,4.3613829787234035,
132,172,205,1.8297872340425532,2.1808510638297873,6.142234042553191,4.484787234042553,
138,173,204,1.8404255319148937,2.1702127659574466,6.183723404255319,4.483723404255319,
144,167,210,1.7765957446808511,2.234042553191489,5.851808510638297,4.646489361702128,
150,168,209,1.7872340425531914,2.223404255319149,5.899680851063829,4.556063829787234,
156,168,209,1.7872340425531914,2.223404255319149,5.979574468085105,4.545425531914893,
162,167,210,1.7765957446808511,2.234042553191489,5.952978723404255,4.556063829787234,
168,160,217,1.702127659574468,2.3085106382978724,5.710425531914894,4.69968085106383,
174,159,218,1.6914893617021276,2.3191489361702127,5.687021276595746,4.703936170212765,
180,158,219,1.6808510638297873,2.3297872340425534,5.6205319148936175,4.74063829787234,
186,157,220,1.6702127659574468,2.3404255319148937,5.621595744680851,4.662553191489361,
192,157,220,1.6702127659574468,2.3404255319148937,5.58968085106383,4.660851063829787,
198,158,219,1.6808510638297873,2.3297872340425534,5.6322340425531925,4.650212765957447,
204,157,220,1.6702127659574468,2.3404255319148937,5.58968085106383,4.703404255319148,
210,157,220,1.6702127659574468,2.3404255319148937,5.599255319148937,4.649148936170212,
216,156,221,1.6595744680851063,2.351063829787234,5.5779787234042555,4.691702127659574,
222,151,226,1.6063829787234043,2.404255319148936,5.454574468085105,4.731063829787234,
228,150,227,1.5957446808510638,2.4148936170212765,5.3652127659574465,4.768297872340426,
234,149,228,1.5851063829787233,2.425531914893617,5.296063829787233,4.7842553191489365,
240,147,230,1.5638297872340425,2.4468085106382977,5.240744680851063,4.805531914893617,
246,145,232,1.5425531914893618,2.4680851063829787,5.178191489361701,4.7855319148936175,
252,143,234,1.5212765957446808,2.4893617021276597,5.100425531914893,4.801808510638298,
258,140,237,1.4893617021276595,2.521276595744681,5.041914893617021,4.765638297872341,
264,140,237,1.4893617021276595,2.521276595744681,4.986595744680851,4.83340425531915,
270,140,237,1.4893617021276595,2.521276595744681,4.988723404255318,4.846170212765958,
276,140,237,1.4893617021276595,2.521276595744681,4.988723404255318,4.846170212765958,
282,136,241,1.446808510638298,2.5638297872340425,4.85159574468085,4.889787234042553,
288,136,241,1.446808510638298,2.5638297872340425,4.836702127659574,4.874893617021276,
294,138,239,1.4680851063829787,2.5425531914893615,4.887765957446808,4.819574468085106,
300,135,242,1.4361702127659575,2.574468085106383,4.784574468085106,4.850425531914894,
306,131,246,1.3936170212765957,2.617021276595745,4.633723404255319,4.903829787234043,
312,130,247,1.3829787234042554,2.627659574468085,4.583404255319149,4.944255319148938,
318,129,248,1.372340425531915,2.6382978723404253,4.535531914893617,4.949574468085108,
324,127,250,1.351063829787234,2.6595744680851063,4.461063829787234,5.007021276595745,
