Steps,Total Monkeys,Births,Deaths,Age 0-1,Age 1-3,Age 3-7,Age 7-10,Age 10-25,Age 25+,F:M Ratio,Rep. Female
6,658,0,4,59,98,109,131,230,31,0.9819277108433735:1,179,
12,651,0,11,56,96,112,127,229,31,0.9787234042553191:1,178,
18,650,0,12,53,96,113,127,229,32,0.9756838905775076:1,177,
24,649,0,13,45,103,111,128,228,34,0.9786585365853658:1,176,
30,647,0,15,39,105,112,125,232,34,0.9846625766871165:1,179,
36,643,0,19,31,107,117,116,236,36,0.9845679012345679:1,178,
42,640,0,22,26,110,115,118,235,36,0.9875776397515528:1,177,
48,636,0,26,14,118,113,116,239,36,1.0:1,179,
54,649,16,29,24,119,115,116,236,39,0.99079754601227:1,177,
60,648,16,30,22,113,120,117,236,40,0.9938461538461538:1,177,
66,645,16,33,20,112,121,114,239,39,0.9969040247678018:1,179,
72,641,16,37,16,110,123,113,240,39,0.9968847352024922:1,179,
78,639,16,39,15,109,123,109,242,41,1.0031347962382444:1,181,
84,630,16,48,14,102,126,105,244,39,1.012779552715655:1,184,
90,626,16,52,14,97,130,102,243,40,1.0128617363344052:1,183,
96,625,16,53,13,92,130,106,243,41,1.0161290322580645:1,184,
102,622,16,56,12,88,134,103,241,44,1.0129449838187703:1,181,
108,618,16,60,12,85,137,99,240,45,1.013029315960912:1,179,
114,618,16,60,12,82,137,99,243,45,1.013029315960912:1,180,
120,615,16,63,12,77,141,95,246,44,1.0163934426229508:1,181,
126,658,63,67,46,84,145,92,247,44,1.0246153846153847:1,181,
132,652,63,73,46,75,153,92,243,43,1.0248447204968945:1,178,
138,647,63,78,44,68,159,88,244,44,1.0155763239875388:1,177,
144,642,63,83,43,65,159,86,243,46,1.0125391849529781:1,175,
150,637,63,88,40,60,158,84,248,47,1.0158227848101267:1,175,
156,629,63,96,37,55,160,85,245,47,1.0290322580645161:1,174,
162,627,63,98,37,55,156,84,248,47,1.0357142857142858:1,176,
168,624,63,101,36,47,160,85,248,48,1.0392156862745099:1,177,
174,620,63,105,36,42,164,80,248,50,1.046204620462046:1,176,
180,614,63,111,34,35,170,77,247,51,1.0673400673400673:1,176,
186,607,63,118,31,32,172,70,246,56,1.064625850340136:1,171,
192,607,63,118,31,25,175,71,248,57,1.064625850340136:1,171,
198,689,152,125,89,47,180,66,251,56,1.0690690690690692:1,176,
204,687,155,130,91,45,177,67,250,57,1.069277108433735:1,174,
210,683,155,134,90,43,176,63,254,57,1.0823170731707317:1,178,
216,678,155,139,88,40,176,63,254,57,1.0797546012269938:1,176,
222,676,155,141,88,39,175,62,252,60,1.08:1,175,
228,673,155,144,86,39,172,63,253,60,1.08359133126935:1,176,
234,670,155,147,86,39,168,65,253,59,1.0807453416149069:1,177,
240,668,155,149,86,39,163,67,254,59,1.0809968847352025:1,178,
246,663,155,154,83,39,160,67,255,59,1.0849056603773586:1,179,
252,659,155,158,83,39,155,71,252,59,1.0788643533123028:1,176,
258,655,155,162,81,39,151,74,250,60,1.085987261146497:1,175,
264,646,155,171,79,39,144,76,250,58,1.1042345276872965:1,177,
270,676,193,179,42,104,149,78,245,58,1.1125:1,172,
276,672,193,183,37,109,145,79,244,58,1.1132075471698113:1,170,
282,669,193,186,37,109,141,80,244,58,1.110410094637224:1,168,
288,667,193,188,37,109,140,80,244,57,1.110759493670886:1,168,
294,661,193,194,35,109,139,78,244,56,1.0984126984126985:1,169,
300,660,193,195,34,109,136,78,245,58,1.1019108280254777:1,167,
306,658,193,197,34,108,133,81,244,58,1.1022364217252396:1,167,
312,655,193,200,34,108,129,80,245,59,1.0993589743589745:1,166,
318,654,193,201,34,108,128,80,245,59,1.0961538461538463:1,165,
324,650,193,205,34,107,125,82,239,63,1.096774193548387:1,162,
330,647,193,208,33,107,123,82,240,62,1.0938511326860842:1,163,
336,643,193,212,32,107,122,81,240,61,1.0944625407166124:1,163,
342,681,233,214,41,111,147,83,238,61,1.0889570552147239:1,163,
348,679,234,217,40,110,142,88,237,62,1.0892307692307692:1,162,
354,675,234,221,40,110,135,94,232,64,1.089783281733746:1,158,
360,667,234,229,37,110,133,96,225,66,1.084375:1,152,
366,661,234,235,36,109,129,92,228,67,1.0984126984126985:1,155,
372,658,234,238,36,108,124,95,228,67,1.0955414012738853:1,155,
378,654,234,242,36,107,121,93,231,66,1.1028938906752412:1,156,
384,648,234,248,36,107,116,96,228,65,1.1107491856677525:1,156,
390,644,234,252,36,107,114,96,227,64,1.1114754098360655:1,153,
396,642,234,254,36,107,110,100,224,65,1.1049180327868853:1,150,
402,639,234,257,36,107,106,103,221,66,1.1158940397350994:1,149,
408,636,234,260,34,107,103,103,224,65,1.1059602649006623:1,150,
414,696,301,267,98,107,100,103,226,62,1.09009009009009:1,151,
420,699,309,272,74,63,170,105,225,62,1.0990990990990992:1,151,
426,696,309,275,74,63,161,109,226,63,1.1090909090909091:1,152,
432,689,309,282,70,63,156,111,226,63,1.1134969325153374:1,152,
438,687,309,284,68,63,155,110,228,63,1.1203703703703705:1,153,
444,683,309,288,68,63,151,109,230,62,1.1277258566978192:1,153,
450,679,309,292,68,63,147,112,227,62,1.128526645768025:1,152,
456,674,309,297,64,63,146,108,229,64,1.1261829652996846:1,151,
462,670,309,301,63,63,140,111,230,63,1.120253164556962:1,151,
468,669,309,302,63,63,137,111,232,63,1.1238095238095238:1,153,
474,666,309,305,62,63,130,111,235,65,1.1277955271565496:1,154,
480,664,309,307,60,63,126,112,237,66,1.121405750798722:1,154,
486,657,309,314,59,63,118,115,234,68,1.1193548387096774:1,152,
492,693,348,317,39,90,146,116,234,68,1.1:1,151,
498,688,348,322,38,90,144,114,236,66,1.0975609756097562:1,151,
504,687,348,323,38,90,142,113,238,66,1.1009174311926606:1,153,
510,685,348,325,37,90,140,115,238,65,1.1012269938650308:1,153,
516,681,348,329,35,90,139,116,233,68,1.0953846153846154:1,149,
522,678,348,332,34,90,139,112,236,67,1.0861538461538462:1,152,
528,677,348,333,34,90,139,110,236,68,1.0895061728395061:1,151,
534,672,348,338,34,89,139,109,235,66,1.0869565217391304:1,150,
540,672,348,338,34,89,139,109,235,66,1.0869565217391304:1,150,
546,671,348,339,34,89,139,105,237,67,1.0838509316770186:1,151,
552,666,348,344,34,89,138,104,236,65,1.08125:1,151,
558,658,348,352,33,89,137,102,235,62,1.0955414012738853:1,152,
564,696,390,356,42,92,156,108,235,63,1.0714285714285714:1,151,
570,695,390,357,42,91,157,102,239,64,1.0746268656716418:1,156,
576,690,390,362,40,91,157,98,239,65,1.0845921450151057:1,155,
582,685,390,367,39,91,156,96,237,66,1.082066869300912:1,153,
588,684,390,368,38,91,156,95,238,66,1.0790273556231003:1,153,
594,680,390,372,38,91,155,91,240,65,1.0858895705521472:1,152,
600,678,390,374,38,91,154,86,243,66,1.0797546012269938:1,151,
606,671,390,381,37,91,153,82,244,64,1.0773993808049536:1,151,
612,665,390,387,37,91,152,79,245,61,1.078125:1,153,
618,662,390,390,37,91,152,77,245,60,1.0817610062893082:1,152,
624,658,390,394,37,91,150,73,247,60,1.0955414012738853:1,153,
630,655,390,397,37,91,150,69,250,58,1.0926517571884984:1,153,
636,708,446,400,57,72,177,94,251,57,1.064139941690962:1,153,
642,703,448,407,56,69,178,88,256,56,1.06158357771261:1,158,
648,700,448,410,55,69,178,83,259,56,1.0710059171597632:1,161,
654,696,448,414,54,69,177,80,259,57,1.0652818991097923:1,162,
660,691,448,419,52,69,177,77,259,57,1.056547619047619:1,161,
666,685,448,425,52,69,177,71,259,57,1.057057057057057:1,161,
672,682,448,428,51,69,176,71,258,57,1.0542168674698795:1,160,
678,677,448,433,50,68,176,67,258,58,1.0515151515151515:1,158,
684,671,448,439,50,68,175,64,257,57,1.0519877675840978:1,158,
690,663,448,447,47,67,175,59,259,56,1.0462962962962963:1,158,
696,660,448,450,46,67,175,55,262,55,1.043343653250774:1,159,
702,655,448,455,45,67,175,50,265,53,1.046875:1,162,
708,695,495,462,51,77,151,99,265,52,1.0321637426900585:1,161,
714,692,496,466,48,80,143,102,266,53,1.035294117647059:1,160,
720,687,496,471,47,80,142,100,266,52,1.032544378698225:1,161,
726,682,496,476,46,80,142,98,265,51,1.035820895522388:1,159,
732,675,496,483,46,78,141,97,264,49,1.039274924471299:1,160,
738,672,496,486,46,78,141,97,262,48,1.0425531914893618:1,160,
744,666,496,492,45,78,141,97,258,47,1.0429447852760736:1,158,
750,660,496,498,42,77,141,97,257,46,1.043343653250774:1,157,
756,655,496,503,41,77,140,96,255,46,1.0532915360501567:1,156,
762,652,496,506,40,77,140,96,254,45,1.0567823343848581:1,155,
768,644,496,514,38,77,138,96,250,45,1.064102564102564:1,154,
774,642,496,516,38,77,137,95,249,46,1.0576923076923077:1,153,
780,688,545,519,49,85,166,95,248,45,1.0537313432835822:1,153,
786,686,548,524,51,81,143,114,252,45,1.0662650602409638:1,153,
792,679,548,531,49,81,143,114,248,44,1.0764525993883791:1,151,
798,673,548,537,49,81,143,113,245,42,1.08359133126935:1,151,
804,667,548,543,48,81,141,112,244,41,1.084375:1,150,
810,660,548,550,48,80,141,111,240,40,1.0886075949367089:1,150,
816,657,548,553,47,80,141,111,240,38,1.0791139240506329:1,150,
822,653,548,557,47,80,140,110,238,38,1.0862619808306708:1,149,
828,650,548,560,47,80,139,110,237,37,1.0833333333333333:1,149,
834,644,548,566,44,80,139,109,235,37,1.0841423948220066:1,147,
840,638,548,572,42,80,139,109,233,35,1.0918032786885246:1,146,
846,636,548,574,42,80,139,109,232,34,1.099009900990099:1,145,
852,685,598,575,92,80,139,109,230,35,1.0632530120481927:1,144,
858,682,603,583,52,80,154,109,253,34,1.079268292682927:1,159,
864,680,603,585,51,80,154,109,252,34,1.0731707317073171:1,158,
870,678,603,587,51,80,154,109,251,33,1.0797546012269938:1,158,
876,672,603,593,49,80,153,109,247,34,1.0869565217391304:1,156,
882,668,603,597,49,80,153,108,244,34,1.0875:1,154,
888,666,603,599,49,80,153,107,244,33,1.0877742946708464:1,154,
894,661,603,604,49,80,152,107,241,32,1.0917721518987342:1,153,
900,656,603,609,49,80,150,107,237,33,1.089171974522293:1,150,
906,648,603,617,46,80,150,106,234,32,1.0903225806451613:1,150,
912,646,603,619,46,80,150,106,229,35,1.0974025974025974:1,147,
918,640,603,625,45,78,150,106,226,35,1.105263157894737:1,146,
924,638,603,627,45,77,150,106,224,36,1.1056105610561056:1,144,
930,677,647,632,43,85,137,104,272,36,1.169871794871795:1,167,
936,668,647,641,40,83,136,103,272,34,1.1830065359477124:1,169,
942,665,647,644,40,83,136,103,270,33,1.180327868852459:1,167,
948,658,647,651,39,81,136,102,268,32,1.1788079470198676:1,166,
954,655,647,654,38,81,136,102,266,32,1.176079734219269:1,164,
960,649,647,660,37,80,135,101,263,33,1.1705685618729098:1,162,
966,643,647,666,34,80,135,99,262,33,1.157718120805369:1,161,
972,642,647,667,34,80,135,99,261,33,1.1616161616161615:1,160,
978,638,647,671,33,80,135,99,259,32,1.1554054054054055:1,159,
984,636,647,673,32,80,135,99,258,32,1.1559322033898305:1,159,
990,633,647,676,32,80,135,99,255,32,1.167808219178082:1,159,
996,630,647,679,31,79,134,99,255,32,1.1649484536082475:1,159,
1002,673,697,686,50,72,143,101,275,32,1.1779935275080906:1,170,
1008,669,697,690,50,72,143,100,272,32,1.1791530944625408:1,169,
1014,664,697,695,49,72,143,100,268,32,1.1842105263157894:1,167,
1020,659,697,700,46,72,143,99,267,32,1.1966666666666668:1,167,
1026,650,697,709,45,72,141,99,262,31,1.2108843537414966:1,167,
1032,644,697,715,44,71,141,99,258,31,1.2130584192439862:1,165,
1038,638,697,721,43,71,139,99,255,31,1.2229965156794425:1,164,
1044,630,697,729,42,71,137,98,250,32,1.2340425531914894:1,161,
1050,624,697,735,42,69,137,97,248,31,1.2365591397849462:1,159,
1056,618,697,741,40,69,135,97,245,32,1.2310469314079422:1,156,
1062,614,697,745,39,68,135,97,243,32,1.2327272727272727:1,155,
1068,611,697,748,39,68,135,96,241,32,1.22992700729927:1,154,
1074,654,746,754,50,68,147,95,261,33,1.2551724137931035:1,162,
1080,651,746,757,48,69,144,97,259,34,1.2682926829268293:1,161,
1086,650,746,758,48,69,144,97,257,35,1.264808362369338:1,159,
1092,647,746,761,47,69,144,97,256,34,1.2701754385964912:1,159,
1098,645,746,763,47,69,143,97,254,35,1.263157894736842:1,157,
1104,645,746,763,47,69,143,97,251,38,1.263157894736842:1,154,
1110,637,746,771,44,69,143,97,247,37,1.2669039145907472:1,152,
1116,634,746,774,43,69,143,96,246,37,1.2724014336917562:1,152,
1122,630,746,778,43,69,143,96,242,37,1.2661870503597121:1,149,
1128,626,746,782,42,69,143,96,237,39,1.2681159420289856:1,147,
1134,625,746,783,42,69,143,96,235,40,1.2644927536231885:1,146,
1140,617,746,791,37,69,141,96,233,41,1.2518248175182483:1,144,
1146,660,792,794,47,75,139,87,273,39,1.2525597269624573:1,162,
1152,657,793,798,44,76,132,88,277,40,1.25:1,166,
1158,653,793,802,42,76,132,88,274,41,1.259515570934256:1,165,
1164,650,793,805,42,76,132,88,271,41,1.2727272727272727:1,165,
1170,644,793,811,39,76,132,88,266,43,1.2756183745583038:1,161,
1176,642,793,813,38,76,132,88,260,48,1.2765957446808511:1,156,
1182,641,793,814,38,76,132,88,257,50,1.2811387900355873:1,154,
1188,639,793,816,38,76,132,88,256,49,1.2821428571428573:1,154,
1194,632,793,823,36,76,130,88,255,47,1.2815884476534296:1,154,
1200,630,793,825,36,76,130,88,253,47,1.290909090909091:1,154,
1206,629,793,826,35,76,130,88,251,49,1.2956204379562044:1,152,
1212,624,793,831,33,76,130,88,249,48,1.3025830258302582:1,152,
1218,670,844,836,62,63,163,88,245,49,1.2558922558922558:1,148,
1224,665,846,843,51,69,138,92,267,48,1.2696245733788396:1,157,
1230,657,846,851,49,69,136,92,262,49,1.273356401384083:1,154,
1236,654,846,854,48,69,136,92,260,49,1.278745644599303:1,153,
1242,650,846,858,47,69,135,92,257,50,1.280701754385965:1,151,
1248,645,846,863,47,68,134,92,254,50,1.3035714285714286:1,151,
1254,641,846,867,46,68,134,92,251,50,1.3057553956834533:1,149,
1260,637,846,871,45,68,134,92,247,51,1.3079710144927537:1,147,
1266,631,846,877,43,68,132,92,246,50,1.2945454545454544:1,146,
1272,630,846,878,42,68,132,92,244,52,1.2992700729927007:1,145,
1278,625,846,883,42,68,132,91,240,52,1.3062730627306274:1,144,
1284,622,846,886,42,68,132,91,235,54,1.3037037037037038:1,141,
1290,646,871,887,67,68,132,91,232,56,1.2826855123674912:1,140,
1296,666,895,891,49,74,134,100,251,58,1.273037542662116:1,149,
1302,660,895,897,46,74,134,100,249,57,1.268041237113402:1,148,
1308,655,895,902,45,74,133,100,246,57,1.2664359861591696:1,146,
1314,651,895,906,45,74,133,100,244,55,1.2762237762237763:1,146,
1320,648,895,909,45,74,133,100,240,56,1.2897526501766785:1,145,
1326,645,895,912,44,74,133,99,238,57,1.295373665480427:1,144,
1332,642,895,915,44,74,132,99,237,56,1.292857142857143:1,143,
1338,631,895,926,42,73,131,99,233,53,1.3113553113553114:1,141,
1344,629,895,928,40,73,131,99,233,53,1.3125:1,141,
1350,626,895,931,39,73,131,98,233,52,1.3185185185185184:1,141,
1356,621,895,936,39,73,129,98,232,50,1.3171641791044777:1,140,
1362,618,895,939,39,73,127,98,230,51,1.3320754716981131:1,140,
1368,661,939,940,44,79,125,97,265,51,1.28719723183391:1,157,
1374,657,939,944,44,79,124,94,266,50,1.289198606271777:1,157,
1380,651,939,950,42,79,124,93,263,50,1.3085106382978724:1,157,
1386,646,939,955,42,79,124,93,258,50,1.3237410071942446:1,156,
1392,643,939,958,42,78,124,93,257,49,1.3381818181818181:1,155,
1398,642,939,959,42,77,124,93,257,49,1.3345454545454545:1,155,
1404,638,939,963,42,77,124,92,255,48,1.3455882352941178:1,155,
1410,634,939,967,41,77,124,92,250,50,1.348148148148148:1,152,
1416,630,939,971,40,77,124,92,248,49,1.342007434944238:1,150,
1422,627,939,974,39,77,123,92,247,49,1.3395522388059702:1,149,
1428,621,939,980,38,77,122,92,243,49,1.3522727272727273:1,148,
1434,615,939,986,37,76,121,92,240,49,1.3473282442748091:1,146,
1440,656,986,992,46,74,133,93,263,47,1.3597122302158273:1,157,
1446,654,986,994,46,73,134,92,262,47,1.3695652173913044:1,157,
1452,645,986,1003,44,71,133,91,259,47,1.3800738007380073:1,156,
1458,644,986,1004,44,71,133,91,259,46,1.385185185185185:1,156,
