Steps,Male 0-10,Male 10-20,Male 20-30,Male 30-40,Male 40-50,Male 50-60,Male 60-70,Male 70-80,Male 80-90,Male 90+,Female 0-10,Female 10-20,Female 20-30,Female 30-40,Female 40-50,Female 50-60,Female 60-70,Female 70-80,Female 80-90,Female 90+
6,33,47,49,45,41,28,37,23,4,0,26,46,18,17,30,23,29,22,10,3,
12,33,47,49,45,41,28,37,23,4,0,26,45,18,17,30,23,29,22,10,3,
18,33,47,49,45,41,28,37,23,4,0,26,45,18,17,30,23,29,22,10,3,
24,33,47,49,45,41,28,36,23,4,0,26,45,18,17,30,23,29,22,10,3,
30,33,47,49,45,41,28,36,23,4,0,26,45,18,17,30,23,29,22,10,3,
36,33,47,49,45,41,28,36,23,4,0,26,45,18,17,30,23,29,22,10,3,
42,33,47,49,45,41,28,36,23,4,0,26,45,18,17,30,23,29,22,10,3,
48,33,47,49,45,41,28,36,23,4,0,26,45,18,17,30,23,29,22,10,3,
54,33,47,49,45,41,28,36,23,4,0,26,45,18,17,30,23,29,22,10,3,
60,33,47,49,45,41,28,36,23,4,0,26,45,18,17,30,23,29,22,10,3,
66,33,47,49,45,41,28,35,23,4,0,26,45,18,17,30,23,29,22,10,3,
72,33,47,49,45,41,28,34,23,4,0,26,45,18,17,30,23,29,22,10,3,
78,33,46,47,43,44,29,35,23,4,0,26,43,19,18,28,25,29,22,10,3,
84,33,46,47,43,44,29,35,23,4,0,26,43,19,18,28,25,28,22,10,3,
90,34,46,47,43,44,29,35,23,4,0,26,43,19,18,28,25,28,22,10,3,
96,35,46,47,43,44,29,35,23,4,0,26,43,19,18,28,25,28,22,10,3,
102,35,46,47,43,44,29,35,23,4,0,26,43,19,18,28,25,28,22,10,3,
108,35,46,47,43,44,29,34,23,4,0,26,43,19,18,28,25,27,22,10,3,
114,35,46,47,43,44,29,34,23,4,0,26,43,19,18,28,25,27,22,10,3,
120,35,46,47,43,44,29,34,23,4,0,26,43,19,18,28,25,27,22,10,3,
126,35,46,47,43,44,29,34,23,4,0,26,43,19,18,28,25,27,22,10,3,
132,35,46,47,43,44,29,34,23,4,0,26,43,19,18,28,25,27,22,10,3,
138,35,46,47,43,44,29,34,23,4,0,26,43,19,18,28,25,27,22,10,3,
144,35,46,47,43,44,29,34,23,4,0,26,43,19,18,28,25,26,22,10,3,
150,34,45,46,41,46,32,32,23,6,0,24,43,19,19,25,25,29,22,11,3,
156,34,45,46,41,46,32,32,23,6,0,24,43,19,19,25,25,29,22,11,3,
162,34,45,46,41,46,32,32,23,6,0,24,43,19,19,25,25,29,22,11,3,
168,35,45,46,41,46,32,32,23,6,0,24,43,19,19,25,25,29,22,11,3,
174,36,45,46,41,46,32,32,23,6,0,24,43,19,19,25,25,29,22,11,3,
180,36,45,46,41,46,32,32,23,6,0,25,43,19,19,25,25,29,22,11,3,
186,36,45,46,41,46,32,32,23,6,0,26,43,19,19,25,25,29,22,11,3,
192,37,45,46,41,46,32,32,23,6,0,26,43,19,19,25,25,29,22,11,3,
198,37,45,46,41,46,32,32,23,6,0,29,43,19,19,25,25,29,22,11,3,
204,37,45,46,41,46,32,32,23,6,0,29,43,19,19,25,25,29,22,11,3,
210,37,45,46,41,46,32,32,23,6,0,29,43,19,19,25,25,29,22,11,3,
216,38,45,46,41,46,32,32,23,6,0,30,43,19,19,25,25,29,22,11,3,
222,36,42,48,38,51,30,33,22,8,0,30,37,22,20,27,24,28,24,11,3,
228,36,42,48,38,51,30,33,22,8,0,30,37,22,20,27,24,28,24,11,3,
234,36,42,48,38,51,30,33,21,8,0,31,37,22,20,27,24,28,24,11,3,
240,36,42,48,38,51,30,33,21,8,0,31,37,22,20,27,24,28,24,11,3,
246,36,42,48,38,51,30,32,21,8,0,31,37,22,20,27,24,28,24,11,3,
252,36,42,48,38,51,30,32,21,8,0,31,37,22,20,27,24,28,24,11,3,
258,38,42,48,38,51,30,32,21,8,0,31,37,22,20,27,24,28,24,11,3,
264,38,42,48,38,51,30,32,21,8,0,31,37,22,20,27,24,28,24,11,3,
270,38,42,48,38,51,30,32,21,8,0,31,37,22,20,27,24,27,24,11,3,
276,39,42,48,38,51,30,32,21,8,0,32,37,22,20,27,24,27,24,11,3,
282,39,42,48,38,51,30,32,21,8,0,32,37,22,20,27,24,27,24,11,3,
288,39,42,48,38,51,30,32,21,8,0,33,37,22,20,27,24,27,24,11,3,
294,39,38,45,40,55,30,32,20,10,0,31,38,23,19,24,28,27,22,13,3,
300,39,38,45,40,55,30,32,20,10,0,31,38,23,19,24,28,27,22,13,3,
306,39,38,45,40,55,30,32,20,10,0,32,38,23,19,24,28,27,22,13,3,
312,39,38,45,40,55,30,32,20,10,0,32,38,23,19,24,28,27,22,13,3,
318,39,38,45,40,55,30,32,20,10,0,32,38,23,19,24,28,27,22,13,3,
324,39,38,45,40,55,30,32,20,10,0,33,38,23,19,24,28,27,22,13,3,
330,39,38,45,40,55,30,32,20,10,0,33,38,23,19,24,28,27,22,13,3,
336,39,38,45,40,55,30,32,20,10,0,33,38,23,19,24,28,27,22,13,3,
342,41,38,45,40,55,30,32,20,10,0,33,38,23,19,24,28,27,22,13,3,
348,42,38,45,40,55,30,32,20,10,0,33,38,23,19,24,28,27,22,13,3,
354,43,38,45,40,55,30,32,20,10,0,33,38,23,19,24,28,27,22,13,3,
360,43,38,45,40,55,30,32,20,10,0,34,38,23,19,24,28,27,22,13,3,
366,42,31,47,46,50,35,26,24,11,1,35,36,26,18,23,28,29,20,15,3,
372,42,31,47,46,50,35,26,23,11,1,35,36,26,18,23,28,29,20,15,3,
378,42,31,47,46,50,35,25,23,11,1,36,36,26,18,23,28,29,20,15,3,
384,42,31,47,46,50,35,25,23,11,1,37,36,26,18,23,28,29,20,15,3,
390,42,31,47,46,50,35,25,23,11,1,37,36,26,18,23,28,29,20,15,3,
396,42,31,47,46,50,35,25,23,11,1,37,36,26,18,23,28,29,20,15,3,
