Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
1050,393,61,37,23,122,37,99,99
1056,391,61,39,23,120,37,99,99
1062,391,61,39,23,120,37,99,99
1068,391,61,39,23,120,37,99,99
1074,391,62,40,23,120,37,98,99
1080,391,62,40,23,120,37,98,99
1086,390,62,41,23,119,37,98,99
1092,390,62,41,23,119,37,98,99
1098,390,62,41,23,116,37,98,99
1104,390,62,41,24,116,36,99,99
1110,390,62,41,24,116,36,99,99
1116,390,62,41,24,116,36,99,99
1122,390,62,41,24,115,36,99,100
1128,390,62,41,24,115,36,99,100
1134,390,62,41,24,115,36,99,100
1140,391,63,41,24,115,36,99,100
1146,391,63,41,24,115,36,99,100
1152,392,64,41,24,115,36,99,100
1158,392,64,41,24,115,36,99,100
1164,392,64,41,25,115,35,100,100
1170,393,65,41,25,111,36,100,100
1176,393,65,41,25,112,36,100,100
1182,393,65,41,25,112,36,100,100
1188,393,66,42,25,111,36,100,100
1194,394,67,42,25,112,36,100,100
1200,395,68,42,25,112,36,100,100
1206,394,68,43,25,112,36,100,100
1212,395,69,43,26,112,36,101,100
1218,396,70,43,26,112,36,101,100
1224,396,70,43,26,112,36,101,100
1230,396,70,43,26,112,37,101,99
1236,396,70,43,26,112,37,101,99
1242,396,70,43,26,110,37,101,99
1248,396,70,43,26,111,37,101,99
1254,398,72,43,26,110,37,101,100
1260,398,72,43,26,112,37,101,100
1266,399,73,43,26,112,37,101,100
1272,399,73,43,26,112,37,101,101
1278,399,73,43,26,112,37,101,101
1284,400,74,43,26,114,38,101,100
1290,398,74,45,27,114,37,101,100
1296,397,74,46,27,113,37,100,100
1302,397,74,46,27,114,37,100,100
1308,397,74,46,27,115,38,100,99
1314,397,74,46,27,112,43,100,100
1320,398,75,46,28,113,42,101,100
1326,398,75,46,28,113,42,101,100
1332,398,75,46,28,113,42,101,100
1338,400,77,46,28,114,42,101,100
1344,399,77,47,28,115,42,100,100
1350,397,77,48,28,113,42,99,101
1356,396,77,49,28,112,42,98,101
1362,396,78,50,28,111,42,97,101
1368,395,78,51,28,109,42,97,102
1374,395,78,51,28,109,42,97,102
1380,395,78,51,28,108,42,97,103
1386,395,78,51,28,108,42,97,103
1392,396,79,51,28,107,45,97,103
1398,396,79,51,28,107,45,97,104
1404,395,79,52,28,106,45,97,104
1410,396,80,52,28,106,45,97,104
1416,396,80,52,28,107,45,97,104
1422,395,80,53,28,106,45,97,104
1428,395,80,53,28,106,45,97,104
1434,395,80,53,28,106,45,97,104
1440,396,81,53,28,106,45,97,104
1446,396,81,53,28,106,45,97,104
1452,396,81,53,28,105,45,97,105
1458,397,82,53,28,105,45,97,105
