58, 65,320
59, 66,304
58, 67,348
59, 68,317
58, 68,323
58, 67,348
58, 68,323
58, 68,323
66, 80,309
67, 80,235
66, 81,301
66, 82,253
66, 83,203
65, 84,247
66, 85,173
66, 86,123
66, 86,123
63, 88,111
62, 88,125
61, 88,129
60, 89,81
59, 88,110
59, 87,169
60, 86,238
60, 86,238
53, 98,62
52, 99,35
52, 98,47
52, 99,35
52, 98,47
53, 99,42
53, 99,42
57, 82,454
57, 81,557
58, 80,613
57, 80,627
58, 81,545
59, 81,549
59, 82,456
59, 82,456
35, 77,40
35, 76,60
36, 75,73
35, 75,76
34, 74,87
35, 74,66
34, 75,75
33, 74,70
33, 74,70
62, 77,485
63, 78,531
62, 79,605
63, 80,479
64, 81,365
65, 80,355
65, 81,309
64, 82,380
64, 83,371
64, 83,371
22, 79,24
23, 79,28
23, 80,20
22, 80,9
22, 79,24
21, 80,8
21, 79,12
20, 78,9
20, 78,9
53, 99,42
53, 98,62
52, 97,47
52, 98,47
52, 99,35
52, 98,47
53, 99,42
53, 98,62
52, 97,47
52, 96,18
52, 96,18
20, 79,4
21, 79,12
20, 78,9
20, 77,12
20, 78,9
20, 77,12
21, 76,17
20, 75,23
19, 76,8
19, 76,8
57, 67,321
58, 68,323
57, 67,321
56, 68,347
55, 68,301
55, 69,337
54, 69,383
54, 68,380
53, 68,414
53, 68,414
52, 97,47
52, 96,18
52, 97,47
52, 98,47
53, 99,42
52, 99,35
53, 99,42
53, 99,42
60, 81,489
61, 81,535
60, 80,622
60, 79,630
59, 79,661
60, 80,622
59, 79,661
58, 78,677
57, 78,590
56, 78,583
56, 78,583
63, 82,436
62, 82,473
61, 82,465
62, 83,428
63, 82,436
64, 82,380
63, 82,436
64, 82,380
63, 82,436
64, 81,365
64, 81,365
67, 87,92
67, 88,72
68, 89,33
69, 88,42
68, 87,67
69, 86,62
69, 86,62
32, 74,48
33, 74,70
33, 75,57
34, 74,87
35, 73,72
34, 74,87
35, 75,76
35, 75,76
54, 98,22
53, 99,42
53, 98,62
53, 99,42
54, 98,22
53, 99,42
53, 99,42
59, 87,169
60, 86,238
59, 85,311
60, 86,238
59, 87,169
59, 86,240
58, 86,227
58, 87,170
57, 87,182
57, 87,182
53, 67,352
53, 68,414
52, 67,339
51, 67,320
52, 67,339
53, 68,414
52, 67,339
52, 67,339
52, 99,35
52, 98,47
53, 98,62
54, 98,22
53, 98,62
52, 98,47
53, 99,42
52, 99,35
53, 99,42
53, 99,42
65, 81,309
64, 81,365
63, 80,479
62, 81,508
63, 81,464
62, 81,508
61, 82,465
62, 81,508
62, 82,473
63, 82,436
63, 82,436
56, 88,116
55, 88,133
56, 89,65
57, 90,55
58, 90,60
57, 89,77
56, 88,116
56, 88,116
55, 77,596
55, 76,607
55, 77,596
54, 76,580
54, 77,562
55, 78,575
54, 78,525
53, 77,508
53, 76,488
53, 76,488
53, 98,62
52, 98,47
52, 99,35
52, 98,47
52, 97,47
52, 98,47
52, 98,47
68, 87,67
68, 86,86
69, 85,76
68, 86,86
68, 87,67
69, 86,62
68, 86,86
68, 86,86
20, 76,10
20, 75,23
20, 76,10
20, 77,12
21, 76,17
20, 75,23
19, 74,12
