Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
1002,399,67,33,19,119,35,92,93,
1008,399,67,33,19,119,35,92,93,
1014,399,67,33,19,119,35,92,93,
1020,399,67,33,19,119,35,92,93,
1026,398,67,34,20,128,35,92,92,
1032,399,68,34,20,128,35,92,92,
1038,399,68,34,20,128,35,92,92,
1044,399,68,34,20,128,35,92,92,
1050,399,68,34,20,128,35,92,92,
1056,399,68,34,20,128,35,92,92,
1062,399,68,34,20,128,35,92,92,
1068,399,69,35,20,126,35,92,93,
1074,399,69,35,20,127,35,92,93,
1080,399,69,35,21,127,34,93,93,
1086,400,70,35,22,127,33,94,93,
1092,400,70,35,22,127,33,94,93,
1098,400,70,35,23,122,32,95,93,
1104,400,71,36,23,121,33,94,92,
1110,398,71,38,23,118,33,93,93,
1116,400,73,38,23,119,34,93,92,
1122,400,73,38,23,119,34,93,92,
1128,400,73,38,23,119,34,93,92,
1134,399,74,40,23,117,34,93,92,
1140,398,74,41,23,116,34,92,92,
1146,401,77,41,23,117,34,92,92,
1152,401,77,41,23,118,35,92,91,
1158,401,77,41,23,118,35,92,91,
1164,401,77,41,23,117,35,92,92,
1170,402,78,41,23,113,35,92,93,
1176,402,78,41,23,112,35,92,94,
1182,402,78,41,23,112,35,92,94,
1188,404,80,41,24,112,34,93,95,
1194,404,81,42,24,111,34,92,95,
1200,405,82,42,24,111,34,92,95,
1206,405,82,42,25,110,33,93,96,
1212,407,84,42,26,111,33,94,96,
1218,407,84,42,26,111,32,94,96,
1224,407,84,42,26,112,32,94,96,
1230,407,84,42,26,112,32,94,96,
1236,407,84,42,26,111,32,94,97,
1242,410,87,42,26,108,32,94,98,
1248,410,88,43,26,107,32,94,99,
1254,410,88,43,26,109,32,94,99,
1260,410,88,43,27,111,31,95,99,
1266,410,88,43,27,113,31,95,99,
1272,410,88,43,27,114,31,95,99,
1278,410,88,43,28,114,30,96,99,
1284,411,89,43,28,116,30,96,99,
1290,411,89,43,28,116,30,96,99,
1296,411,89,43,28,115,30,96,100,
1302,411,89,43,28,116,30,96,100,
1308,411,89,43,28,117,30,96,100,
1314,410,89,44,28,117,35,96,100,
1320,410,89,44,28,117,35,96,100,
1326,410,89,44,28,118,35,96,100,
1332,410,89,44,28,118,35,96,100,
1338,410,89,44,28,118,35,96,100,
1344,409,89,45,28,117,35,96,100,
1350,407,89,47,28,115,35,94,101,
1356,406,89,48,28,116,35,94,101,
1362,407,90,48,28,117,35,94,101,
1368,407,90,48,28,117,35,94,101,
1374,408,91,48,28,118,35,94,101,
1380,407,91,49,28,118,35,93,101,
1386,408,92,49,28,120,37,93,99,
1392,408,92,49,28,118,40,93,99,
1398,410,94,49,28,119,40,93,99,
1404,410,94,49,28,119,40,93,99,
1410,410,94,49,28,119,40,93,99,
1416,410,94,49,28,121,40,93,97,
1422,411,95,49,28,122,41,93,96,
1428,411,95,49,28,124,41,93,96,
1434,411,95,49,28,124,41,93,96,
1440,411,95,49,28,124,41,93,96,
1446,411,95,49,28,125,41,93,96,
1452,411,95,49,28,125,41,93,96,
1458,410,95,50,29,126,41,94,95,
