Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
6,230,147,2.4468085106382977,1.5638297872340425,8.692978723404257,3.426170212765958,
12,223,154,2.372340425531915,1.6382978723404256,8.248297872340428,3.5570212765957447,
18,218,159,2.3191489361702127,1.6914893617021276,8.023829787234046,3.666595744680851,
24,215,162,2.2872340425531914,1.7234042553191489,7.895638297872344,3.7586170212765952,
30,213,164,2.265957446808511,1.7446808510638299,7.805212765957451,3.8139361702127657,
36,210,167,2.234042553191489,1.7765957446808511,7.574680851063834,3.8600000000000003,
42,208,169,2.2127659574468086,1.797872340425532,7.493829787234047,3.9387234042553194,
48,206,171,2.1914893617021276,1.8191489361702127,7.38425531914894,3.9440425531914896,
54,203,174,2.1595744680851063,1.851063829787234,7.30553191489362,4.002553191489362,
60,200,177,2.127659574468085,1.8829787234042554,7.195957446808513,4.081276595744681,
66,198,179,2.106382978723404,1.9042553191489362,7.1374468085106395,4.107872340425533,
72,195,182,2.074468085106383,1.9361702127659575,6.945957446808511,4.171702127659575,
78,194,183,2.0638297872340425,1.946808510638298,6.922553191489363,4.171702127659575,
84,190,187,2.021276595744681,1.9893617021276595,6.806595744680852,4.203617021276596,
90,189,188,2.0106382978723403,2.0,6.577872340425532,4.203617021276597,
96,186,191,1.9787234042553192,2.0319148936170213,6.462978723404255,4.29936170212766,
102,186,191,1.9787234042553192,2.0319148936170213,6.462978723404255,4.29936170212766,
108,184,193,1.9574468085106382,2.0531914893617023,6.397021276595745,4.310000000000001,
114,180,197,1.9148936170212767,2.095744680851064,6.152340425531915,4.368510638297873,
120,179,198,1.9042553191489362,2.106382978723404,6.15776595744681,4.349361702127659,
126,175,202,1.8617021276595744,2.148936170212766,6.023936170212767,4.448510638297872,
132,174,203,1.851063829787234,2.1595744680851063,5.935638297872342,4.461276595744681,
138,172,205,1.8297872340425532,2.1808510638297873,5.898404255319151,4.462340425531915,
144,171,206,1.8191489361702127,2.1914893617021276,5.866489361702129,4.472978723404255,
150,168,209,1.7872340425531914,2.223404255319149,5.777127659574469,4.535744680851064,
156,164,213,1.7446808510638299,2.265957446808511,5.606914893617022,4.594255319148936,
162,162,215,1.7234042553191489,2.2872340425531914,5.495212765957447,4.637872340425532,
168,155,222,1.648936170212766,2.3617021276595747,5.326063829787234,4.796382978723405,
174,151,226,1.6063829787234043,2.404255319148936,5.151595744680852,4.838936170212766,
180,149,228,1.5851063829787233,2.425531914893617,5.119680851063831,4.802340425531915,
186,148,229,1.574468085106383,2.4361702127659575,5.029255319148936,4.828936170212766,
192,145,232,1.5425531914893618,2.4680851063829787,4.898404255319149,4.903404255319149,
198,145,232,1.5425531914893618,2.4680851063829787,4.898404255319149,4.903404255319149,
204,142,235,1.5106382978723405,2.5,4.800531914893617,4.945957446808511,
210,144,233,1.5319148936170213,2.478723404255319,4.917553191489362,4.903404255319149,
216,143,234,1.5212765957446808,2.4893617021276597,4.887765957446809,4.903404255319149,
222,139,238,1.4787234042553192,2.5319148936170213,4.754255319148937,4.953936170212765,
228,139,238,1.4787234042553192,2.5319148936170213,4.862765957446809,4.975212765957447,
234,135,242,1.4361702127659575,2.574468085106383,4.702127659574468,5.029468085106382,
240,136,241,1.446808510638298,2.5638297872340425,4.719148936170212,5.060319148936169,
246,135,242,1.4361702127659575,2.574468085106383,4.653510638297872,5.069148936170212,
252,134,243,1.425531914893617,2.5851063829787235,4.55031914893617,5.111702127659573,
258,135,242,1.4361702127659575,2.574468085106383,4.560957446808511,5.090425531914892,
264,136,241,1.446808510638298,2.5638297872340425,4.481170212765957,5.03191489361702,
270,136,241,1.446808510638298,2.5638297872340425,4.481170212765957,5.03191489361702,
276,134,243,1.425531914893617,2.5851063829787235,4.409893617021276,5.035106382978723,
282,127,250,1.351063829787234,2.6595744680851063,4.138936170212765,5.133297872340425,
288,128,249,1.3617021276595744,2.648936170212766,4.21127659574468,5.106702127659574,
294,128,249,1.3617021276595744,2.648936170212766,4.203829787234041,5.109893617021275,
300,128,249,1.3617021276595744,2.648936170212766,4.223404255319149,5.122340425531914,
306,127,250,1.351063829787234,2.6595744680851063,4.207446808510638,5.129361702127659,
312,126,251,1.3404255319148937,2.6702127659574466,4.170212765957447,5.1346808510638295,
318,125,252,1.3297872340425532,2.6808510638297873,4.111702127659574,5.1772340425531915,
324,124,253,1.3191489361702127,2.6914893617021276,4.18563829787234,5.210744680851064,
330,125,252,1.3297872340425532,2.6808510638297873,4.217553191489362,5.200106382978723,
