Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
6,234,143,2.4893617021276597,1.5212765957446808,9.0418085106383,3.250851063829787,
12,230,147,2.4468085106382977,1.5638297872340425,8.948829787234045,3.2838297872340427,
18,229,148,2.4361702127659575,1.574468085106383,8.868617021276597,3.33063829787234,
24,225,152,2.393617021276596,1.6170212765957446,8.679255319148938,3.3642553191489357,
30,225,152,2.393617021276596,1.6170212765957446,8.679255319148938,3.3642553191489357,
36,225,152,2.393617021276596,1.6170212765957446,8.647340425531917,3.3727659574468087,
42,224,153,2.382978723404255,1.627659574468085,8.580319148936173,3.4004255319148933,
48,220,157,2.3404255319148937,1.6702127659574468,8.351595744680854,3.464255319148936,
54,219,158,2.3297872340425534,1.6808510638297873,8.3218085106383,3.464255319148936,
60,216,161,2.297872340425532,1.7127659574468086,8.113297872340429,3.4897872340425535,
66,216,161,2.297872340425532,1.7127659574468086,8.113297872340429,3.4897872340425535,
72,215,162,2.2872340425531914,1.7234042553191489,8.078191489361705,3.4951063829787237,
78,212,165,2.25531914893617,1.7553191489361701,7.938829787234046,3.5642553191489363,
84,207,170,2.202127659574468,1.8085106382978724,7.771808510638301,3.5812765957446806,
90,205,172,2.1808510638297873,1.8297872340425532,7.705851063829791,3.634468085106383,
96,205,172,2.1808510638297873,1.8297872340425532,7.705851063829791,3.634468085106383,
102,204,173,2.1702127659574466,1.8404255319148937,7.70265957446809,3.634468085106383,
108,204,173,2.1702127659574466,1.8404255319148937,7.70265957446809,3.634468085106383,
114,202,175,2.148936170212766,1.8617021276595744,7.610106382978727,3.690851063829787,
120,200,177,2.127659574468085,1.8829787234042554,7.542765957446812,3.733404255319149,
126,198,179,2.106382978723404,1.9042553191489362,7.511170212765959,3.81,
132,198,179,2.106382978723404,1.9042553191489362,7.511170212765959,3.81,
138,194,183,2.0638297872340425,1.946808510638298,7.375425531914894,3.820957446808509,
144,192,185,2.0425531914893615,1.9680851063829787,7.291382978723405,3.8539361702127644,
150,189,188,2.0106382978723403,2.0,7.241382978723406,3.8975531914893606,
156,185,192,1.9680851063829787,2.0425531914893615,7.052021276595747,3.934787234042552,
162,183,194,1.946808510638298,2.0638297872340425,7.020106382978725,3.9507446808510625,
168,182,195,1.9361702127659575,2.074468085106383,6.950957446808513,3.9667021276595733,
174,180,197,1.9148936170212767,2.095744680851064,6.917978723404257,3.9667021276595733,
180,179,198,1.9042553191489362,2.106382978723404,6.894574468085108,3.9667021276595733,
186,178,199,1.8936170212765957,2.117021276595745,6.798829787234044,3.9773404255319136,
192,177,200,1.8829787234042554,2.127659574468085,6.775425531914895,4.007127659574467,
198,178,199,1.8936170212765957,2.117021276595745,6.814787234042555,4.0443617021276586,
204,175,202,1.8617021276595744,2.148936170212766,6.7339361702127665,4.0869148936170205,
210,174,203,1.851063829787234,2.1595744680851063,6.6913829787234045,4.118829787234041,
216,173,204,1.8404255319148937,2.1702127659574466,6.616914893617022,4.118829787234041,
222,173,204,1.8404255319148937,2.1702127659574466,6.616914893617022,4.118829787234041,
228,170,207,1.8085106382978724,2.202127659574468,6.542446808510638,4.129468085106382,
234,169,208,1.797872340425532,2.2127659574468086,6.506489361702128,4.138191489361701,
240,171,206,1.8191489361702127,2.1914893617021276,6.556489361702129,4.138191489361701,
246,169,208,1.797872340425532,2.2127659574468086,6.466063829787235,4.175425531914892,
252,166,211,1.7659574468085106,2.24468085106383,6.395851063829789,4.239255319148935,
258,165,212,1.7553191489361701,2.25531914893617,6.384148936170213,4.244574468085105,
264,165,212,1.7553191489361701,2.25531914893617,6.376702127659575,4.249893617021275,
270,164,213,1.7446808510638299,2.265957446808511,6.353297872340426,4.254148936170212,
276,164,213,1.7446808510638299,2.265957446808511,6.353297872340426,4.254148936170212,
282,162,215,1.7234042553191489,2.2872340425531914,6.294787234042554,4.263723404255318,
288,161,216,1.7127659574468086,2.297872340425532,6.271382978723405,4.293510638297871,
294,161,216,1.7127659574468086,2.297872340425532,6.271382978723405,4.293510638297871,
300,161,216,1.7127659574468086,2.297872340425532,6.271382978723405,4.293510638297871,
306,161,216,1.7127659574468086,2.297872340425532,6.243723404255319,4.313723404255318,
312,160,217,1.702127659574468,2.3085106382978724,6.185212765957447,4.34563829787234,
318,160,217,1.702127659574468,2.3085106382978724,6.102234042553191,4.352021276595744,
324,156,221,1.6595744680851063,2.351063829787234,5.947978723404256,4.444574468085107,
330,156,221,1.6595744680851063,2.351063829787234,5.947978723404256,4.444574468085107,
336,154,223,1.6382978723404256,2.372340425531915,5.875638297872341,4.499893617021277,
342,156,221,1.6595744680851063,2.351063829787234,5.919255319148935,4.45627659574468,
348,154,223,1.6382978723404256,2.372340425531915,5.8203191489361705,4.484999999999999,
354,155,222,1.648936170212766,2.3617021276595747,5.862872340425532,4.453085106382979,
360,153,224,1.627659574468085,2.382978723404255,5.815,4.481808510638298,
366,155,222,1.648936170212766,2.3617021276595747,5.850106382978723,4.461595744680851,
372,154,223,1.6382978723404256,2.372340425531915,5.818191489361702,4.482872340425532,
378,155,222,1.648936170212766,2.3617021276595747,5.850106382978723,4.461595744680851,
384,157,220,1.6702127659574468,2.3404255319148937,5.903297872340425,4.387127659574468,
390,157,220,1.6702127659574468,2.3404255319148937,5.903297872340425,4.387127659574468,
396,157,220,1.6702127659574468,2.3404255319148937,5.903297872340425,4.387127659574468,
402,156,221,1.6595744680851063,2.351063829787234,5.868191489361703,4.3924468085106385,
408,157,220,1.6702127659574468,2.3404255319148937,5.903297872340425,4.387127659574468,
414,156,221,1.6595744680851063,2.351063829787234,5.8820212765957445,4.408404255319149,
420,156,221,1.6595744680851063,2.351063829787234,5.8820212765957445,4.408404255319149,
426,153,224,1.627659574468085,2.382978723404255,5.77031914893617,4.520106382978723,
432,152,225,1.6170212765957446,2.393617021276596,5.749042553191489,4.5754255319148935,
438,150,227,1.5957446808510638,2.4148936170212765,5.6926595744680855,4.630744680851063,
444,150,227,1.5957446808510638,2.4148936170212765,5.6926595744680855,4.630744680851063,
450,149,228,1.5851063829787233,2.425531914893617,5.639468085106384,4.630744680851063,
456,149,228,1.5851063829787233,2.425531914893617,5.657553191489362,4.5881914893617015,
462,149,228,1.5851063829787233,2.425531914893617,5.657553191489362,4.5881914893617015,
468,146,231,1.553191489361702,2.4574468085106385,5.572978723404256,4.627340425531915,
474,145,232,1.5425531914893618,2.4680851063829787,5.561276595744682,4.608191489361702,
480,145,232,1.5425531914893618,2.4680851063829787,5.561276595744682,4.608191489361702,
486,146,231,1.553191489361702,2.4574468085106385,5.591063829787235,4.595425531914893,
492,146,231,1.553191489361702,2.4574468085106385,5.591063829787235,4.595425531914893,
498,147,230,1.5638297872340425,2.4468085106382977,5.594255319148936,4.595425531914893,
504,146,231,1.553191489361702,2.4574468085106385,5.572978723404256,4.606063829787233,
510,144,233,1.5319148936170213,2.478723404255319,5.4825531914893615,4.6167021276595746,
516,144,233,1.5319148936170213,2.478723404255319,5.454893617021276,4.638723404255319,
522,141,236,1.5,2.5106382978723403,5.297446808510638,4.649361702127659,
528,143,234,1.5212765957446808,2.4893617021276597,5.393191489361702,4.638723404255319,
534,141,236,1.5,2.5106382978723403,5.356063829787233,4.642978723404255,
540,140,237,1.4893617021276595,2.521276595744681,5.32627659574468,4.636595744680851,
546,140,237,1.4893617021276595,2.521276595744681,5.308191489361702,4.722765957446809,
552,141,236,1.5,2.5106382978723403,5.346489361702128,4.697234042553191,
558,141,236,1.5,2.5106382978723403,5.346489361702128,4.697234042553191,
564,142,235,1.5106382978723405,2.5,5.389042553191489,4.644042553191489,
570,140,237,1.4893617021276595,2.521276595744681,5.357127659574468,4.691914893617021,
576,140,237,1.4893617021276595,2.521276595744681,5.357127659574468,4.691914893617021,
582,142,235,1.5106382978723405,2.5,5.413510638297872,4.644042553191489,
588,140,237,1.4893617021276595,2.521276595744681,5.378404255319149,4.654680851063829,
594,140,237,1.4893617021276595,2.521276595744681,5.378404255319149,4.654680851063829,
600,141,236,1.5,2.5106382978723403,5.417765957446807,4.630212765957446,
606,142,235,1.5106382978723405,2.5,5.434787234042552,4.614255319148936,
612,143,234,1.5212765957446808,2.4893617021276597,5.456063829787233,4.571702127659574,
618,143,234,1.5212765957446808,2.4893617021276597,5.456063829787233,4.571702127659574,
624,143,234,1.5212765957446808,2.4893617021276597,5.456063829787233,4.571702127659574,
630,143,234,1.5212765957446808,2.4893617021276597,5.456063829787233,4.571702127659574,
636,143,234,1.5212765957446808,2.4893617021276597,5.456063829787233,4.571702127659574,
642,144,233,1.5319148936170213,2.478723404255319,5.493297872340426,4.566382978723404,
648,145,232,1.5425531914893618,2.4680851063829787,5.557127659574468,4.5610638297872335,
654,145,232,1.5425531914893618,2.4680851063829787,5.557127659574468,4.5610638297872335,
660,146,231,1.553191489361702,2.4574468085106385,5.599680851063831,4.533404255319148,
666,147,230,1.5638297872340425,2.4468085106382977,5.6310638297872355,4.525425531914893,
672,148,229,1.574468085106383,2.4361702127659575,5.6736170212765975,4.4722340425531915,
678,149,228,1.5851063829787233,2.425531914893617,5.69808510638298,4.450957446808511,
684,149,228,1.5851063829787233,2.425531914893617,5.69808510638298,4.450957446808511,
690,149,228,1.5851063829787233,2.425531914893617,5.69808510638298,4.450957446808511,
696,149,228,1.5851063829787233,2.425531914893617,5.69808510638298,4.450957446808511,
702,149,228,1.5851063829787233,2.425531914893617,5.69808510638298,4.450957446808511,
708,150,227,1.5957446808510638,2.4148936170212765,5.793829787234044,4.44031914893617,
714,150,227,1.5957446808510638,2.4148936170212765,5.793829787234044,4.44031914893617,
720,150,227,1.5957446808510638,2.4148936170212765,5.793829787234044,4.44031914893617,
726,150,227,1.5957446808510638,2.4148936170212765,5.793829787234044,4.44031914893617,
732,150,227,1.5957446808510638,2.4148936170212765,5.793829787234044,4.44031914893617,
738,150,227,1.5957446808510638,2.4148936170212765,5.793829787234044,4.44031914893617,
744,150,227,1.5957446808510638,2.4148936170212765,5.793829787234044,4.44031914893617,
750,151,226,1.6063829787234043,2.404255319148936,5.806595744680853,4.439255319148937,
756,151,226,1.6063829787234043,2.404255319148936,5.806595744680853,4.439255319148937,
762,151,226,1.6063829787234043,2.404255319148936,5.806595744680853,4.439255319148937,
768,152,225,1.6170212765957446,2.393617021276596,5.827872340425533,4.428617021276596,
774,152,225,1.6170212765957446,2.393617021276596,5.827872340425533,4.428617021276596,
780,153,224,1.627659574468085,2.382978723404255,5.891702127659576,4.4232978723404255,
786,153,224,1.627659574468085,2.382978723404255,5.891702127659576,4.4232978723404255,
792,153,224,1.627659574468085,2.382978723404255,5.891702127659576,4.4232978723404255,
798,153,224,1.627659574468085,2.382978723404255,5.891702127659576,4.4232978723404255,
804,154,223,1.6382978723404256,2.372340425531915,5.902340425531917,4.421170212765958,
810,154,223,1.6382978723404256,2.372340425531915,5.902340425531917,4.421170212765958,
816,154,223,1.6382978723404256,2.372340425531915,5.902340425531917,4.421170212765958,
822,154,223,1.6382978723404256,2.372340425531915,5.902340425531917,4.421170212765958,
828,154,223,1.6382978723404256,2.372340425531915,5.902340425531917,4.421170212765958,
834,154,223,1.6382978723404256,2.372340425531915,5.902340425531917,4.421170212765958,
840,154,223,1.6382978723404256,2.372340425531915,5.902340425531917,4.421170212765958,
846,154,223,1.6382978723404256,2.372340425531915,5.902340425531917,4.421170212765958,
852,154,223,1.6382978723404256,2.372340425531915,5.902340425531917,4.421170212765958,
858,157,220,1.6702127659574468,2.3404255319148937,5.9544680851063845,4.367978723404255,
864,159,218,1.6914893617021276,2.3191489361702127,6.014042553191491,4.330744680851064,
870,159,218,1.6914893617021276,2.3191489361702127,6.014042553191491,4.330744680851064,
876,159,218,1.6914893617021276,2.3191489361702127,6.014042553191491,4.330744680851064,
882,159,218,1.6914893617021276,2.3191489361702127,6.014042553191491,4.330744680851064,
888,159,218,1.6914893617021276,2.3191489361702127,6.014042553191491,4.330744680851064,
894,159,218,1.6914893617021276,2.3191489361702127,6.014042553191491,4.330744680851064,
900,159,218,1.6914893617021276,2.3191489361702127,6.014042553191491,4.330744680851064,
906,159,218,1.6914893617021276,2.3191489361702127,6.014042553191491,4.330744680851064,
912,160,217,1.702127659574468,2.3085106382978724,6.035319148936172,4.320106382978723,
918,162,215,1.7234042553191489,2.2872340425531914,6.0962765957446825,4.272234042553191,
924,162,215,1.7234042553191489,2.2872340425531914,6.0962765957446825,4.272234042553191,
930,162,215,1.7234042553191489,2.2872340425531914,6.0962765957446825,4.272234042553191,
936,163,214,1.7340425531914894,2.276595744680851,6.1260638297872365,4.266914893617021,
942,165,212,1.7553191489361701,2.25531914893617,6.216489361702131,4.229680851063829,
948,165,212,1.7553191489361701,2.25531914893617,6.216489361702131,4.229680851063829,
954,165,212,1.7553191489361701,2.25531914893617,6.216489361702131,4.229680851063829,
960,166,211,1.7659574468085106,2.24468085106383,6.246276595744683,4.229680851063829,
966,166,211,1.7659574468085106,2.24468085106383,6.246276595744683,4.229680851063829,
972,166,211,1.7659574468085106,2.24468085106383,6.246276595744683,4.229680851063829,
978,166,211,1.7659574468085106,2.24468085106383,6.246276595744683,4.229680851063829,
984,166,211,1.7659574468085106,2.24468085106383,6.246276595744683,4.229680851063829,
990,166,211,1.7659574468085106,2.24468085106383,6.246276595744683,4.229680851063829,
996,166,211,1.7659574468085106,2.24468085106383,6.246276595744683,4.229680851063829,
1002,166,211,1.7659574468085106,2.24468085106383,6.246276595744683,4.229680851063829,
1008,166,211,1.7659574468085106,2.24468085106383,6.246276595744683,4.229680851063829,
1014,168,209,1.7872340425531914,2.223404255319149,6.3579787234042575,4.160531914893617,
1020,168,209,1.7872340425531914,2.223404255319149,6.3579787234042575,4.160531914893617,
1026,170,207,1.8085106382978724,2.202127659574468,6.4218085106383,4.1552127659574465,
1032,170,207,1.8085106382978724,2.202127659574468,6.4218085106383,4.1552127659574465,
1038,170,207,1.8085106382978724,2.202127659574468,6.4218085106383,4.1552127659574465,
1044,170,207,1.8085106382978724,2.202127659574468,6.4218085106383,4.1552127659574465,
1050,171,206,1.8191489361702127,2.1914893617021276,6.443085106382981,4.150957446808509,
1056,171,206,1.8191489361702127,2.1914893617021276,6.443085106382981,4.150957446808509,
1062,171,206,1.8191489361702127,2.1914893617021276,6.443085106382981,4.150957446808509,
1068,171,206,1.8191489361702127,2.1914893617021276,6.443085106382981,4.150957446808509,
1074,171,206,1.8191489361702127,2.1914893617021276,6.443085106382981,4.150957446808509,
1080,173,204,1.8404255319148937,2.1702127659574466,6.469680851063832,4.090319148936169,
1086,173,204,1.8404255319148937,2.1702127659574466,6.469680851063832,4.090319148936169,
1092,174,203,1.851063829787234,2.1595744680851063,6.484574468085109,4.063723404255318,
1098,175,202,1.8617021276595744,2.148936170212766,6.569680851063832,4.0509574468085106,
1104,175,202,1.8617021276595744,2.148936170212766,6.569680851063832,4.0509574468085106,
1110,175,202,1.8617021276595744,2.148936170212766,6.569680851063832,4.0509574468085106,
1116,175,202,1.8617021276595744,2.148936170212766,6.569680851063832,4.0509574468085106,
1122,176,201,1.872340425531915,2.1382978723404253,6.625000000000003,4.008404255319149,
1128,176,201,1.872340425531915,2.1382978723404253,6.625000000000003,4.008404255319149,
1134,176,201,1.872340425531915,2.1382978723404253,6.625000000000003,4.008404255319149,
1140,177,200,1.8829787234042554,2.127659574468085,6.837765957446811,3.944574468085106,
1146,177,200,1.8829787234042554,2.127659574468085,6.837765957446811,3.944574468085106,
1152,177,200,1.8829787234042554,2.127659574468085,6.837765957446811,3.944574468085106,
1158,177,200,1.8829787234042554,2.127659574468085,6.837765957446811,3.944574468085106,
1164,178,199,1.8936170212765957,2.117021276595745,6.903404255319151,3.935744680851063,
1170,179,198,1.9042553191489362,2.106382978723404,6.941702127659576,3.9102127659574464,
1176,179,198,1.9042553191489362,2.106382978723404,6.941702127659576,3.9102127659574464,
1182,179,198,1.9042553191489362,2.106382978723404,6.941702127659576,3.9102127659574464,
1188,180,197,1.9148936170212767,2.095744680851064,6.973617021276596,3.8889361702127654,
1194,181,196,1.925531914893617,2.0851063829787235,7.016170212765959,3.8676595744680844,
1200,181,196,1.925531914893617,2.0851063829787235,7.016170212765959,3.8676595744680844,
1206,181,196,1.925531914893617,2.0851063829787235,7.016170212765959,3.8676595744680844,
1212,182,195,1.9361702127659575,2.074468085106383,7.159787234042556,3.8676595744680844,
1218,182,195,1.9361702127659575,2.074468085106383,7.159787234042556,3.8676595744680844,
1224,182,195,1.9361702127659575,2.074468085106383,7.159787234042556,3.8676595744680844,
1230,182,195,1.9361702127659575,2.074468085106383,7.159787234042556,3.8676595744680844,
1236,182,195,1.9361702127659575,2.074468085106383,7.159787234042556,3.8676595744680844,
1242,183,194,1.946808510638298,2.0638297872340425,7.175744680851066,3.846382978723404,
1248,184,193,1.9574468085106382,2.0531914893617023,7.205531914893618,3.8336170212765954,
1254,184,193,1.9574468085106382,2.0531914893617023,7.205531914893618,3.8336170212765954,
1260,184,193,1.9574468085106382,2.0531914893617023,7.205531914893618,3.8336170212765954,
1266,184,193,1.9574468085106382,2.0531914893617023,7.205531914893618,3.8336170212765954,
1272,184,193,1.9574468085106382,2.0531914893617023,7.205531914893618,3.8336170212765954,
1278,184,193,1.9574468085106382,2.0531914893617023,7.205531914893618,3.8336170212765954,
1284,184,193,1.9574468085106382,2.0531914893617023,7.205531914893618,3.8336170212765954,
1290,184,193,1.9574468085106382,2.0531914893617023,7.205531914893618,3.8336170212765954,
1296,185,192,1.9680851063829787,2.0425531914893615,7.2268085106383,3.7910638297872334,
1302,185,192,1.9680851063829787,2.0425531914893615,7.2268085106383,3.7910638297872334,
1308,186,191,1.9787234042553192,2.0319148936170213,7.256595744680854,3.7857446808510633,
1314,187,190,1.9893617021276595,2.021276595744681,7.309787234042556,3.732553191489361,
1320,189,188,2.0106382978723403,2.0,7.384255319148939,3.6687234042553185,
1326,189,188,2.0106382978723403,2.0,7.384255319148939,3.6687234042553185,
1332,189,188,2.0106382978723403,2.0,7.384255319148939,3.6687234042553185,
1338,189,188,2.0106382978723403,2.0,7.384255319148939,3.6687234042553185,
1344,190,187,2.021276595744681,1.9893617021276595,7.426808510638299,3.641063829787234,
1350,190,187,2.021276595744681,1.9893617021276595,7.426808510638299,3.641063829787234,
1356,191,186,2.0319148936170213,1.9787234042553192,7.4427659574468095,3.619787234042553,
1362,191,186,2.0319148936170213,1.9787234042553192,7.4427659574468095,3.619787234042553,
1368,192,185,2.0425531914893615,1.9680851063829787,7.4661702127659595,3.6091489361702127,
1374,192,185,2.0425531914893615,1.9680851063829787,7.4661702127659595,3.6091489361702127,
1380,192,185,2.0425531914893615,1.9680851063829787,7.4661702127659595,3.6091489361702127,
1386,192,185,2.0425531914893615,1.9680851063829787,7.4661702127659595,3.6091489361702127,
1392,192,185,2.0425531914893615,1.9680851063829787,7.4661702127659595,3.6091489361702127,
1398,192,185,2.0425531914893615,1.9680851063829787,7.4661702127659595,3.6091489361702127,
1404,192,185,2.0425531914893615,1.9680851063829787,7.4661702127659595,3.6091489361702127,
1410,193,184,2.0531914893617023,1.9574468085106382,7.482021276595747,3.6091489361702127,
1416,194,183,2.0638297872340425,1.946808510638298,7.523510638297874,3.6080851063829784,
1422,194,183,2.0638297872340425,1.946808510638298,7.523510638297874,3.6080851063829784,
1428,195,182,2.074468085106383,1.9361702127659575,7.576702127659576,3.597446808510638,
1434,195,182,2.074468085106383,1.9361702127659575,7.576702127659576,3.597446808510638,
1440,196,181,2.0851063829787235,1.925531914893617,7.597978723404257,3.593191489361702,
1446,196,181,2.0851063829787235,1.925531914893617,7.597978723404257,3.593191489361702,
1452,196,181,2.0851063829787235,1.925531914893617,7.597978723404257,3.593191489361702,
1458,197,180,2.095744680851064,1.9148936170212767,7.693723404255321,3.5825531914893616,
